('There is a aardvark in indiana.', 'A aardvark can be found in purdue university.', False)
("Aaren doesn't like drawing in indiana.", 'Aaren likes drawing in indiana.', False)
("Aaren doesn't like drawing in purdue university.", "Aaren doesn't like drawing.", False)
("Aaren doesn't like drawing in purdue university.", "Aaren doesn't like purdue university.", False)
("Aaren doesn't like drawing in purdue university.", 'Aaren likes drawing in purdue university.', False)
("Aaren doesn't like drawing in chicago.", "Aaren doesn't like drawing.", False)
("Aaren doesn't like drawing in chicago.", "Aaren doesn't like chicago.", False)
("Aaren doesn't like drawing in chicago.", 'Aaren likes drawing in chicago.', False)
("Aaren doesn't like drawing in paris.", "Aaren doesn't like drawing.", False)
("Aaren doesn't like drawing in paris.", "Aaren doesn't like paris.", False)
("Aaren doesn't like drawing in paris.", 'Aaren likes drawing in paris.', False)
("Aaren doesn't like drawing in new york.", "Aaren doesn't like drawing.", False)
("Aaren doesn't like drawing in new york.", "Aaren doesn't like new york.", False)
("Aaren doesn't like drawing in new york.", 'Aaren likes drawing in new york.', False)
("Aaren doesn't like drawing in london.", "Aaren doesn't like drawing.", False)
("Aaren doesn't like drawing in london.", "Aaren doesn't like london.", False)
("Aaren doesn't like drawing in london.", 'Aaren likes drawing in london.', False)
("Aaren doesn't like drawing in michigan.", "Aaren doesn't like drawing.", False)
("Aaren doesn't like drawing in michigan.", "Aaren doesn't like michigan.", False)
("Aaren doesn't like drawing in michigan.", 'Aaren likes drawing in michigan.', False)
("Aaren doesn't like drawing in hong kong.", "Aaren doesn't like drawing.", False)
("Aaren doesn't like drawing in hong kong.", "Aaren doesn't like hong kong.", False)
("Aaren doesn't like drawing in hong kong.", 'Aaren likes drawing in hong kong.', False)
("Aaren doesn't like drawing in san francisco.", "Aaren doesn't like drawing.", False)
("Aaren doesn't like drawing in san francisco.", "Aaren doesn't like san francisco.", False)
("Aaren doesn't like drawing in san francisco.", 'Aaren likes drawing in san francisco.', False)
("Aaren doesn't like sculpting in indiana.", "Aaren doesn't like sculpting.", False)
("Aaren doesn't like sculpting in indiana.", "Aaren doesn't like indiana.", False)
("Aaren doesn't like sculpting in indiana.", 'Aaren likes sculpting in indiana.', False)
("Aaren doesn't like sculpting in purdue university.", "Aaren doesn't like sculpting.", False)
("Aaren doesn't like sculpting in purdue university.", "Aaren doesn't like purdue university.", False)
("Aaren doesn't like sculpting in purdue university.", 'Aaren likes sculpting in purdue university.', False)
("Aaren doesn't like sculpting in chicago.", "Aaren doesn't like sculpting.", False)
("Aaren doesn't like sculpting in chicago.", "Aaren doesn't like chicago.", False)
("Aaren doesn't like sculpting in chicago.", 'Aaren likes sculpting in chicago.', False)
("Aaren doesn't like sculpting in paris.", "Aaren doesn't like sculpting.", False)
("Aaren doesn't like sculpting in paris.", "Aaren doesn't like paris.", False)
("Aaren doesn't like sculpting in paris.", 'Aaren likes sculpting in paris.', False)
("Aaren doesn't like sculpting in new york.", "Aaren doesn't like sculpting.", False)
("Aaren doesn't like sculpting in new york.", "Aaren doesn't like new york.", False)
("Aaren doesn't like sculpting in new york.", 'Aaren likes sculpting in new york.', False)
("Aaren doesn't like sculpting in london.", "Aaren doesn't like sculpting.", False)
("Aaren doesn't like sculpting in london.", "Aaren doesn't like london.", False)
("Aaren doesn't like sculpting in london.", 'Aaren likes sculpting in london.', False)
("Aaren doesn't like sculpting in michigan.", "Aaren doesn't like sculpting.", False)
("Aaren doesn't like sculpting in michigan.", "Aaren doesn't like michigan.", False)
("Aaren doesn't like sculpting in michigan.", 'Aaren likes sculpting in michigan.', False)
("Aaren doesn't like sculpting in hong kong.", "Aaren doesn't like sculpting.", False)
("Aaren doesn't like sculpting in hong kong.", "Aaren doesn't like hong kong.", False)
("Aaren doesn't like sculpting in hong kong.", 'Aaren likes sculpting in hong kong.', False)
("Aaren doesn't like sculpting in san francisco.", "Aaren doesn't like sculpting.", False)
("Aaren doesn't like sculpting in san francisco.", "Aaren doesn't like san francisco.", False)
("Aaren doesn't like sculpting in san francisco.", 'Aaren likes sculpting in san francisco.', False)
("Aaren doesn't like painting in indiana.", "Aaren doesn't like painting.", False)
("Aaren doesn't like painting in indiana.", "Aaren doesn't like indiana.", False)
("Aaren doesn't like painting in indiana.", 'Aaren likes painting in indiana.', False)
("Aaren doesn't like painting in purdue university.", "Aaren doesn't like painting.", False)
("Aaren doesn't like painting in purdue university.", "Aaren doesn't like purdue university.", False)
("Aaren doesn't like painting in purdue university.", 'Aaren likes painting in purdue university.', False)
("Aaren doesn't like painting in chicago.", "Aaren doesn't like painting.", False)
("Aaren doesn't like painting in chicago.", "Aaren doesn't like chicago.", False)
("Aaren doesn't like painting in chicago.", 'Aaren likes painting in chicago.', False)
("Aaren doesn't like painting in paris.", "Aaren doesn't like painting.", False)
("Aaren doesn't like painting in paris.", "Aaren doesn't like paris.", False)
("Aaren doesn't like painting in paris.", 'Aaren likes painting in paris.', False)
("Aaren doesn't like painting in new york.", "Aaren doesn't like painting.", False)
("Aaren doesn't like painting in new york.", "Aaren doesn't like new york.", False)
("Aaren doesn't like painting in new york.", 'Aaren likes painting in new york.', False)
("Aaren doesn't like painting in london.", "Aaren doesn't like painting.", False)
("Aaren doesn't like painting in london.", "Aaren doesn't like london.", False)
("Aaren doesn't like painting in london.", 'Aaren likes painting in london.', False)
("Aaren doesn't like painting in michigan.", "Aaren doesn't like painting.", False)
("Aaren doesn't like painting in michigan.", "Aaren doesn't like michigan.", False)
("Aaren doesn't like painting in michigan.", 'Aaren likes painting in michigan.', False)
("Aaren doesn't like painting in hong kong.", "Aaren doesn't like painting.", False)
("Aaren doesn't like painting in hong kong.", "Aaren doesn't like hong kong.", False)
("Aaren doesn't like painting in hong kong.", 'Aaren likes painting in hong kong.', False)
("Aaren doesn't like painting in san francisco.", "Aaren doesn't like painting.", False)
("Aaren doesn't like painting in san francisco.", "Aaren doesn't like san francisco.", False)
("Aaren doesn't like painting in san francisco.", 'Aaren likes painting in san francisco.', False)
("Aaren doesn't like reading in indiana.", "Aaren doesn't like reading.", False)
("Aaren doesn't like reading in indiana.", "Aaren doesn't like indiana.", False)
("Aaren doesn't like reading in indiana.", 'Aaren likes reading in indiana.', False)
("Aaren doesn't like reading in purdue university.", "Aaren doesn't like reading.", False)
("Aaren doesn't like reading in purdue university.", "Aaren doesn't like purdue university.", False)
("Aaren doesn't like reading in purdue university.", 'Aaren likes reading in purdue university.', False)
("Aaren doesn't like reading in chicago.", "Aaren doesn't like reading.", False)
("Aaren doesn't like reading in chicago.", "Aaren doesn't like chicago.", False)
("Aaren doesn't like reading in chicago.", 'Aaren likes reading in chicago.', False)
("Aaren doesn't like reading in paris.", "Aaren doesn't like reading.", False)
("Aaren doesn't like reading in paris.", "Aaren doesn't like paris.", False)
("Aaren doesn't like reading in paris.", 'Aaren likes reading in paris.', False)
("Aaren doesn't like reading in new york.", "Aaren doesn't like reading.", False)
("Aaren doesn't like reading in new york.", "Aaren doesn't like new york.", False)
("Aaren doesn't like reading in new york.", 'Aaren likes reading in new york.', False)
("Aaren doesn't like reading in london.", "Aaren doesn't like reading.", False)
("Aaren doesn't like reading in london.", "Aaren doesn't like london.", False)
("Aaren doesn't like reading in london.", 'Aaren likes reading in london.', False)
("Aaren doesn't like reading in michigan.", "Aaren doesn't like reading.", False)
("Aaren doesn't like reading in michigan.", "Aaren doesn't like michigan.", False)
("Aaren doesn't like reading in michigan.", 'Aaren likes reading in michigan.', False)
("Aaren doesn't like reading in hong kong.", "Aaren doesn't like reading.", False)
("Aaren doesn't like reading in hong kong.", "Aaren doesn't like hong kong.", False)
("Aaren doesn't like reading in hong kong.", 'Aaren likes reading in hong kong.', False)
("Aaren doesn't like reading in san francisco.", "Aaren doesn't like reading.", False)
("Aaren doesn't like reading in san francisco.", "Aaren doesn't like san francisco.", False)
("Aaren doesn't like reading in san francisco.", 'Aaren likes reading in san francisco.', False)
("Aaren doesn't like writing in indiana.", "Aaren doesn't like writing.", False)
("Aaren doesn't like writing in indiana.", "Aaren doesn't like indiana.", False)
("Aaren doesn't like writing in indiana.", 'Aaren likes writing in indiana.', False)
("Aaren doesn't like writing in purdue university.", "Aaren doesn't like writing.", False)
("Aaren doesn't like writing in purdue university.", "Aaren doesn't like purdue university.", False)
("Aaren doesn't like writing in purdue university.", 'Aaren likes writing in purdue university.', False)
("Aaren doesn't like writing in chicago.", "Aaren doesn't like writing.", False)
("Aaren doesn't like writing in chicago.", "Aaren doesn't like chicago.", False)
("Aaren doesn't like writing in chicago.", 'Aaren likes writing in chicago.', False)
("Aaren doesn't like writing in paris.", "Aaren doesn't like writing.", False)
("Aaren doesn't like writing in paris.", "Aaren doesn't like paris.", False)
("Aaren doesn't like writing in paris.", 'Aaren likes writing in paris.', False)
("Aaren doesn't like writing in new york.", "Aaren doesn't like writing.", False)
("Aaren doesn't like writing in new york.", "Aaren doesn't like new york.", False)
("Aaren doesn't like writing in new york.", 'Aaren likes writing in new york.', False)
("Aaren doesn't like writing in london.", "Aaren doesn't like writing.", False)
("Aaren doesn't like writing in london.", "Aaren doesn't like london.", False)
("Aaren doesn't like writing in london.", 'Aaren likes writing in london.', False)
("Aaren doesn't like writing in michigan.", "Aaren doesn't like writing.", False)
("Aaren doesn't like writing in michigan.", "Aaren doesn't like michigan.", False)
("Aaren doesn't like writing in michigan.", 'Aaren likes writing in michigan.', False)
("Aaren doesn't like writing in hong kong.", "Aaren doesn't like writing.", False)
("Aaren doesn't like writing in hong kong.", "Aaren doesn't like hong kong.", False)
("Aaren doesn't like writing in hong kong.", 'Aaren likes writing in hong kong.', False)
("Aaren doesn't like writing in san francisco.", "Aaren doesn't like writing.", False)
("Aaren doesn't like writing in san francisco.", "Aaren doesn't like san francisco.", False)
("Aaren doesn't like writing in san francisco.", 'Aaren likes writing in san francisco.', False)
("Aaren doesn't like singing in indiana.", "Aaren doesn't like singing.", False)
("Aaren doesn't like singing in indiana.", "Aaren doesn't like indiana.", False)
("Aaren doesn't like singing in indiana.", 'Aaren likes singing in indiana.', False)
("Aaren doesn't like singing in purdue university.", "Aaren doesn't like singing.", False)
("Aaren doesn't like singing in purdue university.", "Aaren doesn't like purdue university.", False)
("Aaren doesn't like singing in purdue university.", 'Aaren likes singing in purdue university.', False)
("Aaren doesn't like singing in chicago.", "Aaren doesn't like singing.", False)
("Aaren doesn't like singing in chicago.", "Aaren doesn't like chicago.", False)
("Aaren doesn't like singing in chicago.", 'Aaren likes singing in chicago.', False)
("Aaren doesn't like singing in paris.", "Aaren doesn't like singing.", False)
("Aaren doesn't like singing in paris.", "Aaren doesn't like paris.", False)
("Aaren doesn't like singing in paris.", 'Aaren likes singing in paris.', False)
("Aaren doesn't like singing in new york.", "Aaren doesn't like singing.", False)
("Aaren doesn't like singing in new york.", "Aaren doesn't like new york.", False)
("Aaren doesn't like singing in new york.", 'Aaren likes singing in new york.', False)
("Aaren doesn't like singing in london.", "Aaren doesn't like singing.", False)
("Aaren doesn't like singing in london.", "Aaren doesn't like london.", False)
("Aaren doesn't like singing in london.", 'Aaren likes singing in london.', False)
("Aaren doesn't like singing in michigan.", "Aaren doesn't like singing.", False)
("Aaren doesn't like singing in michigan.", "Aaren doesn't like michigan.", False)
("Aaren doesn't like singing in michigan.", 'Aaren likes singing in michigan.', False)
("Aaren doesn't like singing in hong kong.", "Aaren doesn't like singing.", False)
("Aaren doesn't like singing in hong kong.", "Aaren doesn't like hong kong.", False)
("Aaren doesn't like singing in hong kong.", 'Aaren likes singing in hong kong.', False)
("Aaren doesn't like singing in san francisco.", "Aaren doesn't like singing.", False)
("Aaren doesn't like singing in san francisco.", "Aaren doesn't like san francisco.", False)
("Aaren doesn't like singing in san francisco.", 'Aaren likes singing in san francisco.', False)
("Aaren doesn't like hanging out in indiana.", "Aaren doesn't like hanging out.", False)
("Aaren doesn't like hanging out in indiana.", "Aaren doesn't like indiana.", False)
("Aaren doesn't like hanging out in indiana.", 'Aaren likes hanging out in indiana.', False)
("Aaren doesn't like hanging out in purdue university.", "Aaren doesn't like hanging out.", False)
("Aaren doesn't like hanging out in purdue university.", "Aaren doesn't like purdue university.", False)
("Aaren doesn't like hanging out in purdue university.", 'Aaren likes hanging out in purdue university.', False)
("Aaren doesn't like hanging out in chicago.", "Aaren doesn't like hanging out.", False)
("Aaren doesn't like hanging out in chicago.", "Aaren doesn't like chicago.", False)
("Aaren doesn't like hanging out in chicago.", 'Aaren likes hanging out in chicago.', False)
("Aaren doesn't like hanging out in paris.", "Aaren doesn't like hanging out.", False)
("Aaren doesn't like hanging out in paris.", "Aaren doesn't like paris.", False)
("Aaren doesn't like hanging out in paris.", 'Aaren likes hanging out in paris.', False)
("Aaren doesn't like hanging out in new york.", "Aaren doesn't like hanging out.", False)
("Aaren doesn't like hanging out in new york.", "Aaren doesn't like new york.", False)
("Aaren doesn't like hanging out in new york.", 'Aaren likes hanging out in new york.', False)
("Aaren doesn't like hanging out in london.", "Aaren doesn't like hanging out.", False)
("Aaren doesn't like hanging out in london.", "Aaren doesn't like london.", False)
("Aaren doesn't like hanging out in london.", 'Aaren likes hanging out in london.', False)
("Aaren doesn't like hanging out in michigan.", "Aaren doesn't like hanging out.", False)
("Aaren doesn't like hanging out in michigan.", "Aaren doesn't like michigan.", False)
("Aaren doesn't like hanging out in michigan.", 'Aaren likes hanging out in michigan.', False)
("Aaren doesn't like hanging out in hong kong.", "Aaren doesn't like hanging out.", False)
("Aaren doesn't like hanging out in hong kong.", "Aaren doesn't like hong kong.", False)
("Aaren doesn't like hanging out in hong kong.", 'Aaren likes hanging out in hong kong.', False)
("Aaren doesn't like hanging out in san francisco.", "Aaren doesn't like hanging out.", False)
("Aaren doesn't like hanging out in san francisco.", "Aaren doesn't like san francisco.", False)
("Aaren doesn't like hanging out in san francisco.", 'Aaren likes hanging out in san francisco.', False)
("Aaren doesn't like watching movies in indiana.", "Aaren doesn't like watching movies.", False)
("Aaren doesn't like watching movies in indiana.", "Aaren doesn't like indiana.", False)
("Aaren doesn't like watching movies in indiana.", 'Aaren likes watching movies in indiana.', False)
("Aaren doesn't like watching movies in purdue university.", "Aaren doesn't like watching movies.", False)
("Aaren doesn't like watching movies in purdue university.", "Aaren doesn't like purdue university.", False)
("Aaren doesn't like watching movies in purdue university.", 'Aaren likes watching movies in purdue university.', False)
("Aaren doesn't like watching movies in chicago.", "Aaren doesn't like watching movies.", False)
("Aaren doesn't like watching movies in chicago.", "Aaren doesn't like chicago.", False)
("Aaren doesn't like watching movies in chicago.", 'Aaren likes watching movies in chicago.', False)
("Aaren doesn't like watching movies in paris.", "Aaren doesn't like watching movies.", False)
("Aaren doesn't like watching movies in paris.", "Aaren doesn't like paris.", False)
("Aaren doesn't like watching movies in paris.", 'Aaren likes watching movies in paris.', False)
("Aaren doesn't like watching movies in new york.", "Aaren doesn't like watching movies.", False)
("Aaren doesn't like watching movies in new york.", "Aaren doesn't like new york.", False)
("Aaren doesn't like watching movies in new york.", 'Aaren likes watching movies in new york.', False)
("Aaren doesn't like watching movies in london.", "Aaren doesn't like watching movies.", False)
("Aaren doesn't like watching movies in london.", "Aaren doesn't like london.", False)
("Aaren doesn't like watching movies in london.", 'Aaren likes watching movies in london.', False)
("Aaren doesn't like watching movies in michigan.", "Aaren doesn't like watching movies.", False)
("Aaren doesn't like watching movies in michigan.", "Aaren doesn't like michigan.", False)
("Aaren doesn't like watching movies in michigan.", 'Aaren likes watching movies in michigan.', False)
("Aaren doesn't like watching movies in hong kong.", "Aaren doesn't like watching movies.", False)
("Aaren doesn't like watching movies in hong kong.", "Aaren doesn't like hong kong.", False)
("Aaren doesn't like watching movies in hong kong.", 'Aaren likes watching movies in hong kong.', False)
("Aaren doesn't like watching movies in san francisco.", "Aaren doesn't like watching movies.", False)
("Aaren doesn't like watching movies in san francisco.", "Aaren doesn't like san francisco.", False)
("Aaren doesn't like watching movies in san francisco.", 'Aaren likes watching movies in san francisco.', False)
("Aaren doesn't like living in indiana.", "Aaren doesn't like living.", False)
("Aaren doesn't like living in indiana.", "Aaren doesn't like indiana.", False)
("Aaren doesn't like living in indiana.", 'Aaren likes living in indiana.', False)
("Aaren doesn't like living in purdue university.", "Aaren doesn't like living.", False)
("Aaren doesn't like living in purdue university.", "Aaren doesn't like purdue university.", False)
("Aaren doesn't like living in purdue university.", 'Aaren likes living in purdue university.', False)
("Aaren doesn't like living in chicago.", "Aaren doesn't like living.", False)
("Aaren doesn't like living in chicago.", "Aaren doesn't like chicago.", False)
("Aaren doesn't like living in chicago.", 'Aaren likes living in chicago.', False)
("Aaren doesn't like living in paris.", "Aaren doesn't like living.", False)
("Aaren doesn't like living in paris.", "Aaren doesn't like paris.", False)
("Aaren doesn't like living in paris.", 'Aaren likes living in paris.', False)
("Aaren doesn't like living in new york.", "Aaren doesn't like living.", False)
("Aaren doesn't like living in new york.", "Aaren doesn't like new york.", False)
("Aaren doesn't like living in new york.", 'Aaren likes living in new york.', False)
("Aaren doesn't like living in london.", "Aaren doesn't like living.", False)
("Aaren doesn't like living in london.", "Aaren doesn't like london.", False)
("Aaren doesn't like living in london.", 'Aaren likes living in london.', False)
("Aaren doesn't like living in michigan.", "Aaren doesn't like living.", False)
("Aaren doesn't like living in michigan.", "Aaren doesn't like michigan.", False)
("Aaren doesn't like living in michigan.", 'Aaren likes living in michigan.', False)
("Aaren doesn't like living in hong kong.", "Aaren doesn't like living.", False)
("Aaren doesn't like living in hong kong.", "Aaren doesn't like hong kong.", False)
("Aaren doesn't like living in hong kong.", 'Aaren likes living in hong kong.', False)
("Aaren doesn't like living in san francisco.", "Aaren doesn't like living.", False)
("Aaren doesn't like living in san francisco.", "Aaren doesn't like san francisco.", False)
("Aaren doesn't like living in san francisco.", 'Aaren likes living in san francisco.', False)
("Aaren doesn't like working in indiana.", "Aaren doesn't like working.", False)
("Aaren doesn't like working in indiana.", "Aaren doesn't like indiana.", False)
("Aaren doesn't like working in indiana.", 'Aaren likes working in indiana.', False)
("Aaren doesn't like working in purdue university.", "Aaren doesn't like working.", False)
("Aaren doesn't like working in purdue university.", "Aaren doesn't like purdue university.", False)
("Aaren doesn't like working in purdue university.", 'Aaren likes working in purdue university.', False)
("Aaren doesn't like working in chicago.", "Aaren doesn't like working.", False)
("Aaren doesn't like working in chicago.", "Aaren doesn't like chicago.", False)
("Aaren doesn't like working in chicago.", 'Aaren likes working in chicago.', False)
("Aaren doesn't like working in paris.", "Aaren doesn't like working.", False)
("Aaren doesn't like working in paris.", "Aaren doesn't like paris.", False)
("Aaren doesn't like working in paris.", 'Aaren likes working in paris.', False)
("Aaren doesn't like working in new york.", "Aaren doesn't like working.", False)
("Aaren doesn't like working in new york.", "Aaren doesn't like new york.", False)
("Aaren doesn't like working in new york.", 'Aaren likes working in new york.', False)
("Aaren doesn't like working in london.", "Aaren doesn't like working.", False)
("Aaren doesn't like working in london.", "Aaren doesn't like london.", False)
("Aaren doesn't like working in london.", 'Aaren likes working in london.', False)
("Aaren doesn't like working in michigan.", "Aaren doesn't like working.", False)
("Aaren doesn't like working in michigan.", "Aaren doesn't like michigan.", False)
("Aaren doesn't like working in michigan.", 'Aaren likes working in michigan.', False)
("Aaren doesn't like working in hong kong.", "Aaren doesn't like working.", False)
("Aaren doesn't like working in hong kong.", "Aaren doesn't like hong kong.", False)
("Aaren doesn't like working in hong kong.", 'Aaren likes working in hong kong.', False)
("Aaren doesn't like working in san francisco.", "Aaren doesn't like working.", False)
("Aaren doesn't like working in san francisco.", "Aaren doesn't like san francisco.", False)
("Aaren doesn't like working in san francisco.", 'Aaren likes working in san francisco.', False)
("Aaren doesn't like dancing in indiana.", "Aaren doesn't like dancing.", False)
("Aaren doesn't like dancing in indiana.", "Aaren doesn't like indiana.", False)
("Aaren doesn't like dancing in indiana.", 'Aaren likes dancing in indiana.', False)
("Aaren doesn't like dancing in purdue university.", "Aaren doesn't like dancing.", False)
("Aaren doesn't like dancing in purdue university.", "Aaren doesn't like purdue university.", False)
("Aaren doesn't like dancing in purdue university.", 'Aaren likes dancing in purdue university.', False)
("Aaren doesn't like dancing in chicago.", "Aaren doesn't like dancing.", False)
("Aaren doesn't like dancing in chicago.", "Aaren doesn't like chicago.", False)
("Aaren doesn't like dancing in chicago.", 'Aaren likes dancing in chicago.', False)
("Aaren doesn't like dancing in paris.", "Aaren doesn't like dancing.", False)
("Aaren doesn't like dancing in paris.", "Aaren doesn't like paris.", False)
("Aaren doesn't like dancing in paris.", 'Aaren likes dancing in paris.', False)
("Aaren doesn't like dancing in new york.", "Aaren doesn't like dancing.", False)
("Aaren doesn't like dancing in new york.", "Aaren doesn't like new york.", False)
("Aaren doesn't like dancing in new york.", 'Aaren likes dancing in new york.', False)
("Aaren doesn't like dancing in london.", "Aaren doesn't like dancing.", False)
("Aaren doesn't like dancing in london.", "Aaren doesn't like london.", False)
("Aaren doesn't like dancing in london.", 'Aaren likes dancing in london.', False)
("Aaren doesn't like dancing in michigan.", "Aaren doesn't like dancing.", False)
("Aaren doesn't like dancing in michigan.", "Aaren doesn't like michigan.", False)
("Aaren doesn't like dancing in michigan.", 'Aaren likes dancing in michigan.', False)
("Aaren doesn't like dancing in hong kong.", "Aaren doesn't like dancing.", False)
("Aaren doesn't like dancing in hong kong.", "Aaren doesn't like hong kong.", False)
("Aaren doesn't like dancing in hong kong.", 'Aaren likes dancing in hong kong.', False)
("Aaren doesn't like dancing in san francisco.", "Aaren doesn't like dancing.", False)
("Aaren doesn't like dancing in san francisco.", "Aaren doesn't like san francisco.", False)
("Aaren doesn't like dancing in san francisco.", 'Aaren likes dancing in san francisco.', False)
("Aarika doesn't like walking in indiana.", "Aarika doesn't like walking.", False)
("Aarika doesn't like walking in indiana.", "Aarika doesn't like indiana.", False)
("Aarika doesn't like walking in indiana.", 'Aarika likes walking in indiana.', False)
("Aarika doesn't like walking in purdue university.", "Aarika doesn't like walking.", False)
("Aarika doesn't like walking in purdue university.", "Aarika doesn't like purdue university.", False)
("Aarika doesn't like walking in purdue university.", 'Aarika likes walking in purdue university.', False)
("Aarika doesn't like walking in chicago.", "Aarika doesn't like walking.", False)
("Aarika doesn't like walking in chicago.", "Aarika doesn't like chicago.", False)
("Aarika doesn't like walking in chicago.", 'Aarika likes walking in chicago.', False)
("Aarika doesn't like walking in paris.", "Aarika doesn't like walking.", False)
("Aarika doesn't like walking in paris.", "Aarika doesn't like paris.", False)
("Aarika doesn't like walking in paris.", 'Aarika likes walking in paris.', False)
("Aarika doesn't like walking in new york.", "Aarika doesn't like walking.", False)
("Aarika doesn't like walking in new york.", "Aarika doesn't like new york.", False)
("Aarika doesn't like walking in new york.", 'Aarika likes walking in new york.', False)
("Aarika doesn't like walking in london.", "Aarika doesn't like walking.", False)
("Aarika doesn't like walking in london.", "Aarika doesn't like london.", False)
("Aarika doesn't like walking in london.", 'Aarika likes walking in london.', False)
("Aarika doesn't like walking in michigan.", "Aarika doesn't like walking.", False)
("Aarika doesn't like walking in michigan.", "Aarika doesn't like michigan.", False)
("Aarika doesn't like walking in michigan.", 'Aarika likes walking in michigan.', False)
("Aarika doesn't like walking in hong kong.", "Aarika doesn't like walking.", False)
("Aarika doesn't like walking in hong kong.", "Aarika doesn't like hong kong.", False)
("Aarika doesn't like walking in hong kong.", 'Aarika likes walking in hong kong.', False)
("Aarika doesn't like walking in san francisco.", "Aarika doesn't like walking.", False)
("Aarika doesn't like walking in san francisco.", "Aarika doesn't like san francisco.", False)
("Aarika doesn't like walking in san francisco.", 'Aarika likes walking in san francisco.', False)
("Aarika doesn't like running in indiana.", "Aarika doesn't like running.", False)
("Aarika doesn't like running in indiana.", "Aarika doesn't like indiana.", False)
("Aarika doesn't like running in indiana.", 'Aarika likes running in indiana.', False)
("Aarika doesn't like running in purdue university.", "Aarika doesn't like running.", False)
("Aarika doesn't like running in purdue university.", "Aarika doesn't like purdue university.", False)
("Aarika doesn't like running in purdue university.", 'Aarika likes running in purdue university.', False)
("Aarika doesn't like running in chicago.", "Aarika doesn't like running.", False)
("Aarika doesn't like running in chicago.", "Aarika doesn't like chicago.", False)
("Aarika doesn't like running in chicago.", 'Aarika likes running in chicago.', False)
("Aarika doesn't like running in paris.", "Aarika doesn't like running.", False)
("Aarika doesn't like running in paris.", "Aarika doesn't like paris.", False)
("Aarika doesn't like running in paris.", 'Aarika likes running in paris.', False)
("Aarika doesn't like running in new york.", "Aarika doesn't like running.", False)
("Aarika doesn't like running in new york.", "Aarika doesn't like new york.", False)
("Aarika doesn't like running in new york.", 'Aarika likes running in new york.', False)
("Aarika doesn't like running in london.", "Aarika doesn't like running.", False)
("Aarika doesn't like running in london.", "Aarika doesn't like london.", False)
("Aarika doesn't like running in london.", 'Aarika likes running in london.', False)
("Aarika doesn't like running in michigan.", "Aarika doesn't like running.", False)
("Aarika doesn't like running in michigan.", "Aarika doesn't like michigan.", False)
("Aarika doesn't like running in michigan.", 'Aarika likes running in michigan.', False)
("Aarika doesn't like running in hong kong.", "Aarika doesn't like running.", False)
("Aarika doesn't like running in hong kong.", "Aarika doesn't like hong kong.", False)
("Aarika doesn't like running in hong kong.", 'Aarika likes running in hong kong.', False)
("Aarika doesn't like running in san francisco.", "Aarika doesn't like running.", False)
("Aarika doesn't like running in san francisco.", "Aarika doesn't like san francisco.", False)
("Aarika doesn't like running in san francisco.", 'Aarika likes running in san francisco.', False)
("Aarika doesn't like eating in indiana.", "Aarika doesn't like eating.", False)
("Aarika doesn't like eating in indiana.", "Aarika doesn't like indiana.", False)
("Aarika doesn't like eating in indiana.", 'Aarika likes eating in indiana.', False)
("Aarika doesn't like eating in purdue university.", "Aarika doesn't like eating.", False)
("Aarika doesn't like eating in purdue university.", "Aarika doesn't like purdue university.", False)
("Aarika doesn't like eating in purdue university.", 'Aarika likes eating in purdue university.', False)
("Aarika doesn't like eating in chicago.", "Aarika doesn't like eating.", False)
("Aarika doesn't like eating in chicago.", "Aarika doesn't like chicago.", False)
("Aarika doesn't like eating in chicago.", 'Aarika likes eating in chicago.', False)
("Aarika doesn't like eating in paris.", "Aarika doesn't like eating.", False)
("Aarika doesn't like eating in paris.", "Aarika doesn't like paris.", False)
("Aarika doesn't like eating in paris.", 'Aarika likes eating in paris.', False)
("Aarika doesn't like eating in new york.", "Aarika doesn't like eating.", False)
("Aarika doesn't like eating in new york.", "Aarika doesn't like new york.", False)
("Aarika doesn't like eating in new york.", 'Aarika likes eating in new york.', False)
("Aarika doesn't like eating in london.", "Aarika doesn't like eating.", False)
("Aarika doesn't like eating in london.", "Aarika doesn't like london.", False)
("Aarika doesn't like eating in london.", 'Aarika likes eating in london.', False)
("Aarika doesn't like eating in michigan.", "Aarika doesn't like eating.", False)
("Aarika doesn't like eating in michigan.", "Aarika doesn't like michigan.", False)
("Aarika doesn't like eating in michigan.", 'Aarika likes eating in michigan.', False)
("Aarika doesn't like eating in hong kong.", "Aarika doesn't like eating.", False)
("Aarika doesn't like eating in hong kong.", "Aarika doesn't like hong kong.", False)
("Aarika doesn't like eating in hong kong.", 'Aarika likes eating in hong kong.', False)
("Aarika doesn't like eating in san francisco.", "Aarika doesn't like eating.", False)
("Aarika doesn't like eating in san francisco.", "Aarika doesn't like san francisco.", False)
("Aarika doesn't like eating in san francisco.", 'Aarika likes eating in san francisco.', False)
("Aarika doesn't like drinking in indiana.", "Aarika doesn't like drinking.", False)
("Aarika doesn't like drinking in indiana.", "Aarika doesn't like indiana.", False)
("Aarika doesn't like drinking in indiana.", 'Aarika likes drinking in indiana.', False)
("Aarika doesn't like drinking in purdue university.", "Aarika doesn't like drinking.", False)
("Aarika doesn't like drinking in purdue university.", "Aarika doesn't like purdue university.", False)
("Aarika doesn't like drinking in purdue university.", 'Aarika likes drinking in purdue university.', False)
("Aarika doesn't like drinking in chicago.", "Aarika doesn't like drinking.", False)
