('There is not a rock & roll album in colorado.', 'There is not a music album in colorado.', False)
('The parts manager only has a animal and a coton de tulear.', 'The parts manager has two coton de tulears.', False)
('The ventriloquist only has a dog and a coton de tulear.', 'The ventriloquist has two coton de tulears.', False)
('The consultant only has a lifeform and a dachshund.', 'The consultant has two dachshunds.', False)
('The assistant only has a eukaryote and a dachshund.', 'The assistant has two dachshunds.', False)
('The picture editor only has a animal and a dachshund.', 'The picture editor has two dachshunds.', False)
('The hosiery mechanic only has a dog and a dachshund.', 'The hosiery mechanic has two dachshunds.', False)
('The law clerk only has a lifeform and a dalmatian.', 'The law clerk has two dalmatians.', False)
('The hotel consultant only has a eukaryote and a dalmatian.', 'The hotel consultant has two dalmatians.', False)
('The machine tool only has a animal and a dalmatian.', 'The machine tool has two dalmatians.', False)
('The repairer only has a dog and a dalmatian.', 'The repairer has two dalmatians.', False)
('The bodyguard only has a lifeform and a doberman pinsch.', 'The bodyguard has two doberman pinschs.', False)
('The telemarketeer only has a eukaryote and a doberman pinsch.', 'The telemarketeer has two doberman pinschs.', False)
('The plant attendant only has a animal and a doberman pinsch.', 'The plant attendant has two doberman pinschs.', False)
('The independent means only has a dog and a doberman pinsch.', 'The independent means has two doberman pinschs.', False)
('The medical assistant only has a lifeform and a english foxhound.', 'The medical assistant has two english foxhounds.', False)
('The health visitor only has a eukaryote and a english foxhound.', 'The health visitor has two english foxhounds.', False)
('The optical assistant only has a animal and a english foxhound.', 'The optical assistant has two english foxhounds.', False)
('The medal dealer only has a dog and a english foxhound.', 'The medal dealer has two english foxhounds.', False)
('The property valuer only has a lifeform and a english setter.', 'The property valuer has two english setters.', False)
('The sheriff principal only has a eukaryote and a english setter.', 'The sheriff principal has two english setters.', False)
('The shipping clerk only has a animal and a english setter.', 'The shipping clerk has two english setters.', False)
('The anaesthetist only has a dog and a english setter.', 'The anaesthetist has two english setters.', False)
('The mill worker only has a lifeform and a field spaniel.', 'The mill worker has two field spaniels.', False)
('The plastics engineer only has a eukaryote and a field spaniel.', 'The plastics engineer has two field spaniels.', False)
('The patrolman only has a animal and a field spaniel.', 'The patrolman has two field spaniels.', False)
('The timber worker only has a dog and a field spaniel.', 'The timber worker has two field spaniels.', False)
('The thatcher only has a lifeform and a finnish lapphund.', 'The thatcher has two finnish lapphunds.', False)
('The veterinary surgeon only has a eukaryote and a finnish lapphund.', 'The veterinary surgeon has two finnish lapphunds.', False)
('The loans manager only has a animal and a finnish lapphund.', 'The loans manager has two finnish lapphunds.', False)
('The haulage contractor only has a dog and a finnish lapphund.', 'The haulage contractor has two finnish lapphunds.', False)
('The gynaecologist only has a lifeform and a finnish spitz.', 'The gynaecologist has two finnish spitzs.', False)
('The quality manager only has a eukaryote and a finnish spitz.', 'The quality manager has two finnish spitzs.', False)
('The roofer only has a animal and a finnish spitz.', 'The roofer has two finnish spitzs.', False)
('The barman only has a dog and a finnish spitz.', 'The barman has two finnish spitzs.', False)
('The medical supplier only has a lifeform and a french bulldog.', 'The medical supplier has two french bulldogs.', False)
('The administrator only has a eukaryote and a french bulldog.', 'The administrator has two french bulldogs.', False)
('The training manager only has a animal and a french bulldog.', 'The training manager has two french bulldogs.', False)
('The motor trader only has a dog and a french bulldog.', 'The motor trader has two french bulldogs.', False)
('The optical advisor only has a lifeform and a german pinscher.', 'The optical advisor has two german pinschers.', False)
('The laundry staff only has a eukaryote and a german pinscher.', 'The laundry staff has two german pinschers.', False)
('The town planner only has a animal and a german pinscher.', 'The town planner has two german pinschers.', False)
('The shop assistant only has a dog and a german pinscher.', 'The shop assistant has two german pinschers.', False)
('The joinery consultant only has a lifeform and a german shepherd.', 'The joinery consultant has two german shepherds.', False)
('The wood worker only has a eukaryote and a german shepherd.', 'The wood worker has two german shepherds.', False)
('The toy trader only has a animal and a german shepherd.', 'The toy trader has two german shepherds.', False)
('The child minder only has a dog and a german shepherd.', 'The child minder has two german shepherds.', False)
('The housing supervisor only has a lifeform and a giant schnauzer.', 'The housing supervisor has two giant schnauzers.', False)
('The cinema manager only has a eukaryote and a giant schnauzer.', 'The cinema manager has two giant schnauzers.', False)
('The sheet metal worker only has a animal and a giant schnauzer.', 'The sheet metal worker has two giant schnauzers.', False)
('The pipe insulator only has a dog and a giant schnauzer.', 'The pipe insulator has two giant schnauzers.', False)
('The shunter only has a lifeform and a golden retriever.', 'The shunter has two golden retrievers.', False)
('The nursery assistant only has a eukaryote and a golden retriever.', 'The nursery assistant has two golden retrievers.', False)
('The instrument supervisor only has a animal and a golden retriever.', 'The instrument supervisor has two golden retrievers.', False)
('The building control only has a dog and a golden retriever.', 'The building control has two golden retrievers.', False)
('The interviewer only has a lifeform and a gordon setter.', 'The interviewer has two gordon setters.', False)
('The bus conductor only has a eukaryote and a gordon setter.', 'The bus conductor has two gordon setters.', False)
('The transport clerk only has a animal and a gordon setter.', 'The transport clerk has two gordon setters.', False)
('The toll collector only has a dog and a gordon setter.', 'The toll collector has two gordon setters.', False)
('The research scientist only has a lifeform and a great dane.', 'The research scientist has two great danes.', False)
('The advertising contractor only has a eukaryote and a great dane.', 'The advertising contractor has two great danes.', False)
('The builders labourer only has a animal and a great dane.', 'The builders labourer has two great danes.', False)
('The trading standards only has a dog and a great dane.', 'The trading standards has two great danes.', False)
('The importer only has a lifeform and a great pyrenees.', 'The importer has two great pyreneess.', False)
('The cleaner only has a eukaryote and a great pyrenees.', 'The cleaner has two great pyreneess.', False)
('The wood cutter only has a animal and a great pyrenees.', 'The wood cutter has two great pyreneess.', False)
('The publican only has a dog and a great pyrenees.', 'The publican has two great pyreneess.', False)
('The executive only has a lifeform and a greyhound.', 'The executive has two greyhounds.', False)
('The instrument technician only has a eukaryote and a greyhound.', 'The instrument technician has two greyhounds.', False)
('The choreographer only has a animal and a greyhound.', 'The choreographer has two greyhounds.', False)
('The medical physicist only has a dog and a greyhound.', 'The medical physicist has two greyhounds.', False)
('The operations only has a lifeform and a harrier.', 'The operations has two harriers.', False)
('The purchasing assistant only has a eukaryote and a harrier.', 'The purchasing assistant has two harriers.', False)
('The forwarding agent only has a animal and a harrier.', 'The forwarding agent has two harriers.', False)
('The advertising staff only has a dog and a harrier.', 'The advertising staff has two harriers.', False)
('The forensic scientist only has a lifeform and a havanese.', 'The forensic scientist has two havaneses.', False)
('The caulker only has a eukaryote and a havanese.', 'The caulker has two havaneses.', False)
('The betting shop only has a animal and a havanese.', 'The betting shop has two havaneses.', False)
('The advertising contractor only has a dog and a havanese.', 'The advertising contractor has two havaneses.', False)
('The mining consultant only has a lifeform and a ibizan hound.', 'The mining consultant has two ibizan hounds.', False)
('The wine merchant only has a eukaryote and a ibizan hound.', 'The wine merchant has two ibizan hounds.', False)
('The research consultant only has a animal and a ibizan hound.', 'The research consultant has two ibizan hounds.', False)
('The rector only has a dog and a ibizan hound.', 'The rector has two ibizan hounds.', False)
('The breeder only has a lifeform and a irish setter.', 'The breeder has two irish setters.', False)
('The progress chaser only has a eukaryote and a irish setter.', 'The progress chaser has two irish setters.', False)
('The press setter only has a animal and a irish setter.', 'The press setter has two irish setters.', False)
('The chartered only has a dog and a irish setter.', 'The chartered has two irish setters.', False)
('The site engineer only has a lifeform and a irish terrier.', 'The site engineer has two irish terriers.', False)
('The sail maker only has a eukaryote and a irish terrier.', 'The sail maker has two irish terriers.', False)
('The medal dealer only has a animal and a irish terrier.', 'The medal dealer has two irish terriers.', False)
('The milliner only has a dog and a irish terrier.', 'The milliner has two irish terriers.', False)
('The instrument maker only has a lifeform and a irish wolfhound.', 'The instrument maker has two irish wolfhounds.', False)
('The taxidermist only has a eukaryote and a irish wolfhound.', 'The taxidermist has two irish wolfhounds.', False)
('The librarian only has a animal and a irish wolfhound.', 'The librarian has two irish wolfhounds.', False)
('The researcher only has a dog and a irish wolfhound.', 'The researcher has two irish wolfhounds.', False)
('The porter only has a lifeform and a japanese chin.', 'The porter has two japanese chins.', False)
('The shop keeper only has a eukaryote and a japanese chin.', 'The shop keeper has two japanese chins.', False)
('The translator only has a animal and a japanese chin.', 'The translator has two japanese chins.', False)
('The optical only has a dog and a japanese chin.', 'The optical has two japanese chins.', False)
('The trout farmer only has a lifeform and a keeshond.', 'The trout farmer has two keeshonds.', False)
('The violin maker only has a eukaryote and a keeshond.', 'The violin maker has two keeshonds.', False)
('The bodyshop only has a animal and a keeshond.', 'The bodyshop has two keeshonds.', False)
('The pipe insulator only has a dog and a keeshond.', 'The pipe insulator has two keeshonds.', False)
('The motor engineer only has a lifeform and a komondor.', 'The motor engineer has two komondors.', False)
('The planning manager only has a eukaryote and a komondor.', 'The planning manager has two komondors.', False)
('The money broker only has a animal and a komondor.', 'The money broker has two komondors.', False)
('The records supervisor only has a dog and a komondor.', 'The records supervisor has two komondors.', False)
('The social worker only has a lifeform and a kuvasz.', 'The social worker has two kuvaszs.', False)
('The script writer only has a eukaryote and a kuvasz.', 'The script writer has two kuvaszs.', False)
('The marketing manager only has a animal and a kuvasz.', 'The marketing manager has two kuvaszs.', False)
('The building foreman only has a dog and a kuvasz.', 'The building foreman has two kuvaszs.', False)
('The footballer only has a lifeform and a lakeland terrier.', 'The footballer has two lakeland terriers.', False)
('The accounts clerk only has a eukaryote and a lakeland terrier.', 'The accounts clerk has two lakeland terriers.', False)
('The motor fitter only has a animal and a lakeland terrier.', 'The motor fitter has two lakeland terriers.', False)
('The hod carrier only has a dog and a lakeland terrier.', 'The hod carrier has two lakeland terriers.', False)
('The laminator only has a lifeform and a leonberger.', 'The laminator has two leonbergers.', False)
('The typesetter only has a eukaryote and a leonberger.', 'The typesetter has two leonbergers.', False)
('The slaughterman only has a animal and a leonberger.', 'The slaughterman has two leonbergers.', False)
('The travel guide writer only has a dog and a leonberger.', 'The travel guide writer has two leonbergers.', False)
('The promoter only has a lifeform and a lhasa apso.', 'The promoter has two lhasa apsos.', False)
('The travel representative only has a eukaryote and a lhasa apso.', 'The travel representative has two lhasa apsos.', False)
('The therapist only has a animal and a lhasa apso.', 'The therapist has two lhasa apsos.', False)
('The bookmaker only has a dog and a lhasa apso.', 'The bookmaker has two lhasa apsos.', False)
('The marketing director only has a lifeform and a l_wchen.', 'The marketing director has two l_wchens.', False)
('The station manager only has a eukaryote and a l_wchen.', 'The station manager has two l_wchens.', False)
('The rig worker only has a animal and a l_wchen.', 'The rig worker has two l_wchens.', False)
('The assistant only has a dog and a l_wchen.', 'The assistant has two l_wchens.', False)
('The records supervisor only has a lifeform and a maltese.', 'The records supervisor has two malteses.', False)
('The instructor only has a eukaryote and a maltese.', 'The instructor has two malteses.', False)
('The import consultant only has a animal and a maltese.', 'The import consultant has two malteses.', False)
('The wood cutter only has a dog and a maltese.', 'The wood cutter has two malteses.', False)
('The boat builder only has a lifeform and a mastiff.', 'The boat builder has two mastiffs.', False)
('The bar steward only has a eukaryote and a mastiff.', 'The bar steward has two mastiffs.', False)
('The supply teacher only has a animal and a mastiff.', 'The supply teacher has two mastiffs.', False)
('The foundry worker only has a dog and a mastiff.', 'The foundry worker has two mastiffs.', False)
('The circus proprietor only has a lifeform and a newfoundland.', 'The circus proprietor has two newfoundlands.', False)
('The library manager only has a eukaryote and a newfoundland.', 'The library manager has two newfoundlands.', False)
('The amusement arcade worker only has a animal and a newfoundland.', 'The amusement arcade worker has two newfoundlands.', False)
('The bakery manager only has a dog and a newfoundland.', 'The bakery manager has two newfoundlands.', False)
('The lineman only has a lifeform and a norfolk terrier.', 'The lineman has two norfolk terriers.', False)
('The messenger only has a eukaryote and a norfolk terrier.', 'The messenger has two norfolk terriers.', False)
('The polisher only has a animal and a norfolk terrier.', 'The polisher has two norfolk terriers.', False)
('The teacher only has a dog and a norfolk terrier.', 'The teacher has two norfolk terriers.', False)
('The claims manager only has a lifeform and a norwegian buhund.', 'The claims manager has two norwegian buhunds.', False)
('The nanny only has a eukaryote and a norwegian buhund.', 'The nanny has two norwegian buhunds.', False)
('The stock manager only has a animal and a norwegian buhund.', 'The stock manager has two norwegian buhunds.', False)
('The maintenance fitter only has a dog and a norwegian buhund.', 'The maintenance fitter has two norwegian buhunds.', False)
('The welfare assistant only has a lifeform and a norwich terrier.', 'The welfare assistant has two norwich terriers.', False)
('The research analyst only has a eukaryote and a norwich terrier.', 'The research analyst has two norwich terriers.', False)
('The medical physicist only has a animal and a norwich terrier.', 'The medical physicist has two norwich terriers.', False)
('The training advisor only has a dog and a norwich terrier.', 'The training advisor has two norwich terriers.', False)
('The flour miller only has a lifeform and a otterhound.', 'The flour miller has two otterhounds.', False)
('The tiler only has a eukaryote and a otterhound.', 'The tiler has two otterhounds.', False)
('The technical engineer only has a animal and a otterhound.', 'The technical engineer has two otterhounds.', False)
('The town planner only has a dog and a otterhound.', 'The town planner has two otterhounds.', False)
('The proprietor only has a lifeform and a papillon.', 'The proprietor has two papillons.', False)
('The quality controller only has a eukaryote and a papillon.', 'The quality controller has two papillons.', False)
('The tanner only has a animal and a papillon.', 'The tanner has two papillons.', False)
('The audiologist only has a dog and a papillon.', 'The audiologist has two papillons.', False)
('The telephonist only has a lifeform and a pekingese.', 'The telephonist has two pekingeses.', False)
('The paramedic only has a eukaryote and a pekingese.', 'The paramedic has two pekingeses.', False)
('The purchasing assistant only has a animal and a pekingese.', 'The purchasing assistant has two pekingeses.', False)
('The proprietor only has a dog and a pekingese.', 'The proprietor has two pekingeses.', False)
('The student teacher only has a lifeform and a pharaoh hound.', 'The student teacher has two pharaoh hounds.', False)
('The homeworker only has a eukaryote and a pharaoh hound.', 'The homeworker has two pharaoh hounds.', False)
('The instrument engineer only has a animal and a pharaoh hound.', 'The instrument engineer has two pharaoh hounds.', False)
('The special constable only has a dog and a pharaoh hound.', 'The special constable has two pharaoh hounds.', False)
('The advertising manager only has a lifeform and a plott.', 'The advertising manager has two plotts.', False)
('The pig man only has a eukaryote and a plott.', 'The pig man has two plotts.', False)
('The ironmonger only has a animal and a plott.', 'The ironmonger has two plotts.', False)
('The turf accountant only has a dog and a plott.', 'The turf accountant has two plotts.', False)
('The gaming club proprietor only has a lifeform and a pointer.', 'The gaming club proprietor has two pointers.', False)
('The archivist only has a eukaryote and a pointer.', 'The archivist has two pointers.', False)
('The investment advisor only has a animal and a pointer.', 'The investment advisor has two pointers.', False)
('The log merchant only has a dog and a pointer.', 'The log merchant has two pointers.', False)
('The attendant only has a lifeform and a pomeranian.', 'The attendant has two pomeranians.', False)
('The analyst only has a eukaryote and a pomeranian.', 'The analyst has two pomeranians.', False)
('The homeworker only has a animal and a pomeranian.', 'The homeworker has two pomeranians.', False)
('The playgroup assistant only has a dog and a pomeranian.', 'The playgroup assistant has two pomeranians.', False)
('The office worker only has a lifeform and a standard poodle.', 'The office worker has two standard poodles.', False)
('The picture framer only has a eukaryote and a standard poodle.', 'The picture framer has two standard poodles.', False)
('The printer only has a animal and a standard poodle.', 'The printer has two standard poodles.', False)
('The payroll assistant only has a dog and a standard poodle.', 'The payroll assistant has two standard poodles.', False)
('The seamstress only has a lifeform and a miniature poodle.', 'The seamstress has two miniature poodles.', False)
('The patent agent only has a eukaryote and a miniature poodle.', 'The patent agent has two miniature poodles.', False)
('The steeplejack only has a animal and a miniature poodle.', 'The steeplejack has two miniature poodles.', False)
('The yacht master only has a dog and a miniature poodle.', 'The yacht master has two miniature poodles.', False)
('The tax consultant only has a lifeform and a toy poodle.', 'The tax consultant has two toy poodles.', False)
('The word processing operator only has a eukaryote and a toy poodle.', 'The word processing operator has two toy poodles.', False)
('The stonemason only has a animal and a toy poodle.', 'The stonemason has two toy poodles.', False)
('The car valet only has a dog and a toy poodle.', 'The car valet has two toy poodles.', False)
('The tunneller only has a lifeform and a pug.', 'The tunneller has two pugs.', False)
('The marine engineer only has a eukaryote and a pug.', 'The marine engineer has two pugs.', False)
('The historian only has a animal and a pug.', 'The historian has two pugs.', False)
('The pattern cutter only has a dog and a pug.', 'The pattern cutter has two pugs.', False)
('The lighting technician only has a lifeform and a puli.', 'The lighting technician has two pulis.', False)
('The museum assistant only has a eukaryote and a puli.', 'The museum assistant has two pulis.', False)
('The television engineer only has a animal and a puli.', 'The television engineer has two pulis.', False)
('The english teacher only has a dog and a puli.', 'The english teacher has two pulis.', False)
('The translator only has a lifeform and a rat terrier.', 'The translator has two rat terriers.', False)
('The shot blaster only has a eukaryote and a rat terrier.', 'The shot blaster has two rat terriers.', False)
('The transport engineer only has a animal and a rat terrier.', 'The transport engineer has two rat terriers.', False)
('The stud hand only has a dog and a rat terrier.', 'The stud hand has two rat terriers.', False)
('The telephonist only has a lifeform and a rottweiler.', 'The telephonist has two rottweilers.', False)
('The cable jointer only has a eukaryote and a rottweiler.', 'The cable jointer has two rottweilers.', False)
('The zoo manager only has a animal and a rottweiler.', 'The zoo manager has two rottweilers.', False)
('The historian only has a dog and a rottweiler.', 'The historian has two rottweilers.', False)
('The carpet cleaner only has a lifeform and a russell terrier.', 'The carpet cleaner has two russell terriers.', False)
('The recreational only has a eukaryote and a russell terrier.', 'The recreational has two russell terriers.', False)
('The gaming club proprietor only has a animal and a russell terrier.', 'The gaming club proprietor has two russell terriers.', False)
('The log merchant only has a dog and a russell terrier.', 'The log merchant has two russell terriers.', False)
('The mill worker only has a lifeform and a st. bernard.', 'The mill worker has two st. bernards.', False)
('The van driver only has a eukaryote and a st. bernard.', 'The van driver has two st. bernards.', False)
('The booking agent only has a animal and a st. bernard.', 'The booking agent has two st. bernards.', False)
('The shipwright only has a dog and a st. bernard.', 'The shipwright has two st. bernards.', False)
('The english teacher only has a lifeform and a saluki.', 'The english teacher has two salukis.', False)
('The painter only has a eukaryote and a saluki.', 'The painter has two salukis.', False)
('The building advisor only has a animal and a saluki.', 'The building advisor has two salukis.', False)
('The mortician only has a dog and a saluki.', 'The mortician has two salukis.', False)
('The hire car driver only has a lifeform and a samoyed.', 'The hire car driver has two samoyeds.', False)
('The wholesale newspaper only has a eukaryote and a samoyed.', 'The wholesale newspaper has two samoyeds.', False)
('The stud hand only has a animal and a samoyed.', 'The stud hand has two samoyeds.', False)
('The plate layer only has a dog and a samoyed.', 'The plate layer has two samoyeds.', False)
('The hot foil printer only has a lifeform and a schipperke.', 'The hot foil printer has two schipperkes.', False)
('The joiner only has a eukaryote and a schipperke.', 'The joiner has two schipperkes.', False)
('The waiter only has a animal and a schipperke.', 'The waiter has two schipperkes.', False)
('The medical secretary only has a dog and a schipperke.', 'The medical secretary has two schipperkes.', False)
('The surgeon only has a lifeform and a scottish terrier.', 'The surgeon has two scottish terriers.', False)
('The archivist only has a eukaryote and a scottish terrier.', 'The archivist has two scottish terriers.', False)
('The animal breeder only has a animal and a scottish terrier.', 'The animal breeder has two scottish terriers.', False)
('The repair man only has a dog and a scottish terrier.', 'The repair man has two scottish terriers.', False)
('The administration clerk only has a lifeform and a sealyham terrier.', 'The administration clerk has two sealyham terriers.', False)
('The shop proprietor only has a eukaryote and a sealyham terrier.', 'The shop proprietor has two sealyham terriers.', False)
('The word processing operator only has a animal and a sealyham terrier.', 'The word processing operator has two sealyham terriers.', False)
('The marine surveyor only has a dog and a sealyham terrier.', 'The marine surveyor has two sealyham terriers.', False)
('The motor dealer only has a lifeform and a shiba inu.', 'The motor dealer has two shiba inus.', False)
('The saleswoman only has a eukaryote and a shiba inu.', 'The saleswoman has two shiba inus.', False)
('The optical only has a animal and a shiba inu.', 'The optical has two shiba inus.', False)
('The professional racing only has a dog and a shiba inu.', 'The professional racing has two shiba inus.', False)
('The practice manager only has a lifeform and a shih tzu.', 'The practice manager has two shih tzus.', False)
('The training advisor only has a eukaryote and a shih tzu.', 'The training advisor has two shih tzus.', False)
('The fork lift truck driver only has a animal and a shih tzu.', 'The fork lift truck driver has two shih tzus.', False)
('The marketing manager only has a dog and a shih tzu.', 'The marketing manager has two shih tzus.', False)
('The gynaecologist only has a lifeform and a siberian husky.', 'The gynaecologist has two siberian huskys.', False)
('The security officer only has a eukaryote and a siberian husky.', 'The security officer has two siberian huskys.', False)
('The warehouse manager only has a animal and a siberian husky.', 'The warehouse manager has two siberian huskys.', False)
('The taxi controller only has a dog and a siberian husky.', 'The taxi controller has two siberian huskys.', False)
('The tyre builder only has a lifeform and a silky terrier.', 'The tyre builder has two silky terriers.', False)
('The lighting designer only has a eukaryote and a silky terrier.', 'The lighting designer has two silky terriers.', False)
('The general practitioner only has a animal and a silky terrier.', 'The general practitioner has two silky terriers.', False)
('The taxi driver only has a dog and a silky terrier.', 'The taxi driver has two silky terriers.', False)
('The medical secretary only has a lifeform and a skye terrier.', 'The medical secretary has two skye terriers.', False)
('The housing supervisor only has a eukaryote and a skye terrier.', 'The housing supervisor has two skye terriers.', False)
('The aircraft maintenance engineer only has a animal and a skye terrier.', 'The aircraft maintenance engineer has two skye terriers.', False)
('The shelter warden only has a dog and a skye terrier.', 'The shelter warden has two skye terriers.', False)
('The technician only has a lifeform and a sloughi.', 'The technician has two sloughis.', False)
('The spring maker only has a eukaryote and a sloughi.', 'The spring maker has two sloughis.', False)
('The palaeobotanist only has a animal and a sloughi.', 'The palaeobotanist has two sloughis.', False)
('The advertising staff only has a dog and a sloughi.', 'The advertising staff has two sloughis.', False)
('The graphic designer only has a lifeform and a spinone italiano.', 'The graphic designer has two spinone italianos.', False)
('The green keeper only has a eukaryote and a spinone italiano.', 'The green keeper has two spinone italianos.', False)
('The ornithologist only has a animal and a spinone italiano.', 'The ornithologist has two spinone italianos.', False)
('The party planner only has a dog and a spinone italiano.', 'The party planner has two spinone italianos.', False)
('The teachers assistant only has a lifeform and a sussex spaniel.', 'The teachers assistant has two sussex spaniels.', False)
('The physiologist only has a eukaryote and a sussex spaniel.', 'The physiologist has two sussex spaniels.', False)
('The wine merchant only has a animal and a sussex spaniel.', 'The wine merchant has two sussex spaniels.', False)
('The repair man only has a dog and a sussex spaniel.', 'The repair man has two sussex spaniels.', False)
('The road sweeper only has a lifeform and a swedish vallhund.', 'The road sweeper has two swedish vallhunds.', False)
('The zoo keeper only has a eukaryote and a swedish vallhund.', 'The zoo keeper has two swedish vallhunds.', False)
('The toy maker only has a animal and a swedish vallhund.', 'The toy maker has two swedish vallhunds.', False)
('The haulage contractor only has a dog and a swedish vallhund.', 'The haulage contractor has two swedish vallhunds.', False)
('The orchestral only has a lifeform and a tibetan mastiff.', 'The orchestral has two tibetan mastiffs.', False)
('The floor layer only has a eukaryote and a tibetan mastiff.', 'The floor layer has two tibetan mastiffs.', False)
('The toy maker only has a animal and a tibetan mastiff.', 'The toy maker has two tibetan mastiffs.', False)
('The pallet maker only has a dog and a tibetan mastiff.', 'The pallet maker has two tibetan mastiffs.', False)
('The cable tv installer only has a lifeform and a tibetan spaniel.', 'The cable tv installer has two tibetan spaniels.', False)
('The steel worker only has a eukaryote and a tibetan spaniel.', 'The steel worker has two tibetan spaniels.', False)
('The mattress maker only has a animal and a tibetan spaniel.', 'The mattress maker has two tibetan spaniels.', False)
('The salesman only has a dog and a tibetan spaniel.', 'The salesman has two tibetan spaniels.', False)
('The lighting technician only has a lifeform and a tibetan terrier.', 'The lighting technician has two tibetan terriers.', False)
('The track worker only has a eukaryote and a tibetan terrier.', 'The track worker has two tibetan terriers.', False)
('The cab driver only has a animal and a tibetan terrier.', 'The cab driver has two tibetan terriers.', False)
('The toy maker only has a dog and a tibetan terrier.', 'The toy maker has two tibetan terriers.', False)
('The it manager only has a lifeform and a toy fox terrier.', 'The it manager has two toy fox terriers.', False)
('The administrator only has a eukaryote and a toy fox terrier.', 'The administrator has two toy fox terriers.', False)
('The doctor only has a animal and a toy fox terrier.', 'The doctor has two toy fox terriers.', False)
('The hypnotherapist only has a dog and a toy fox terrier.', 'The hypnotherapist has two toy fox terriers.', False)
('The safety officer only has a lifeform and a vizsla.', 'The safety officer has two vizslas.', False)
('The clerk only has a eukaryote and a vizsla.', 'The clerk has two vizslas.', False)
('The software engineer only has a animal and a vizsla.', 'The software engineer has two vizslas.', False)
('The gynaecologist only has a dog and a vizsla.', 'The gynaecologist has two vizslas.', False)
('The garage foreman only has a lifeform and a weimaraner.', 'The garage foreman has two weimaraners.', False)
('The street trader only has a eukaryote and a weimaraner.', 'The street trader has two weimaraners.', False)
('The minibus driver only has a animal and a weimaraner.', 'The minibus driver has two weimaraners.', False)
('The legal executive only has a dog and a weimaraner.', 'The legal executive has two weimaraners.', False)
('The ship builder only has a lifeform and a welsh terrier.', 'The ship builder has two welsh terriers.', False)
('The janitor only has a eukaryote and a welsh terrier.', 'The janitor has two welsh terriers.', False)
('The systems analyst only has a animal and a welsh terrier.', 'The systems analyst has two welsh terriers.', False)
('The medical assistant only has a dog and a welsh terrier.', 'The medical assistant has two welsh terriers.', False)
('The garage manager only has a lifeform and a whippet.', 'The garage manager has two whippets.', False)
('The editor only has a eukaryote and a whippet.', 'The editor has two whippets.', False)
('The bill poster only has a animal and a whippet.', 'The bill poster has two whippets.', False)
('The trading standards only has a dog and a whippet.', 'The trading standards has two whippets.', False)
('The historian only has a lifeform and a wire fox terrier.', 'The historian has two wire fox terriers.', False)
('The blacksmith only has a eukaryote and a wire fox terrier.', 'The blacksmith has two wire fox terriers.', False)
('The weighbridge operator only has a animal and a wire fox terrier.', 'The weighbridge operator has two wire fox terriers.', False)
('The administration manager only has a dog and a wire fox terrier.', 'The administration manager has two wire fox terriers.', False)
('The tax assistant only has a lifeform and a xoloitzcuintli.', 'The tax assistant has two xoloitzcuintlis.', False)
('The governor only has a eukaryote and a xoloitzcuintli.', 'The governor has two xoloitzcuintlis.', False)
('The hardware dealer only has a animal and a xoloitzcuintli.', 'The hardware dealer has two xoloitzcuintlis.', False)
('The steeplejack only has a dog and a xoloitzcuintli.', 'The steeplejack has two xoloitzcuintlis.', False)
('The training manager only has a lifeform and a dogfish.', 'The training manager has two dogfishs.', False)
('The highway inspector only has a eukaryote and a dogfish.', 'The highway inspector has two dogfishs.', False)
('The building advisor only has a animal and a dogfish.', 'The building advisor has two dogfishs.', False)
('The systems engineer only has a lifeform and a dolphin.', 'The systems engineer has two dolphins.', False)
('The assembly worker only has a eukaryote and a dolphin.', 'The assembly worker has two dolphins.', False)
('The insurance inspector only has a animal and a dolphin.', 'The insurance inspector has two dolphins.', False)
('The vehicle technician only has a lifeform and a dotterel.', 'The vehicle technician has two dotterels.', False)
('The booking agent only has a eukaryote and a dotterel.', 'The booking agent has two dotterels.', False)
('The forensic scientist only has a animal and a dotterel.', 'The forensic scientist has two dotterels.', False)
('The barman only has a lifeform and a dove.', 'The barman has two doves.', False)
('The glass worker only has a eukaryote and a dove.', 'The glass worker has two doves.', False)
('The payroll supervisor only has a animal and a dove.', 'The payroll supervisor has two doves.', False)
('The show jumper only has a lifeform and a dragonfly.', 'The show jumper has two dragonflys.', False)
('The ventriloquist only has a eukaryote and a dragonfly.', 'The ventriloquist has two dragonflys.', False)
('The historian only has a animal and a dragonfly.', 'The historian has two dragonflys.', False)
('The councillor only has a lifeform and a duck.', 'The councillor has two ducks.', False)
('The postwoman only has a eukaryote and a duck.', 'The postwoman has two ducks.', False)
('The medal dealer only has a animal and a duck.', 'The medal dealer has two ducks.', False)
('The quality inspector only has a lifeform and a dugong.', 'The quality inspector has two dugongs.', False)
('The television producer only has a eukaryote and a dugong.', 'The television producer has two dugongs.', False)
('The radiologist only has a animal and a dugong.', 'The radiologist has two dugongs.', False)
('The orthopaedic only has a lifeform and a dunlin.', 'The orthopaedic has two dunlins.', False)
('The outdoor pursuits only has a eukaryote and a dunlin.', 'The outdoor pursuits has two dunlins.', False)
('The bakery operator only has a animal and a dunlin.', 'The bakery operator has two dunlins.', False)
('The ventriloquist only has a lifeform and a eagle.', 'The ventriloquist has two eagles.', False)
('The horse breeder only has a eukaryote and a eagle.', 'The horse breeder has two eagles.', False)
('The tennis coach only has a animal and a eagle.', 'The tennis coach has two eagles.', False)
