('neighborhoods are found in cities.', 'neighborhoods contain cities', True)
('Some letting agents says cities consists of neighborhoods.', 'letting agents says cities are composed of neighborhoods', True)
('Some liaison officers says cities consists of neighborhoods.', 'liaison officers says cities are composed of neighborhoods', True)
('Some librarians says cities consists of neighborhoods.', 'librarians says cities are composed of neighborhoods', True)
('Some library managers says cities consists of neighborhoods.', 'library managers says cities are composed of neighborhoods', True)
('Some licensed premisess says cities consists of neighborhoods.', 'licensed premisess says cities are composed of neighborhoods', True)
('Some licensees says cities consists of neighborhoods.', 'licensees says cities are composed of neighborhoods', True)
('Some licensings says cities consists of neighborhoods.', 'licensings says cities are composed of neighborhoods', True)
('Some lifeguards says cities consists of neighborhoods.', 'lifeguards says cities are composed of neighborhoods', True)
('Some lift attendants says cities consists of neighborhoods.', 'lift attendants says cities are composed of neighborhoods', True)
('Some lift engineers says cities consists of neighborhoods.', 'lift engineers says cities are composed of neighborhoods', True)
('Some lightermans says cities consists of neighborhoods.', 'lightermans says cities are composed of neighborhoods', True)
('Some lighthouse keepers says cities consists of neighborhoods.', 'lighthouse keepers says cities are composed of neighborhoods', True)
('Some lighting designers says cities consists of neighborhoods.', 'lighting designers says cities are composed of neighborhoods', True)
('Some lighting technicians says cities consists of neighborhoods.', 'lighting technicians says cities are composed of neighborhoods', True)
('Some lime kiln attendants says cities consists of neighborhoods.', 'lime kiln attendants says cities are composed of neighborhoods', True)
('Some line managers says cities consists of neighborhoods.', 'line managers says cities are composed of neighborhoods', True)
('Some line workers says cities consists of neighborhoods.', 'line workers says cities are composed of neighborhoods', True)
('Some linemans says cities consists of neighborhoods.', 'linemans says cities are composed of neighborhoods', True)
('Some linguists says cities consists of neighborhoods.', 'linguists says cities are composed of neighborhoods', True)
('Some literary agents says cities consists of neighborhoods.', 'literary agents says cities are composed of neighborhoods', True)
('Some literary editors says cities consists of neighborhoods.', 'literary editors says cities are composed of neighborhoods', True)
('Some lithographers says cities consists of neighborhoods.', 'lithographers says cities are composed of neighborhoods', True)
('Some litigation managers says cities consists of neighborhoods.', 'litigation managers says cities are composed of neighborhoods', True)
('Some loans managers says cities consists of neighborhoods.', 'loans managers says cities are composed of neighborhoods', True)
('Some local governments says cities consists of neighborhoods.', 'local governments says cities are composed of neighborhoods', True)
('Some lock keepers says cities consists of neighborhoods.', 'lock keepers says cities are composed of neighborhoods', True)
('Some locksmiths says cities consists of neighborhoods.', 'locksmiths says cities are composed of neighborhoods', True)
('Some locum pharmacists says cities consists of neighborhoods.', 'locum pharmacists says cities are composed of neighborhoods', True)
('Some log merchants says cities consists of neighborhoods.', 'log merchants says cities are composed of neighborhoods', True)
('Some lorry drivers says cities consists of neighborhoods.', 'lorry drivers says cities are composed of neighborhoods', True)
('Some loss adjustors says cities consists of neighborhoods.', 'loss adjustors says cities are composed of neighborhoods', True)
('Some loss assessors says cities consists of neighborhoods.', 'loss assessors says cities are composed of neighborhoods', True)
('Some lumberjacks says cities consists of neighborhoods.', 'lumberjacks says cities are composed of neighborhoods', True)
('Some machine fitterss says cities consists of neighborhoods.', 'machine fitterss says cities are composed of neighborhoods', True)
('Some machine minders says cities consists of neighborhoods.', 'machine minders says cities are composed of neighborhoods', True)
('Some machine operators says cities consists of neighborhoods.', 'machine operators says cities are composed of neighborhoods', True)
('Some machine setters says cities consists of neighborhoods.', 'machine setters says cities are composed of neighborhoods', True)
('Some machine tools says cities consists of neighborhoods.', 'machine tools says cities are composed of neighborhoods', True)
('Some machine tool fitters says cities consists of neighborhoods.', 'machine tool fitters says cities are composed of neighborhoods', True)
('Some machinists says cities consists of neighborhoods.', 'machinists says cities are composed of neighborhoods', True)
('Some magicians says cities consists of neighborhoods.', 'magicians says cities are composed of neighborhoods', True)
('Some magistrates says cities consists of neighborhoods.', 'magistrates says cities are composed of neighborhoods', True)
('Some magistrates clerks says cities consists of neighborhoods.', 'magistrates clerks says cities are composed of neighborhoods', True)
('Some maids says cities consists of neighborhoods.', 'maids says cities are composed of neighborhoods', True)
('Some maintenance fitters says cities consists of neighborhoods.', 'maintenance fitters says cities are composed of neighborhoods', True)
('Some make up artists says cities consists of neighborhoods.', 'make up artists says cities are composed of neighborhoods', True)
('Some manicurists says cities consists of neighborhoods.', 'manicurists says cities are composed of neighborhoods', True)
('Some manufacturings says cities consists of neighborhoods.', 'manufacturings says cities are composed of neighborhoods', True)
('Some map mounters says cities consists of neighborhoods.', 'map mounters says cities are composed of neighborhoods', True)
('Some marble finishers says cities consists of neighborhoods.', 'marble finishers says cities are composed of neighborhoods', True)
('Some marble masons says cities consists of neighborhoods.', 'marble masons says cities are composed of neighborhoods', True)
('Some marine brokers says cities consists of neighborhoods.', 'marine brokers says cities are composed of neighborhoods', True)
('Some marine consultants says cities consists of neighborhoods.', 'marine consultants says cities are composed of neighborhoods', True)
('Some marine electricians says cities consists of neighborhoods.', 'marine electricians says cities are composed of neighborhoods', True)
('Some marine engineers says cities consists of neighborhoods.', 'marine engineers says cities are composed of neighborhoods', True)
('Some marine geologists says cities consists of neighborhoods.', 'marine geologists says cities are composed of neighborhoods', True)
('Some marine pilots says cities consists of neighborhoods.', 'marine pilots says cities are composed of neighborhoods', True)
('Some marine surveyors says cities consists of neighborhoods.', 'marine surveyors says cities are composed of neighborhoods', True)
('Some market gardeners says cities consists of neighborhoods.', 'market gardeners says cities are composed of neighborhoods', True)
('Some market researchs says cities consists of neighborhoods.', 'market researchs says cities are composed of neighborhoods', True)
('Some market researchers says cities consists of neighborhoods.', 'market researchers says cities are composed of neighborhoods', True)
('Some market traders says cities consists of neighborhoods.', 'market traders says cities are composed of neighborhoods', True)
('Some marketing agents says cities consists of neighborhoods.', 'marketing agents says cities are composed of neighborhoods', True)
('Some marketing assistants says cities consists of neighborhoods.', 'marketing assistants says cities are composed of neighborhoods', True)
('Some marketing coordinators says cities consists of neighborhoods.', 'marketing coordinators says cities are composed of neighborhoods', True)
('Some marketing directors says cities consists of neighborhoods.', 'marketing directors says cities are composed of neighborhoods', True)
('Some marketing managers says cities consists of neighborhoods.', 'marketing managers says cities are composed of neighborhoods', True)
('Some marquee erectors says cities consists of neighborhoods.', 'marquee erectors says cities are composed of neighborhoods', True)
('Some massage therapists says cities consists of neighborhoods.', 'massage therapists says cities are composed of neighborhoods', True)
('Some masseurs says cities consists of neighborhoods.', 'masseurs says cities are composed of neighborhoods', True)
('Some masseuses says cities consists of neighborhoods.', 'masseuses says cities are composed of neighborhoods', True)
('Some master mariners says cities consists of neighborhoods.', 'master mariners says cities are composed of neighborhoods', True)
('Some materials controllers says cities consists of neighborhoods.', 'materials controllers says cities are composed of neighborhoods', True)
('Some materials managers says cities consists of neighborhoods.', 'materials managers says cities are composed of neighborhoods', True)
('Some mathematicians says cities consists of neighborhoods.', 'mathematicians says cities are composed of neighborhoods', True)
('Some maths teachers says cities consists of neighborhoods.', 'maths teachers says cities are composed of neighborhoods', True)
('Some matrons says cities consists of neighborhoods.', 'matrons says cities are composed of neighborhoods', True)
('Some mattress makers says cities consists of neighborhoods.', 'mattress makers says cities are composed of neighborhoods', True)
('Some meat inspectors says cities consists of neighborhoods.', 'meat inspectors says cities are composed of neighborhoods', True)
('Some meat wholesalers says cities consists of neighborhoods.', 'meat wholesalers says cities are composed of neighborhoods', True)
('Some mechanics says cities consists of neighborhoods.', 'mechanics says cities are composed of neighborhoods', True)
('Some medal dealers says cities consists of neighborhoods.', 'medal dealers says cities are composed of neighborhoods', True)
('Some medical advisors says cities consists of neighborhoods.', 'medical advisors says cities are composed of neighborhoods', True)
('Some medical assistants says cities consists of neighborhoods.', 'medical assistants says cities are composed of neighborhoods', True)
('Some medical consultants says cities consists of neighborhoods.', 'medical consultants says cities are composed of neighborhoods', True)
('Some medical officers says cities consists of neighborhoods.', 'medical officers says cities are composed of neighborhoods', True)
('Some medical physicists says cities consists of neighborhoods.', 'medical physicists says cities are composed of neighborhoods', True)
('Some medical practitioners says cities consists of neighborhoods.', 'medical practitioners says cities are composed of neighborhoods', True)
('Some medical researchers says cities consists of neighborhoods.', 'medical researchers says cities are composed of neighborhoods', True)
('Some medical secretarys says cities consists of neighborhoods.', 'medical secretarys says cities are composed of neighborhoods', True)
('Some medical students says cities consists of neighborhoods.', 'medical students says cities are composed of neighborhoods', True)
('Some medical suppliers says cities consists of neighborhoods.', 'medical suppliers says cities are composed of neighborhoods', True)
('Some medical technicians says cities consists of neighborhoods.', 'medical technicians says cities are composed of neighborhoods', True)
('Some merchandisers says cities consists of neighborhoods.', 'merchandisers says cities are composed of neighborhoods', True)
('Some merchants says cities consists of neighborhoods.', 'merchants says cities are composed of neighborhoods', True)
('Some merchant bankers says cities consists of neighborhoods.', 'merchant bankers says cities are composed of neighborhoods', True)
('Some merchant seamans says cities consists of neighborhoods.', 'merchant seamans says cities are composed of neighborhoods', True)
('Some messengers says cities consists of neighborhoods.', 'messengers says cities are composed of neighborhoods', True)
('Some metal dealers says cities consists of neighborhoods.', 'metal dealers says cities are composed of neighborhoods', True)
('Some metal engineers says cities consists of neighborhoods.', 'metal engineers says cities are composed of neighborhoods', True)
('Some metal polishers says cities consists of neighborhoods.', 'metal polishers says cities are composed of neighborhoods', True)
('Some metal workers says cities consists of neighborhoods.', 'metal workers says cities are composed of neighborhoods', True)
('Some metallurgists says cities consists of neighborhoods.', 'metallurgists says cities are composed of neighborhoods', True)
('Some meteorologists says cities consists of neighborhoods.', 'meteorologists says cities are composed of neighborhoods', True)
('Some meter readers says cities consists of neighborhoods.', 'meter readers says cities are composed of neighborhoods', True)
('Some microbiologists says cities consists of neighborhoods.', 'microbiologists says cities are composed of neighborhoods', True)
('Some midwifes says cities consists of neighborhoods.', 'midwifes says cities are composed of neighborhoods', True)
('Some military leaders says cities consists of neighborhoods.', 'military leaders says cities are composed of neighborhoods', True)
('Some milkladys says cities consists of neighborhoods.', 'milkladys says cities are composed of neighborhoods', True)
('Some milkmans says cities consists of neighborhoods.', 'milkmans says cities are composed of neighborhoods', True)
('Some mill operators says cities consists of neighborhoods.', 'mill operators says cities are composed of neighborhoods', True)
('Some mill workers says cities consists of neighborhoods.', 'mill workers says cities are composed of neighborhoods', True)
('Some millers says cities consists of neighborhoods.', 'millers says cities are composed of neighborhoods', True)
('Some milliners says cities consists of neighborhoods.', 'milliners says cities are composed of neighborhoods', True)
('Some millwrights says cities consists of neighborhoods.', 'millwrights says cities are composed of neighborhoods', True)
('Some miners says cities consists of neighborhoods.', 'miners says cities are composed of neighborhoods', True)
('Some mineralologists says cities consists of neighborhoods.', 'mineralologists says cities are composed of neighborhoods', True)
('Some minibus drivers says cities consists of neighborhoods.', 'minibus drivers says cities are composed of neighborhoods', True)
('Some minicab drivers says cities consists of neighborhoods.', 'minicab drivers says cities are composed of neighborhoods', True)
('Some mining consultants says cities consists of neighborhoods.', 'mining consultants says cities are composed of neighborhoods', True)
('Some mining engineers says cities consists of neighborhoods.', 'mining engineers says cities are composed of neighborhoods', True)
('Some money brokers says cities consists of neighborhoods.', 'money brokers says cities are composed of neighborhoods', True)
('Some moneylenders says cities consists of neighborhoods.', 'moneylenders says cities are composed of neighborhoods', True)
('Some mooring contractors says cities consists of neighborhoods.', 'mooring contractors says cities are composed of neighborhoods', True)
('Some mortgage brokers says cities consists of neighborhoods.', 'mortgage brokers says cities are composed of neighborhoods', True)
('Some morticians says cities consists of neighborhoods.', 'morticians says cities are composed of neighborhoods', True)
('Some motor dealers says cities consists of neighborhoods.', 'motor dealers says cities are composed of neighborhoods', True)
('Some motor engineers says cities consists of neighborhoods.', 'motor engineers says cities are composed of neighborhoods', True)
('Some motor fitters says cities consists of neighborhoods.', 'motor fitters says cities are composed of neighborhoods', True)
('Some motor mechanics says cities consists of neighborhoods.', 'motor mechanics says cities are composed of neighborhoods', True)
('Some motor racings says cities consists of neighborhoods.', 'motor racings says cities are composed of neighborhoods', True)
('Some motor traders says cities consists of neighborhoods.', 'motor traders says cities are composed of neighborhoods', True)
('Some museum assistants says cities consists of neighborhoods.', 'museum assistants says cities are composed of neighborhoods', True)
('Some museum attendants says cities consists of neighborhoods.', 'museum attendants says cities are composed of neighborhoods', True)
('Some music teachers says cities consists of neighborhoods.', 'music teachers says cities are composed of neighborhoods', True)
('Some musicians says cities consists of neighborhoods.', 'musicians says cities are composed of neighborhoods', True)
('Some nannys says cities consists of neighborhoods.', 'nannys says cities are composed of neighborhoods', True)
('Some navigators says cities consists of neighborhoods.', 'navigators says cities are composed of neighborhoods', True)
('Some negotiators says cities consists of neighborhoods.', 'negotiators says cities are composed of neighborhoods', True)
('Some neurologists says cities consists of neighborhoods.', 'neurologists says cities are composed of neighborhoods', True)
('Some newsagents says cities consists of neighborhoods.', 'newsagents says cities are composed of neighborhoods', True)
('Some night porters says cities consists of neighborhoods.', 'night porters says cities are composed of neighborhoods', True)
('Some night watchmans says cities consists of neighborhoods.', 'night watchmans says cities are composed of neighborhoods', True)
('Some nuclear scientists says cities consists of neighborhoods.', 'nuclear scientists says cities are composed of neighborhoods', True)
('Some nuns says cities consists of neighborhoods.', 'nuns says cities are composed of neighborhoods', True)
('Some nurses says cities consists of neighborhoods.', 'nurses says cities are composed of neighborhoods', True)
('Some nursery assistants says cities consists of neighborhoods.', 'nursery assistants says cities are composed of neighborhoods', True)
('Some nursery nurses says cities consists of neighborhoods.', 'nursery nurses says cities are composed of neighborhoods', True)
('Some nursery workers says cities consists of neighborhoods.', 'nursery workers says cities are composed of neighborhoods', True)
('Some nurserymans says cities consists of neighborhoods.', 'nurserymans says cities are composed of neighborhoods', True)
('Some nursing assistants says cities consists of neighborhoods.', 'nursing assistants says cities are composed of neighborhoods', True)
('Some nursing auxiliarys says cities consists of neighborhoods.', 'nursing auxiliarys says cities are composed of neighborhoods', True)
('Some nursing managers says cities consists of neighborhoods.', 'nursing managers says cities are composed of neighborhoods', True)
('Some nursing sisters says cities consists of neighborhoods.', 'nursing sisters says cities are composed of neighborhoods', True)
('Some nutritionists says cities consists of neighborhoods.', 'nutritionists says cities are composed of neighborhoods', True)
('Some off shores says cities consists of neighborhoods.', 'off shores says cities are composed of neighborhoods', True)
('Some office managers says cities consists of neighborhoods.', 'office managers says cities are composed of neighborhoods', True)
('Some office workers says cities consists of neighborhoods.', 'office workers says cities are composed of neighborhoods', True)
('Some oil brokers says cities consists of neighborhoods.', 'oil brokers says cities are composed of neighborhoods', True)
('Some oil rig crews says cities consists of neighborhoods.', 'oil rig crews says cities are composed of neighborhoods', True)
('Some opera singers says cities consists of neighborhoods.', 'opera singers says cities are composed of neighborhoods', True)
('Some operationss says cities consists of neighborhoods.', 'operationss says cities are composed of neighborhoods', True)
('Some operatives says cities consists of neighborhoods.', 'operatives says cities are composed of neighborhoods', True)
('Some operators says cities consists of neighborhoods.', 'operators says cities are composed of neighborhoods', True)
('Some opticals says cities consists of neighborhoods.', 'opticals says cities are composed of neighborhoods', True)
('Some optical advisors says cities consists of neighborhoods.', 'optical advisors says cities are composed of neighborhoods', True)
('Some optical assistants says cities consists of neighborhoods.', 'optical assistants says cities are composed of neighborhoods', True)
('Some opticians says cities consists of neighborhoods.', 'opticians says cities are composed of neighborhoods', True)
('Some optometrists says cities consists of neighborhoods.', 'optometrists says cities are composed of neighborhoods', True)
('Some orchestrals says cities consists of neighborhoods.', 'orchestrals says cities are composed of neighborhoods', True)
('Some organisers says cities consists of neighborhoods.', 'organisers says cities are composed of neighborhoods', True)
('Some organists says cities consists of neighborhoods.', 'organists says cities are composed of neighborhoods', True)
('Some ornamentals says cities consists of neighborhoods.', 'ornamentals says cities are composed of neighborhoods', True)
('Some ornithologists says cities consists of neighborhoods.', 'ornithologists says cities are composed of neighborhoods', True)
('Some orthopaedics says cities consists of neighborhoods.', 'orthopaedics says cities are composed of neighborhoods', True)
('Some orthoptists says cities consists of neighborhoods.', 'orthoptists says cities are composed of neighborhoods', True)
('Some osteopaths says cities consists of neighborhoods.', 'osteopaths says cities are composed of neighborhoods', True)
('Some outdoor pursuitss says cities consists of neighborhoods.', 'outdoor pursuitss says cities are composed of neighborhoods', True)
('Some outreach workers says cities consists of neighborhoods.', 'outreach workers says cities are composed of neighborhoods', True)
('Some packagings says cities consists of neighborhoods.', 'packagings says cities are composed of neighborhoods', True)
('Some packers says cities consists of neighborhoods.', 'packers says cities are composed of neighborhoods', True)
('Some paediatricians says cities consists of neighborhoods.', 'paediatricians says cities are composed of neighborhoods', True)
('Some paint consultants says cities consists of neighborhoods.', 'paint consultants says cities are composed of neighborhoods', True)
('Some painters says cities consists of neighborhoods.', 'painters says cities are composed of neighborhoods', True)
('Some palaeobotanists says cities consists of neighborhoods.', 'palaeobotanists says cities are composed of neighborhoods', True)
('Some palaeontologists says cities consists of neighborhoods.', 'palaeontologists says cities are composed of neighborhoods', True)
('Some pallet makers says cities consists of neighborhoods.', 'pallet makers says cities are composed of neighborhoods', True)
('Some panel beaters says cities consists of neighborhoods.', 'panel beaters says cities are composed of neighborhoods', True)
('Some paramedics says cities consists of neighborhoods.', 'paramedics says cities are composed of neighborhoods', True)
('Some park attendants says cities consists of neighborhoods.', 'park attendants says cities are composed of neighborhoods', True)
('Some park keepers says cities consists of neighborhoods.', 'park keepers says cities are composed of neighborhoods', True)
('Some park rangers says cities consists of neighborhoods.', 'park rangers says cities are composed of neighborhoods', True)
('Some partition erectors says cities consists of neighborhoods.', 'partition erectors says cities are composed of neighborhoods', True)
('Some parts mans says cities consists of neighborhoods.', 'parts mans says cities are composed of neighborhoods', True)
('Some parts managers says cities consists of neighborhoods.', 'parts managers says cities are composed of neighborhoods', True)
('Some parts supervisors says cities consists of neighborhoods.', 'parts supervisors says cities are composed of neighborhoods', True)
('Some party planners says cities consists of neighborhoods.', 'party planners says cities are composed of neighborhoods', True)
('Some pasteurisers says cities consists of neighborhoods.', 'pasteurisers says cities are composed of neighborhoods', True)
('Some pastry chefs says cities consists of neighborhoods.', 'pastry chefs says cities are composed of neighborhoods', True)
('Some patent agents says cities consists of neighborhoods.', 'patent agents says cities are composed of neighborhoods', True)
('Some patent attorneys says cities consists of neighborhoods.', 'patent attorneys says cities are composed of neighborhoods', True)
('Some pathologists says cities consists of neighborhoods.', 'pathologists says cities are composed of neighborhoods', True)
('Some patrolmans says cities consists of neighborhoods.', 'patrolmans says cities are composed of neighborhoods', True)
('Some pattern cutters says cities consists of neighborhoods.', 'pattern cutters says cities are composed of neighborhoods', True)
('Some pattern makers says cities consists of neighborhoods.', 'pattern makers says cities are composed of neighborhoods', True)
('Some pattern weavers says cities consists of neighborhoods.', 'pattern weavers says cities are composed of neighborhoods', True)
('Some pawnbrokers says cities consists of neighborhoods.', 'pawnbrokers says cities are composed of neighborhoods', True)
('Some payroll assistants says cities consists of neighborhoods.', 'payroll assistants says cities are composed of neighborhoods', True)
('Some payroll clerks says cities consists of neighborhoods.', 'payroll clerks says cities are composed of neighborhoods', True)
('Some payroll managers says cities consists of neighborhoods.', 'payroll managers says cities are composed of neighborhoods', True)
('Some payroll supervisors says cities consists of neighborhoods.', 'payroll supervisors says cities are composed of neighborhoods', True)
('Some personnel officers says cities consists of neighborhoods.', 'personnel officers says cities are composed of neighborhoods', True)
('Some pest controllers says cities consists of neighborhoods.', 'pest controllers says cities are composed of neighborhoods', True)
('Some pet minders says cities consists of neighborhoods.', 'pet minders says cities are composed of neighborhoods', True)
('Some pharmacists says cities consists of neighborhoods.', 'pharmacists says cities are composed of neighborhoods', True)
('Some philatelists says cities consists of neighborhoods.', 'philatelists says cities are composed of neighborhoods', True)
('Some photographers says cities consists of neighborhoods.', 'photographers says cities are composed of neighborhoods', True)
('Some physicians says cities consists of neighborhoods.', 'physicians says cities are composed of neighborhoods', True)
('Some physicists says cities consists of neighborhoods.', 'physicists says cities are composed of neighborhoods', True)
('Some physiologists says cities consists of neighborhoods.', 'physiologists says cities are composed of neighborhoods', True)
('Some physiotherapists says cities consists of neighborhoods.', 'physiotherapists says cities are composed of neighborhoods', True)
('Some piano teachers says cities consists of neighborhoods.', 'piano teachers says cities are composed of neighborhoods', True)
('Some piano tuners says cities consists of neighborhoods.', 'piano tuners says cities are composed of neighborhoods', True)
('Some picture editors says cities consists of neighborhoods.', 'picture editors says cities are composed of neighborhoods', True)
('Some picture framers says cities consists of neighborhoods.', 'picture framers says cities are composed of neighborhoods', True)
('Some picture reseachers says cities consists of neighborhoods.', 'picture reseachers says cities are composed of neighborhoods', True)
('Some pig mans says cities consists of neighborhoods.', 'pig mans says cities are composed of neighborhoods', True)
('Some pig managers says cities consists of neighborhoods.', 'pig managers says cities are composed of neighborhoods', True)
('Some pilots says cities consists of neighborhoods.', 'pilots says cities are composed of neighborhoods', True)
('Some pipe fitters says cities consists of neighborhoods.', 'pipe fitters says cities are composed of neighborhoods', True)
('Some pipe inspectors says cities consists of neighborhoods.', 'pipe inspectors says cities are composed of neighborhoods', True)
('Some pipe insulators says cities consists of neighborhoods.', 'pipe insulators says cities are composed of neighborhoods', True)
('Some pipe layers says cities consists of neighborhoods.', 'pipe layers says cities are composed of neighborhoods', True)
('Some planning engineers says cities consists of neighborhoods.', 'planning engineers says cities are composed of neighborhoods', True)
('Some planning managers says cities consists of neighborhoods.', 'planning managers says cities are composed of neighborhoods', True)
('Some planning officers says cities consists of neighborhoods.', 'planning officers says cities are composed of neighborhoods', True)
('Some planning technicians says cities consists of neighborhoods.', 'planning technicians says cities are composed of neighborhoods', True)
('Some plant attendants says cities consists of neighborhoods.', 'plant attendants says cities are composed of neighborhoods', True)
('Some plant drivers says cities consists of neighborhoods.', 'plant drivers says cities are composed of neighborhoods', True)
('Some plant engineers says cities consists of neighborhoods.', 'plant engineers says cities are composed of neighborhoods', True)
('Some plant fitters says cities consists of neighborhoods.', 'plant fitters says cities are composed of neighborhoods', True)
('Some plant managers says cities consists of neighborhoods.', 'plant managers says cities are composed of neighborhoods', True)
('Some plant operators says cities consists of neighborhoods.', 'plant operators says cities are composed of neighborhoods', True)
('Some plasterers says cities consists of neighborhoods.', 'plasterers says cities are composed of neighborhoods', True)
('Some plastics consultants says cities consists of neighborhoods.', 'plastics consultants says cities are composed of neighborhoods', True)
('Some plastics engineers says cities consists of neighborhoods.', 'plastics engineers says cities are composed of neighborhoods', True)
('Some plate layers says cities consists of neighborhoods.', 'plate layers says cities are composed of neighborhoods', True)
('Some platers says cities consists of neighborhoods.', 'platers says cities are composed of neighborhoods', True)
('Some playgroup assistants says cities consists of neighborhoods.', 'playgroup assistants says cities are composed of neighborhoods', True)
('Some playgroup leaders says cities consists of neighborhoods.', 'playgroup leaders says cities are composed of neighborhoods', True)
('Some plumbers says cities consists of neighborhoods.', 'plumbers says cities are composed of neighborhoods', True)
('Some podiatrists says cities consists of neighborhoods.', 'podiatrists says cities are composed of neighborhoods', True)
('Some police officers says cities consists of neighborhoods.', 'police officers says cities are composed of neighborhoods', True)
('Some polishers says cities consists of neighborhoods.', 'polishers says cities are composed of neighborhoods', True)
('Some pool attendants says cities consists of neighborhoods.', 'pool attendants says cities are composed of neighborhoods', True)
('Some pools collectors says cities consists of neighborhoods.', 'pools collectors says cities are composed of neighborhoods', True)
('Some porters says cities consists of neighborhoods.', 'porters says cities are composed of neighborhoods', True)
('Some portfolio managers says cities consists of neighborhoods.', 'portfolio managers says cities are composed of neighborhoods', True)
('Some post sorters says cities consists of neighborhoods.', 'post sorters says cities are composed of neighborhoods', True)
('Some postmans says cities consists of neighborhoods.', 'postmans says cities are composed of neighborhoods', True)
('Some postmasters says cities consists of neighborhoods.', 'postmasters says cities are composed of neighborhoods', True)
('Some postwomans says cities consists of neighborhoods.', 'postwomans says cities are composed of neighborhoods', True)
('Some potters says cities consists of neighborhoods.', 'potters says cities are composed of neighborhoods', True)
('Some practice managers says cities consists of neighborhoods.', 'practice managers says cities are composed of neighborhoods', True)
('Some preachers says cities consists of neighborhoods.', 'preachers says cities are composed of neighborhoods', True)
('Some precision engineers says cities consists of neighborhoods.', 'precision engineers says cities are composed of neighborhoods', True)
('Some premisess says cities consists of neighborhoods.', 'premisess says cities are composed of neighborhoods', True)
('Some premises securitys says cities consists of neighborhoods.', 'premises securitys says cities are composed of neighborhoods', True)
('Some press officers says cities consists of neighborhoods.', 'press officers says cities are composed of neighborhoods', True)
('Some press operators says cities consists of neighborhoods.', 'press operators says cities are composed of neighborhoods', True)
('Some press setters says cities consists of neighborhoods.', 'press setters says cities are composed of neighborhoods', True)
('Some pressers says cities consists of neighborhoods.', 'pressers says cities are composed of neighborhoods', True)
('Some priests says cities consists of neighborhoods.', 'priests says cities are composed of neighborhoods', True)
('Some print finishers says cities consists of neighborhoods.', 'print finishers says cities are composed of neighborhoods', True)
('Some printers says cities consists of neighborhoods.', 'printers says cities are composed of neighborhoods', True)
('Some prison chaplains says cities consists of neighborhoods.', 'prison chaplains says cities are composed of neighborhoods', True)
('Some prison officers says cities consists of neighborhoods.', 'prison officers says cities are composed of neighborhoods', True)
('Some private investigators says cities consists of neighborhoods.', 'private investigators says cities are composed of neighborhoods', True)
('Some probation officers says cities consists of neighborhoods.', 'probation officers says cities are composed of neighborhoods', True)
('Some probation workers says cities consists of neighborhoods.', 'probation workers says cities are composed of neighborhoods', True)
('Some procurator fiscals says cities consists of neighborhoods.', 'procurator fiscals says cities are composed of neighborhoods', True)
('Some produce supervisors says cities consists of neighborhoods.', 'produce supervisors says cities are composed of neighborhoods', True)
('Some producers says cities consists of neighborhoods.', 'producers says cities are composed of neighborhoods', True)
('Some product installers says cities consists of neighborhoods.', 'product installers says cities are composed of neighborhoods', True)
('Some product managers says cities consists of neighborhoods.', 'product managers says cities are composed of neighborhoods', True)
('Some production engineers says cities consists of neighborhoods.', 'production engineers says cities are composed of neighborhoods', True)
('Some production hands says cities consists of neighborhoods.', 'production hands says cities are composed of neighborhoods', True)
('Some production managers says cities consists of neighborhoods.', 'production managers says cities are composed of neighborhoods', True)
('Some production planners says cities consists of neighborhoods.', 'production planners says cities are composed of neighborhoods', True)
('Some professional boxers says cities consists of neighborhoods.', 'professional boxers says cities are composed of neighborhoods', True)
('Some professional racings says cities consists of neighborhoods.', 'professional racings says cities are composed of neighborhoods', True)
('Some professional wrestlers says cities consists of neighborhoods.', 'professional wrestlers says cities are composed of neighborhoods', True)
('Some progress chasers says cities consists of neighborhoods.', 'progress chasers says cities are composed of neighborhoods', True)
('Some progress clerks says cities consists of neighborhoods.', 'progress clerks says cities are composed of neighborhoods', True)
('Some project co-ordinators says cities consists of neighborhoods.', 'project co-ordinators says cities are composed of neighborhoods', True)
('Some project engineers says cities consists of neighborhoods.', 'project engineers says cities are composed of neighborhoods', True)
('Some project leaders says cities consists of neighborhoods.', 'project leaders says cities are composed of neighborhoods', True)
('Some project managers says cities consists of neighborhoods.', 'project managers says cities are composed of neighborhoods', True)
('Some project workers says cities consists of neighborhoods.', 'project workers says cities are composed of neighborhoods', True)
('Some projectionists says cities consists of neighborhoods.', 'projectionists says cities are composed of neighborhoods', True)
('Some promoters says cities consists of neighborhoods.', 'promoters says cities are composed of neighborhoods', True)
('Some proof readers says cities consists of neighborhoods.', 'proof readers says cities are composed of neighborhoods', True)
('Some property buyers says cities consists of neighborhoods.', 'property buyers says cities are composed of neighborhoods', True)
('Some property dealers says cities consists of neighborhoods.', 'property dealers says cities are composed of neighborhoods', True)
('Some property developers says cities consists of neighborhoods.', 'property developers says cities are composed of neighborhoods', True)
('Some property managers says cities consists of neighborhoods.', 'property managers says cities are composed of neighborhoods', True)
('Some property valuers says cities consists of neighborhoods.', 'property valuers says cities are composed of neighborhoods', True)
('Some proprietors says cities consists of neighborhoods.', 'proprietors says cities are composed of neighborhoods', True)
('Some psychiatrists says cities consists of neighborhoods.', 'psychiatrists says cities are composed of neighborhoods', True)
