('A automobile is a vehicle.', 'A automobile is a vehicle.', True)
('A doberman pinsch is a lifeform.', 'A doberman pinsch is a lifeform.', True)
('A doberman pinsch is a eukaryote.', 'A doberman pinsch is a eukaryote.', True)
('A doberman pinsch is a animal.', 'A doberman pinsch is a animal.', True)
('A doberman pinsch is a dog.', 'A doberman pinsch is a dog.', True)
('A english foxhound is a lifeform.', 'A english foxhound is a lifeform.', True)
('A english foxhound is a eukaryote.', 'A english foxhound is a eukaryote.', True)
('A english foxhound is a animal.', 'A english foxhound is a animal.', True)
('A english foxhound is a dog.', 'A english foxhound is a dog.', True)
('A english setter is a lifeform.', 'A english setter is a lifeform.', True)
('A english setter is a eukaryote.', 'A english setter is a eukaryote.', True)
('A english setter is a animal.', 'A english setter is a animal.', True)
('A english setter is a dog.', 'A english setter is a dog.', True)
('A field spaniel is a lifeform.', 'A field spaniel is a lifeform.', True)
('A field spaniel is a eukaryote.', 'A field spaniel is a eukaryote.', True)
('A field spaniel is a animal.', 'A field spaniel is a animal.', True)
('A field spaniel is a dog.', 'A field spaniel is a dog.', True)
('A finnish lapphund is a lifeform.', 'A finnish lapphund is a lifeform.', True)
('A finnish lapphund is a eukaryote.', 'A finnish lapphund is a eukaryote.', True)
('A finnish lapphund is a animal.', 'A finnish lapphund is a animal.', True)
('A finnish lapphund is a dog.', 'A finnish lapphund is a dog.', True)
('A finnish spitz is a lifeform.', 'A finnish spitz is a lifeform.', True)
('A finnish spitz is a eukaryote.', 'A finnish spitz is a eukaryote.', True)
('A finnish spitz is a animal.', 'A finnish spitz is a animal.', True)
('A finnish spitz is a dog.', 'A finnish spitz is a dog.', True)
('A french bulldog is a lifeform.', 'A french bulldog is a lifeform.', True)
('A french bulldog is a eukaryote.', 'A french bulldog is a eukaryote.', True)
('A french bulldog is a animal.', 'A french bulldog is a animal.', True)
('A french bulldog is a dog.', 'A french bulldog is a dog.', True)
('A german pinscher is a lifeform.', 'A german pinscher is a lifeform.', True)
('A german pinscher is a eukaryote.', 'A german pinscher is a eukaryote.', True)
('A german pinscher is a animal.', 'A german pinscher is a animal.', True)
('A german pinscher is a dog.', 'A german pinscher is a dog.', True)
('A german shepherd is a lifeform.', 'A german shepherd is a lifeform.', True)
('A german shepherd is a eukaryote.', 'A german shepherd is a eukaryote.', True)
('A german shepherd is a animal.', 'A german shepherd is a animal.', True)
('A german shepherd is a dog.', 'A german shepherd is a dog.', True)
('A giant schnauzer is a lifeform.', 'A giant schnauzer is a lifeform.', True)
('A giant schnauzer is a eukaryote.', 'A giant schnauzer is a eukaryote.', True)
('A giant schnauzer is a animal.', 'A giant schnauzer is a animal.', True)
('A giant schnauzer is a dog.', 'A giant schnauzer is a dog.', True)
('A golden retriever is a lifeform.', 'A golden retriever is a lifeform.', True)
('A golden retriever is a eukaryote.', 'A golden retriever is a eukaryote.', True)
('A golden retriever is a animal.', 'A golden retriever is a animal.', True)
('A golden retriever is a dog.', 'A golden retriever is a dog.', True)
('A gordon setter is a lifeform.', 'A gordon setter is a lifeform.', True)
('A gordon setter is a eukaryote.', 'A gordon setter is a eukaryote.', True)
('A gordon setter is a animal.', 'A gordon setter is a animal.', True)
('A gordon setter is a dog.', 'A gordon setter is a dog.', True)
('A great dane is a lifeform.', 'A great dane is a lifeform.', True)
('A great dane is a eukaryote.', 'A great dane is a eukaryote.', True)
('A great dane is a animal.', 'A great dane is a animal.', True)
('A great dane is a dog.', 'A great dane is a dog.', True)
('A great pyrenees is a lifeform.', 'A great pyrenees is a lifeform.', True)
('A great pyrenees is a eukaryote.', 'A great pyrenees is a eukaryote.', True)
('A great pyrenees is a animal.', 'A great pyrenees is a animal.', True)
('A great pyrenees is a dog.', 'A great pyrenees is a dog.', True)
('A greyhound is a lifeform.', 'A greyhound is a lifeform.', True)
('A greyhound is a eukaryote.', 'A greyhound is a eukaryote.', True)
('A greyhound is a animal.', 'A greyhound is a animal.', True)
('A greyhound is a dog.', 'A greyhound is a dog.', True)
('A harrier is a lifeform.', 'A harrier is a lifeform.', True)
('A harrier is a eukaryote.', 'A harrier is a eukaryote.', True)
('A harrier is a animal.', 'A harrier is a animal.', True)
('A harrier is a dog.', 'A harrier is a dog.', True)
('A havanese is a lifeform.', 'A havanese is a lifeform.', True)
('A havanese is a eukaryote.', 'A havanese is a eukaryote.', True)
('A havanese is a animal.', 'A havanese is a animal.', True)
('A havanese is a dog.', 'A havanese is a dog.', True)
('A ibizan hound is a lifeform.', 'A ibizan hound is a lifeform.', True)
('A ibizan hound is a eukaryote.', 'A ibizan hound is a eukaryote.', True)
('A ibizan hound is a animal.', 'A ibizan hound is a animal.', True)
('A ibizan hound is a dog.', 'A ibizan hound is a dog.', True)
('A irish setter is a lifeform.', 'A irish setter is a lifeform.', True)
('A irish setter is a eukaryote.', 'A irish setter is a eukaryote.', True)
('A irish setter is a animal.', 'A irish setter is a animal.', True)
('A irish setter is a dog.', 'A irish setter is a dog.', True)
('A irish terrier is a lifeform.', 'A irish terrier is a lifeform.', True)
('A irish terrier is a eukaryote.', 'A irish terrier is a eukaryote.', True)
('A irish terrier is a animal.', 'A irish terrier is a animal.', True)
('A irish terrier is a dog.', 'A irish terrier is a dog.', True)
('A irish wolfhound is a lifeform.', 'A irish wolfhound is a lifeform.', True)
('A irish wolfhound is a eukaryote.', 'A irish wolfhound is a eukaryote.', True)
('A irish wolfhound is a animal.', 'A irish wolfhound is a animal.', True)
('A irish wolfhound is a dog.', 'A irish wolfhound is a dog.', True)
('A japanese chin is a lifeform.', 'A japanese chin is a lifeform.', True)
('A japanese chin is a eukaryote.', 'A japanese chin is a eukaryote.', True)
('A japanese chin is a animal.', 'A japanese chin is a animal.', True)
('A japanese chin is a dog.', 'A japanese chin is a dog.', True)
('A keeshond is a lifeform.', 'A keeshond is a lifeform.', True)
('A keeshond is a eukaryote.', 'A keeshond is a eukaryote.', True)
('A keeshond is a animal.', 'A keeshond is a animal.', True)
('A keeshond is a dog.', 'A keeshond is a dog.', True)
('A komondor is a lifeform.', 'A komondor is a lifeform.', True)
('A komondor is a eukaryote.', 'A komondor is a eukaryote.', True)
('A komondor is a animal.', 'A komondor is a animal.', True)
('A komondor is a dog.', 'A komondor is a dog.', True)
('A kuvasz is a lifeform.', 'A kuvasz is a lifeform.', True)
('A kuvasz is a eukaryote.', 'A kuvasz is a eukaryote.', True)
('A kuvasz is a animal.', 'A kuvasz is a animal.', True)
('A kuvasz is a dog.', 'A kuvasz is a dog.', True)
('A lakeland terrier is a lifeform.', 'A lakeland terrier is a lifeform.', True)
('A lakeland terrier is a eukaryote.', 'A lakeland terrier is a eukaryote.', True)
('A lakeland terrier is a animal.', 'A lakeland terrier is a animal.', True)
('A lakeland terrier is a dog.', 'A lakeland terrier is a dog.', True)
('A leonberger is a lifeform.', 'A leonberger is a lifeform.', True)
('A leonberger is a eukaryote.', 'A leonberger is a eukaryote.', True)
('A leonberger is a animal.', 'A leonberger is a animal.', True)
('A leonberger is a dog.', 'A leonberger is a dog.', True)
('A lhasa apso is a lifeform.', 'A lhasa apso is a lifeform.', True)
('A lhasa apso is a eukaryote.', 'A lhasa apso is a eukaryote.', True)
('A lhasa apso is a animal.', 'A lhasa apso is a animal.', True)
('A lhasa apso is a dog.', 'A lhasa apso is a dog.', True)
('A l_wchen is a lifeform.', 'A l_wchen is a lifeform.', True)
('A l_wchen is a eukaryote.', 'A l_wchen is a eukaryote.', True)
('A l_wchen is a animal.', 'A l_wchen is a animal.', True)
('A l_wchen is a dog.', 'A l_wchen is a dog.', True)
('A maltese is a lifeform.', 'A maltese is a lifeform.', True)
('A maltese is a eukaryote.', 'A maltese is a eukaryote.', True)
('A maltese is a animal.', 'A maltese is a animal.', True)
('A maltese is a dog.', 'A maltese is a dog.', True)
('A mastiff is a lifeform.', 'A mastiff is a lifeform.', True)
('A mastiff is a eukaryote.', 'A mastiff is a eukaryote.', True)
('A mastiff is a animal.', 'A mastiff is a animal.', True)
('A mastiff is a dog.', 'A mastiff is a dog.', True)
('A newfoundland is a lifeform.', 'A newfoundland is a lifeform.', True)
('A newfoundland is a eukaryote.', 'A newfoundland is a eukaryote.', True)
('A newfoundland is a animal.', 'A newfoundland is a animal.', True)
('A newfoundland is a dog.', 'A newfoundland is a dog.', True)
('A norfolk terrier is a lifeform.', 'A norfolk terrier is a lifeform.', True)
('A norfolk terrier is a eukaryote.', 'A norfolk terrier is a eukaryote.', True)
('A norfolk terrier is a animal.', 'A norfolk terrier is a animal.', True)
('A norfolk terrier is a dog.', 'A norfolk terrier is a dog.', True)
('A norwegian buhund is a lifeform.', 'A norwegian buhund is a lifeform.', True)
('A norwegian buhund is a eukaryote.', 'A norwegian buhund is a eukaryote.', True)
('A norwegian buhund is a animal.', 'A norwegian buhund is a animal.', True)
('A norwegian buhund is a dog.', 'A norwegian buhund is a dog.', True)
('A norwich terrier is a lifeform.', 'A norwich terrier is a lifeform.', True)
('A norwich terrier is a eukaryote.', 'A norwich terrier is a eukaryote.', True)
('A norwich terrier is a animal.', 'A norwich terrier is a animal.', True)
('A norwich terrier is a dog.', 'A norwich terrier is a dog.', True)
('A otterhound is a lifeform.', 'A otterhound is a lifeform.', True)
('A otterhound is a eukaryote.', 'A otterhound is a eukaryote.', True)
('A otterhound is a animal.', 'A otterhound is a animal.', True)
('A otterhound is a dog.', 'A otterhound is a dog.', True)
('A papillon is a lifeform.', 'A papillon is a lifeform.', True)
('A papillon is a eukaryote.', 'A papillon is a eukaryote.', True)
('A papillon is a animal.', 'A papillon is a animal.', True)
('A papillon is a dog.', 'A papillon is a dog.', True)
('A pekingese is a lifeform.', 'A pekingese is a lifeform.', True)
('A pekingese is a eukaryote.', 'A pekingese is a eukaryote.', True)
('A pekingese is a animal.', 'A pekingese is a animal.', True)
('A pekingese is a dog.', 'A pekingese is a dog.', True)
('A pharaoh hound is a lifeform.', 'A pharaoh hound is a lifeform.', True)
('A pharaoh hound is a eukaryote.', 'A pharaoh hound is a eukaryote.', True)
('A pharaoh hound is a animal.', 'A pharaoh hound is a animal.', True)
('A pharaoh hound is a dog.', 'A pharaoh hound is a dog.', True)
('A plott is a lifeform.', 'A plott is a lifeform.', True)
('A plott is a eukaryote.', 'A plott is a eukaryote.', True)
('A plott is a animal.', 'A plott is a animal.', True)
('A plott is a dog.', 'A plott is a dog.', True)
('A pointer is a lifeform.', 'A pointer is a lifeform.', True)
('A pointer is a eukaryote.', 'A pointer is a eukaryote.', True)
('A pointer is a animal.', 'A pointer is a animal.', True)
('A pointer is a dog.', 'A pointer is a dog.', True)
('A pomeranian is a lifeform.', 'A pomeranian is a lifeform.', True)
('A pomeranian is a eukaryote.', 'A pomeranian is a eukaryote.', True)
('A pomeranian is a animal.', 'A pomeranian is a animal.', True)
('A pomeranian is a dog.', 'A pomeranian is a dog.', True)
('A standard poodle is a lifeform.', 'A standard poodle is a lifeform.', True)
('A standard poodle is a eukaryote.', 'A standard poodle is a eukaryote.', True)
('A standard poodle is a animal.', 'A standard poodle is a animal.', True)
('A standard poodle is a dog.', 'A standard poodle is a dog.', True)
('A miniature poodle is a lifeform.', 'A miniature poodle is a lifeform.', True)
('A miniature poodle is a eukaryote.', 'A miniature poodle is a eukaryote.', True)
('A miniature poodle is a animal.', 'A miniature poodle is a animal.', True)
('A miniature poodle is a dog.', 'A miniature poodle is a dog.', True)
('A toy poodle is a lifeform.', 'A toy poodle is a lifeform.', True)
('A toy poodle is a eukaryote.', 'A toy poodle is a eukaryote.', True)
('A toy poodle is a animal.', 'A toy poodle is a animal.', True)
('A toy poodle is a dog.', 'A toy poodle is a dog.', True)
('A pug is a lifeform.', 'A pug is a lifeform.', True)
('A pug is a eukaryote.', 'A pug is a eukaryote.', True)
('A pug is a animal.', 'A pug is a animal.', True)
('A pug is a dog.', 'A pug is a dog.', True)
('A puli is a lifeform.', 'A puli is a lifeform.', True)
('A puli is a eukaryote.', 'A puli is a eukaryote.', True)
('A puli is a animal.', 'A puli is a animal.', True)
('A puli is a dog.', 'A puli is a dog.', True)
('A rat terrier is a lifeform.', 'A rat terrier is a lifeform.', True)
('A rat terrier is a eukaryote.', 'A rat terrier is a eukaryote.', True)
('A rat terrier is a animal.', 'A rat terrier is a animal.', True)
('A rat terrier is a dog.', 'A rat terrier is a dog.', True)
('A rottweiler is a lifeform.', 'A rottweiler is a lifeform.', True)
('A rottweiler is a eukaryote.', 'A rottweiler is a eukaryote.', True)
('A rottweiler is a animal.', 'A rottweiler is a animal.', True)
('A rottweiler is a dog.', 'A rottweiler is a dog.', True)
('A russell terrier is a lifeform.', 'A russell terrier is a lifeform.', True)
('A russell terrier is a eukaryote.', 'A russell terrier is a eukaryote.', True)
('A russell terrier is a animal.', 'A russell terrier is a animal.', True)
('A russell terrier is a dog.', 'A russell terrier is a dog.', True)
('A st. bernard is a lifeform.', 'A st. bernard is a lifeform.', True)
('A st. bernard is a eukaryote.', 'A st. bernard is a eukaryote.', True)
('A st. bernard is a animal.', 'A st. bernard is a animal.', True)
('A st. bernard is a dog.', 'A st. bernard is a dog.', True)
('A saluki is a lifeform.', 'A saluki is a lifeform.', True)
('A saluki is a eukaryote.', 'A saluki is a eukaryote.', True)
('A saluki is a animal.', 'A saluki is a animal.', True)
('A saluki is a dog.', 'A saluki is a dog.', True)
('A samoyed is a lifeform.', 'A samoyed is a lifeform.', True)
('A samoyed is a eukaryote.', 'A samoyed is a eukaryote.', True)
('A samoyed is a animal.', 'A samoyed is a animal.', True)
('A samoyed is a dog.', 'A samoyed is a dog.', True)
('A schipperke is a lifeform.', 'A schipperke is a lifeform.', True)
('A schipperke is a eukaryote.', 'A schipperke is a eukaryote.', True)
('A schipperke is a animal.', 'A schipperke is a animal.', True)
('A schipperke is a dog.', 'A schipperke is a dog.', True)
('A scottish terrier is a lifeform.', 'A scottish terrier is a lifeform.', True)
('A scottish terrier is a eukaryote.', 'A scottish terrier is a eukaryote.', True)
('A scottish terrier is a animal.', 'A scottish terrier is a animal.', True)
('A scottish terrier is a dog.', 'A scottish terrier is a dog.', True)
('A sealyham terrier is a lifeform.', 'A sealyham terrier is a lifeform.', True)
('A sealyham terrier is a eukaryote.', 'A sealyham terrier is a eukaryote.', True)
('A sealyham terrier is a animal.', 'A sealyham terrier is a animal.', True)
('A sealyham terrier is a dog.', 'A sealyham terrier is a dog.', True)
('A shiba inu is a lifeform.', 'A shiba inu is a lifeform.', True)
('A shiba inu is a eukaryote.', 'A shiba inu is a eukaryote.', True)
('A shiba inu is a animal.', 'A shiba inu is a animal.', True)
('A shiba inu is a dog.', 'A shiba inu is a dog.', True)
('A shih tzu is a lifeform.', 'A shih tzu is a lifeform.', True)
('A shih tzu is a eukaryote.', 'A shih tzu is a eukaryote.', True)
('A shih tzu is a animal.', 'A shih tzu is a animal.', True)
('A shih tzu is a dog.', 'A shih tzu is a dog.', True)
('A siberian husky is a lifeform.', 'A siberian husky is a lifeform.', True)
('A siberian husky is a eukaryote.', 'A siberian husky is a eukaryote.', True)
('A siberian husky is a animal.', 'A siberian husky is a animal.', True)
('A siberian husky is a dog.', 'A siberian husky is a dog.', True)
('A silky terrier is a lifeform.', 'A silky terrier is a lifeform.', True)
('A silky terrier is a eukaryote.', 'A silky terrier is a eukaryote.', True)
('A silky terrier is a animal.', 'A silky terrier is a animal.', True)
('A silky terrier is a dog.', 'A silky terrier is a dog.', True)
('A skye terrier is a lifeform.', 'A skye terrier is a lifeform.', True)
('A skye terrier is a eukaryote.', 'A skye terrier is a eukaryote.', True)
('A skye terrier is a animal.', 'A skye terrier is a animal.', True)
('A skye terrier is a dog.', 'A skye terrier is a dog.', True)
('A sloughi is a lifeform.', 'A sloughi is a lifeform.', True)
('A sloughi is a eukaryote.', 'A sloughi is a eukaryote.', True)
('A sloughi is a animal.', 'A sloughi is a animal.', True)
('A sloughi is a dog.', 'A sloughi is a dog.', True)
('A spinone italiano is a lifeform.', 'A spinone italiano is a lifeform.', True)
('A spinone italiano is a eukaryote.', 'A spinone italiano is a eukaryote.', True)
('A spinone italiano is a animal.', 'A spinone italiano is a animal.', True)
('A spinone italiano is a dog.', 'A spinone italiano is a dog.', True)
('A sussex spaniel is a lifeform.', 'A sussex spaniel is a lifeform.', True)
('A sussex spaniel is a eukaryote.', 'A sussex spaniel is a eukaryote.', True)
('A sussex spaniel is a animal.', 'A sussex spaniel is a animal.', True)
('A sussex spaniel is a dog.', 'A sussex spaniel is a dog.', True)
('A swedish vallhund is a lifeform.', 'A swedish vallhund is a lifeform.', True)
('A swedish vallhund is a eukaryote.', 'A swedish vallhund is a eukaryote.', True)
('A swedish vallhund is a animal.', 'A swedish vallhund is a animal.', True)
('A swedish vallhund is a dog.', 'A swedish vallhund is a dog.', True)
('A tibetan mastiff is a lifeform.', 'A tibetan mastiff is a lifeform.', True)
('A tibetan mastiff is a eukaryote.', 'A tibetan mastiff is a eukaryote.', True)
('A tibetan mastiff is a animal.', 'A tibetan mastiff is a animal.', True)
('A tibetan mastiff is a dog.', 'A tibetan mastiff is a dog.', True)
('A tibetan spaniel is a lifeform.', 'A tibetan spaniel is a lifeform.', True)
('A tibetan spaniel is a eukaryote.', 'A tibetan spaniel is a eukaryote.', True)
('A tibetan spaniel is a animal.', 'A tibetan spaniel is a animal.', True)
('A tibetan spaniel is a dog.', 'A tibetan spaniel is a dog.', True)
('A tibetan terrier is a lifeform.', 'A tibetan terrier is a lifeform.', True)
('A tibetan terrier is a eukaryote.', 'A tibetan terrier is a eukaryote.', True)
('A tibetan terrier is a animal.', 'A tibetan terrier is a animal.', True)
('A tibetan terrier is a dog.', 'A tibetan terrier is a dog.', True)
('A toy fox terrier is a lifeform.', 'A toy fox terrier is a lifeform.', True)
('A toy fox terrier is a eukaryote.', 'A toy fox terrier is a eukaryote.', True)
('A toy fox terrier is a animal.', 'A toy fox terrier is a animal.', True)
('A toy fox terrier is a dog.', 'A toy fox terrier is a dog.', True)
('A vizsla is a lifeform.', 'A vizsla is a lifeform.', True)
('A vizsla is a eukaryote.', 'A vizsla is a eukaryote.', True)
('A vizsla is a animal.', 'A vizsla is a animal.', True)
('A vizsla is a dog.', 'A vizsla is a dog.', True)
('A weimaraner is a lifeform.', 'A weimaraner is a lifeform.', True)
('A weimaraner is a eukaryote.', 'A weimaraner is a eukaryote.', True)
('A weimaraner is a animal.', 'A weimaraner is a animal.', True)
('A weimaraner is a dog.', 'A weimaraner is a dog.', True)
('A welsh terrier is a lifeform.', 'A welsh terrier is a lifeform.', True)
('A welsh terrier is a eukaryote.', 'A welsh terrier is a eukaryote.', True)
('A welsh terrier is a animal.', 'A welsh terrier is a animal.', True)
('A welsh terrier is a dog.', 'A welsh terrier is a dog.', True)
('A whippet is a lifeform.', 'A whippet is a lifeform.', True)
('A whippet is a eukaryote.', 'A whippet is a eukaryote.', True)
('A whippet is a animal.', 'A whippet is a animal.', True)
('A whippet is a dog.', 'A whippet is a dog.', True)
('A wire fox terrier is a lifeform.', 'A wire fox terrier is a lifeform.', True)
('A wire fox terrier is a eukaryote.', 'A wire fox terrier is a eukaryote.', True)
('A wire fox terrier is a animal.', 'A wire fox terrier is a animal.', True)
('A wire fox terrier is a dog.', 'A wire fox terrier is a dog.', True)
('A xoloitzcuintli is a lifeform.', 'A xoloitzcuintli is a lifeform.', True)
('A xoloitzcuintli is a eukaryote.', 'A xoloitzcuintli is a eukaryote.', True)
('A xoloitzcuintli is a animal.', 'A xoloitzcuintli is a animal.', True)
('A xoloitzcuintli is a dog.', 'A xoloitzcuintli is a dog.', True)
('A dogfish is a lifeform.', 'A dogfish is a lifeform.', True)
('A dogfish is a eukaryote.', 'A dogfish is a eukaryote.', True)
('A dogfish is a animal.', 'A dogfish is a animal.', True)
('A dolphin is a lifeform.', 'A dolphin is a lifeform.', True)
('A dolphin is a eukaryote.', 'A dolphin is a eukaryote.', True)
('A dolphin is a animal.', 'A dolphin is a animal.', True)
('A dotterel is a lifeform.', 'A dotterel is a lifeform.', True)
('A dotterel is a eukaryote.', 'A dotterel is a eukaryote.', True)
('A dotterel is a animal.', 'A dotterel is a animal.', True)
('A dove is a lifeform.', 'A dove is a lifeform.', True)
('A dove is a eukaryote.', 'A dove is a eukaryote.', True)
('A dove is a animal.', 'A dove is a animal.', True)
('A dragonfly is a lifeform.', 'A dragonfly is a lifeform.', True)
('A dragonfly is a eukaryote.', 'A dragonfly is a eukaryote.', True)
('A dragonfly is a animal.', 'A dragonfly is a animal.', True)
('A duck is a lifeform.', 'A duck is a lifeform.', True)
('A duck is a eukaryote.', 'A duck is a eukaryote.', True)
('A duck is a animal.', 'A duck is a animal.', True)
('A dugong is a lifeform.', 'A dugong is a lifeform.', True)
('A dugong is a eukaryote.', 'A dugong is a eukaryote.', True)
('A dugong is a animal.', 'A dugong is a animal.', True)
('A dunlin is a lifeform.', 'A dunlin is a lifeform.', True)
('A dunlin is a eukaryote.', 'A dunlin is a eukaryote.', True)
('A dunlin is a animal.', 'A dunlin is a animal.', True)
('A eagle is a lifeform.', 'A eagle is a lifeform.', True)
('A eagle is a eukaryote.', 'A eagle is a eukaryote.', True)
('A eagle is a animal.', 'A eagle is a animal.', True)
('A echidna is a lifeform.', 'A echidna is a lifeform.', True)
('A echidna is a eukaryote.', 'A echidna is a eukaryote.', True)
('A echidna is a animal.', 'A echidna is a animal.', True)
('A eel is a lifeform.', 'A eel is a lifeform.', True)
('A eel is a eukaryote.', 'A eel is a eukaryote.', True)
('A eel is a animal.', 'A eel is a animal.', True)
('A eland is a lifeform.', 'A eland is a lifeform.', True)
('A eland is a eukaryote.', 'A eland is a eukaryote.', True)
('A eland is a animal.', 'A eland is a animal.', True)
('A elephant is a lifeform.', 'A elephant is a lifeform.', True)
('A elephant is a eukaryote.', 'A elephant is a eukaryote.', True)
('A elephant is a animal.', 'A elephant is a animal.', True)
('A elk is a lifeform.', 'A elk is a lifeform.', True)
('A elk is a eukaryote.', 'A elk is a eukaryote.', True)
('A elk is a animal.', 'A elk is a animal.', True)
('A emu is a lifeform.', 'A emu is a lifeform.', True)
('A emu is a eukaryote.', 'A emu is a eukaryote.', True)
('A emu is a animal.', 'A emu is a animal.', True)
('A falcon is a lifeform.', 'A falcon is a lifeform.', True)
('A falcon is a eukaryote.', 'A falcon is a eukaryote.', True)
('A falcon is a animal.', 'A falcon is a animal.', True)
('A ferret is a lifeform.', 'A ferret is a lifeform.', True)
('A ferret is a eukaryote.', 'A ferret is a eukaryote.', True)
('A ferret is a animal.', 'A ferret is a animal.', True)
('A finch is a lifeform.', 'A finch is a lifeform.', True)
('A finch is a eukaryote.', 'A finch is a eukaryote.', True)
('A finch is a animal.', 'A finch is a animal.', True)
('A fish is a lifeform.', 'A fish is a lifeform.', True)
('A fish is a eukaryote.', 'A fish is a eukaryote.', True)
('A fish is a animal.', 'A fish is a animal.', True)
('A flamingo is a lifeform.', 'A flamingo is a lifeform.', True)
('A flamingo is a eukaryote.', 'A flamingo is a eukaryote.', True)
('A flamingo is a animal.', 'A flamingo is a animal.', True)
('A fly is a lifeform.', 'A fly is a lifeform.', True)
('A fly is a eukaryote.', 'A fly is a eukaryote.', True)
('A fly is a animal.', 'A fly is a animal.', True)
('A fox is a lifeform.', 'A fox is a lifeform.', True)
('A fox is a eukaryote.', 'A fox is a eukaryote.', True)
('A fox is a animal.', 'A fox is a animal.', True)
('A frog is a lifeform.', 'A frog is a lifeform.', True)
('A frog is a eukaryote.', 'A frog is a eukaryote.', True)
('A frog is a animal.', 'A frog is a animal.', True)
('A gaur is a lifeform.', 'A gaur is a lifeform.', True)
('A gaur is a eukaryote.', 'A gaur is a eukaryote.', True)
('A gaur is a animal.', 'A gaur is a animal.', True)
('A gazelle is a lifeform.', 'A gazelle is a lifeform.', True)
('A gazelle is a eukaryote.', 'A gazelle is a eukaryote.', True)
('A gazelle is a animal.', 'A gazelle is a animal.', True)
('A gerbil is a lifeform.', 'A gerbil is a lifeform.', True)
('A gerbil is a eukaryote.', 'A gerbil is a eukaryote.', True)
('A gerbil is a animal.', 'A gerbil is a animal.', True)
('A giraffe is a lifeform.', 'A giraffe is a lifeform.', True)
('A giraffe is a eukaryote.', 'A giraffe is a eukaryote.', True)
('A giraffe is a animal.', 'A giraffe is a animal.', True)
('A gnat is a lifeform.', 'A gnat is a lifeform.', True)
('A gnat is a eukaryote.', 'A gnat is a eukaryote.', True)
('A gnat is a animal.', 'A gnat is a animal.', True)
('A gnu is a lifeform.', 'A gnu is a lifeform.', True)
('A gnu is a eukaryote.', 'A gnu is a eukaryote.', True)
('A gnu is a animal.', 'A gnu is a animal.', True)
('A goat is a lifeform.', 'A goat is a lifeform.', True)
('A goat is a eukaryote.', 'A goat is a eukaryote.', True)
('A goat is a animal.', 'A goat is a animal.', True)
('A goldfinch is a lifeform.', 'A goldfinch is a lifeform.', True)
('A goldfinch is a eukaryote.', 'A goldfinch is a eukaryote.', True)
('A goldfinch is a animal.', 'A goldfinch is a animal.', True)
('A goldfish is a lifeform.', 'A goldfish is a lifeform.', True)
('A goldfish is a eukaryote.', 'A goldfish is a eukaryote.', True)
('A goldfish is a animal.', 'A goldfish is a animal.', True)
('A goose is a lifeform.', 'A goose is a lifeform.', True)
('A goose is a eukaryote.', 'A goose is a eukaryote.', True)
('A goose is a animal.', 'A goose is a animal.', True)
('A gorilla is a lifeform.', 'A gorilla is a lifeform.', True)
('A gorilla is a eukaryote.', 'A gorilla is a eukaryote.', True)
('A gorilla is a animal.', 'A gorilla is a animal.', True)
('A goshawk is a lifeform.', 'A goshawk is a lifeform.', True)
('A goshawk is a eukaryote.', 'A goshawk is a eukaryote.', True)
('A goshawk is a animal.', 'A goshawk is a animal.', True)
('A grasshopper is a lifeform.', 'A grasshopper is a lifeform.', True)
('A grasshopper is a eukaryote.', 'A grasshopper is a eukaryote.', True)
('A grasshopper is a animal.', 'A grasshopper is a animal.', True)
('A grouse is a lifeform.', 'A grouse is a lifeform.', True)
('A grouse is a eukaryote.', 'A grouse is a eukaryote.', True)
('A grouse is a animal.', 'A grouse is a animal.', True)
('A guanaco is a lifeform.', 'A guanaco is a lifeform.', True)
('A guanaco is a eukaryote.', 'A guanaco is a eukaryote.', True)
('A guanaco is a animal.', 'A guanaco is a animal.', True)
('A gull is a lifeform.', 'A gull is a lifeform.', True)
('A gull is a eukaryote.', 'A gull is a eukaryote.', True)
('A gull is a animal.', 'A gull is a animal.', True)
('A hamster is a lifeform.', 'A hamster is a lifeform.', True)
('A hamster is a eukaryote.', 'A hamster is a eukaryote.', True)
('A hamster is a animal.', 'A hamster is a animal.', True)
('A hare is a lifeform.', 'A hare is a lifeform.', True)
('A hare is a eukaryote.', 'A hare is a eukaryote.', True)
('A hare is a animal.', 'A hare is a animal.', True)
('A hawk is a lifeform.', 'A hawk is a lifeform.', True)
('A hawk is a eukaryote.', 'A hawk is a eukaryote.', True)
('A hawk is a animal.', 'A hawk is a animal.', True)
('A hedgehog is a lifeform.', 'A hedgehog is a lifeform.', True)
('A hedgehog is a eukaryote.', 'A hedgehog is a eukaryote.', True)
('A hedgehog is a animal.', 'A hedgehog is a animal.', True)
('A heron is a lifeform.', 'A heron is a lifeform.', True)
('A heron is a eukaryote.', 'A heron is a eukaryote.', True)
('A heron is a animal.', 'A heron is a animal.', True)
('A herring is a lifeform.', 'A herring is a lifeform.', True)
('A herring is a eukaryote.', 'A herring is a eukaryote.', True)
('A herring is a animal.', 'A herring is a animal.', True)
('A hippopotamus is a lifeform.', 'A hippopotamus is a lifeform.', True)
('A hippopotamus is a eukaryote.', 'A hippopotamus is a eukaryote.', True)
('A hippopotamus is a animal.', 'A hippopotamus is a animal.', True)
('A hornet is a lifeform.', 'A hornet is a lifeform.', True)
('A hornet is a eukaryote.', 'A hornet is a eukaryote.', True)
