('The turtle is in the milky way galaxy.', 'The turtle is in the universe.', True)
('The monkey is in the united arab emirates.', 'The monkey is in the milky way galaxy.', True)
('The koala is in the united arab emirates.', 'The koala is in our solar system.', True)
('The squid is in the united arab emirates.', 'The squid is on earth.', True)
('The spider is in the united arab emirates.', 'The spider is in asia.', True)
('The dove is in uzbekistan.', 'The dove is in the universe.', True)
('The pelican is in uzbekistan.', 'The pelican is in the milky way galaxy.', True)
('The goldfinch is in uzbekistan.', 'The goldfinch is in our solar system.', True)
('The chicken is in uzbekistan.', 'The chicken is on earth.', True)
('The jellyfish is in uzbekistan.', 'The jellyfish is in asia.', True)
('The caribou is in vietnam.', 'The caribou is in the universe.', True)
('The dinosaur is in vietnam.', 'The dinosaur is in the milky way galaxy.', True)
('The partridge is in vietnam.', 'The partridge is in our solar system.', True)
('The nightingale is in vietnam.', 'The nightingale is on earth.', True)
('The dragonfly is in vietnam.', 'The dragonfly is in asia.', True)
('The leopard is in yemen.', 'The leopard is in the universe.', True)
('The heron is in yemen.', 'The heron is in the milky way galaxy.', True)
('The wren is in yemen.', 'The wren is in our solar system.', True)
('The parrot is in yemen.', 'The parrot is on earth.', True)
('The pigeon is in yemen.', 'The pigeon is in asia.', True)
('The ostrich is in australia.', 'The ostrich is in the universe.', True)
('The ibex is in australia.', 'The ibex is in the milky way galaxy.', True)
('The goldfish is in australia.', 'The goldfish is in our solar system.', True)
('The jackal is in australia.', 'The jackal is on earth.', True)
('The salamander is in new south wales.', 'The salamander is in the universe.', True)
('The herring is in new south wales.', 'The herring is in the milky way galaxy.', True)
('The mosquito is in new south wales.', 'The mosquito is in our solar system.', True)
('The goldfinch is in new south wales.', 'The goldfinch is on earth.', True)
('The rook is in new south wales.', 'The rook is in australia.', True)
('The mantis is in northern territory.', 'The mantis is in the universe.', True)
('The zebra is in northern territory.', 'The zebra is in the milky way galaxy.', True)
('The bear is in northern territory.', 'The bear is in our solar system.', True)
('The reindeer is in northern territory.', 'The reindeer is on earth.', True)
('The oryx is in northern territory.', 'The oryx is in australia.', True)
('The fox is in queensland.', 'The fox is in the universe.', True)
('The chough is in queensland.', 'The chough is in the milky way galaxy.', True)
('The hippopotamus is in queensland.', 'The hippopotamus is in our solar system.', True)
('The bee is in queensland.', 'The bee is on earth.', True)
('The partridge is in queensland.', 'The partridge is in australia.', True)
('The llama is in south australia.', 'The llama is in the universe.', True)
('The pony is in south australia.', 'The pony is in the milky way galaxy.', True)
('The cheetah is in south australia.', 'The cheetah is in our solar system.', True)
('The bee is in south australia.', 'The bee is on earth.', True)
('The flamingo is in south australia.', 'The flamingo is in australia.', True)
('The wallaby is in tasmania.', 'The wallaby is in the universe.', True)
('The barracuda is in tasmania.', 'The barracuda is in the milky way galaxy.', True)
('The pelican is in tasmania.', 'The pelican is in our solar system.', True)
('The lapwing is in tasmania.', 'The lapwing is on earth.', True)
('The jellyfish is in tasmania.', 'The jellyfish is in australia.', True)
('The gull is in victoria.', 'The gull is in the universe.', True)
('The stinkbug is in victoria.', 'The stinkbug is in the milky way galaxy.', True)
('The horse is in victoria.', 'The horse is in our solar system.', True)
('The stork is in victoria.', 'The stork is on earth.', True)
('The baboon is in victoria.', 'The baboon is in australia.', True)
('The panther is in western australia.', 'The panther is in the universe.', True)
('The gnat is in western australia.', 'The gnat is in the milky way galaxy.', True)
('The lark is in western australia.', 'The lark is in our solar system.', True)
('The woodpecker is in western australia.', 'The woodpecker is on earth.', True)
('The magpie is in western australia.', 'The magpie is in australia.', True)
('The spider is on mars.', 'The spider is in the universe.', True)
('The red panda is on mars.', 'The red panda is in the milky way galaxy.', True)
('The starling is on mars.', 'The starling is in our solar system.', True)
('The penguin is on saturn.', 'The penguin is in the universe.', True)
('The eland is on saturn.', 'The eland is in the milky way galaxy.', True)
('The buffalo is on saturn.', 'The buffalo is in our solar system.', True)
('The falcon is on jupiter.', 'The falcon is in the universe.', True)
('The boar is on jupiter.', 'The boar is in the milky way galaxy.', True)
('The mantis is on jupiter.', 'The mantis is in our solar system.', True)
('The butterfly is on uranus.', 'The butterfly is in the universe.', True)
('The dinosaur is on uranus.', 'The dinosaur is in the milky way galaxy.', True)
('The crow is on uranus.', 'The crow is in our solar system.', True)
('The aardvark is on neptune.', 'The aardvark is in the universe.', True)
('The human is on neptune.', 'The human is in the milky way galaxy.', True)
('The armadillo is on neptune.', 'The armadillo is in our solar system.', True)
('The operations sprinted to the milky way galaxy.', 'The operations was in the universe.', True)
('The warehousewoman sauntered to our solar system.', 'The warehousewoman was in the universe.', True)
('The transport manager dashed to our solar system.', 'The transport manager was in the milky way galaxy.', True)
('The typist ambled to the sun.', 'The typist was in the universe.', True)
('The shot blaster strutted to the sun.', 'The shot blaster was in the milky way galaxy.', True)
('The footballer journeyed to the sun.', 'The footballer was in our solar system.', True)
('The air traffic controller strutted to mercury.', 'The air traffic controller was in the universe.', True)
('The clerk hobbled to mercury.', 'The clerk was in the milky way galaxy.', True)
('The magistrates clerk ran to mercury.', 'The magistrates clerk was in our solar system.', True)
('The engineer hobbled to venus.', 'The engineer was in the universe.', True)
('The garda stomped to venus.', 'The garda was in the milky way galaxy.', True)
('The carpet cleaner stomped to venus.', 'The carpet cleaner was in our solar system.', True)
('The assistant manager ran to earth.', 'The assistant manager was in the universe.', True)
('The patent attorney ambled to earth.', 'The patent attorney was in the milky way galaxy.', True)
('The rent collector ran to earth.', 'The rent collector was in our solar system.', True)
('The stage hand dashed to antarctica.', 'The stage hand was in the universe.', True)
('The reprographic assistant stomped to antarctica.', 'The reprographic assistant was in the milky way galaxy.', True)
('The school crossing hobbled to antarctica.', 'The school crossing was in our solar system.', True)
('The independent means traveled to antarctica.', 'The independent means was in earth.', True)
('The archaeologist strutted to north america.', 'The archaeologist was in the universe.', True)
('The radio operator hobbled to north america.', 'The radio operator was in the milky way galaxy.', True)
('The quality technician walked to north america.', 'The quality technician was in our solar system.', True)
('The investment banker ambled to north america.', 'The investment banker was in earth.', True)
('The masseur crawled to the united states of america.', 'The masseur was in the universe.', True)
('The wood cutter rushed to the united states of america.', 'The wood cutter was in the milky way galaxy.', True)
('The cable contractor hopped to the united states of america.', 'The cable contractor was in our solar system.', True)
('The meter reader hobbled to the united states of america.', 'The meter reader was in earth.', True)
('The actress sauntered to the united states of america.', 'The actress was in north america.', True)
('The thermal engineer waddled to alabama.', 'The thermal engineer was in the universe.', True)
('The joiner traveled to alabama.', 'The joiner was in the milky way galaxy.', True)
('The artist walked to alabama.', 'The artist was in our solar system.', True)
('The nursing sister went to alabama.', 'The nursing sister was in earth.', True)
('The chiropodist went to alabama.', 'The chiropodist was in north america.', True)
('The saleswoman waddled to alabama.', 'The saleswoman was in the united states of america.', True)
('The cameraman traveled to alaska.', 'The cameraman was in the universe.', True)
('The jazz composer swaggered to alaska.', 'The jazz composer was in the milky way galaxy.', True)
('The quality engineer traveled to alaska.', 'The quality engineer was in our solar system.', True)
('The general practitioner sprinted to alaska.', 'The general practitioner was in earth.', True)
('The training instructor dashed to alaska.', 'The training instructor was in north america.', True)
('The storeman traveled to alaska.', 'The storeman was in the united states of america.', True)
('The chef stomped to american samoa.', 'The chef was in the universe.', True)
('The software consultant sauntered to american samoa.', 'The software consultant was in the milky way galaxy.', True)
('The locksmith sauntered to american samoa.', 'The locksmith was in our solar system.', True)
('The metal polisher ran to american samoa.', 'The metal polisher was in earth.', True)
('The plumber traveled to american samoa.', 'The plumber was in north america.', True)
('The painter jogged to american samoa.', 'The painter was in the united states of america.', True)
('The optical assistant walked to arizona.', 'The optical assistant was in the universe.', True)
('The betting shop hobbled to arizona.', 'The betting shop was in the milky way galaxy.', True)
('The chiropodist stomped to arizona.', 'The chiropodist was in our solar system.', True)
('The ticket agent sprinted to arizona.', 'The ticket agent was in earth.', True)
('The nursing auxiliary dashed to arizona.', 'The nursing auxiliary was in north america.', True)
('The hygienist traveled to arizona.', 'The hygienist was in the united states of america.', True)
('The medical technician went to arkansas.', 'The medical technician was in the universe.', True)
('The skipper journeyed to arkansas.', 'The skipper was in the milky way galaxy.', True)
('The shipwright sauntered to arkansas.', 'The shipwright was in our solar system.', True)
('The stockman crawled to arkansas.', 'The stockman was in earth.', True)
('The screen printer ambled to arkansas.', 'The screen printer was in north america.', True)
('The software engineer sauntered to arkansas.', 'The software engineer was in the united states of america.', True)
('The gate keeper sauntered to california.', 'The gate keeper was in the universe.', True)
('The travel clerk sauntered to california.', 'The travel clerk was in the milky way galaxy.', True)
('The knitter hopped to california.', 'The knitter was in our solar system.', True)
('The roofer walked to california.', 'The roofer was in earth.', True)
('The horse trainer jogged to california.', 'The horse trainer was in north america.', True)
('The goldsmith went to california.', 'The goldsmith was in the united states of america.', True)
('The pest controller hobbled to san francisco.', 'The pest controller was in the universe.', True)
('The french polisher went to san francisco.', 'The french polisher was in the milky way galaxy.', True)
('The archivist walked to san francisco.', 'The archivist was in our solar system.', True)
('The building estimator dashed to san francisco.', 'The building estimator was in earth.', True)
('The beauty therapist ran to san francisco.', 'The beauty therapist was in north america.', True)
('The playgroup leader crawled to san francisco.', 'The playgroup leader was in the united states of america.', True)
('The tank farm operative rushed to san francisco.', 'The tank farm operative was in california.', True)
('The flower arranger stomped to san diego.', 'The flower arranger was in the universe.', True)
('The licensed premises dashed to san diego.', 'The licensed premises was in the milky way galaxy.', True)
('The reporter sauntered to san diego.', 'The reporter was in our solar system.', True)
('The blinds installer ambled to san diego.', 'The blinds installer was in earth.', True)
('The welder waddled to san diego.', 'The welder was in north america.', True)
('The linguist dashed to san diego.', 'The linguist was in the united states of america.', True)
('The plant operator hobbled to san diego.', 'The plant operator was in california.', True)
('The bank clerk hobbled to los angeles.', 'The bank clerk was in the universe.', True)
('The machine tool sauntered to los angeles.', 'The machine tool was in the milky way galaxy.', True)
('The administrator swaggered to los angeles.', 'The administrator was in our solar system.', True)
('The assistant manager sprinted to los angeles.', 'The assistant manager was in earth.', True)
('The landlord rushed to los angeles.', 'The landlord was in north america.', True)
('The translator jogged to los angeles.', 'The translator was in the united states of america.', True)
('The quantity surveyor ambled to los angeles.', 'The quantity surveyor was in california.', True)
('The metallurgist walked to santa barbara.', 'The metallurgist was in the universe.', True)
('The mortician walked to santa barbara.', 'The mortician was in the milky way galaxy.', True)
('The pallet maker ran to santa barbara.', 'The pallet maker was in our solar system.', True)
('The share dealer walked to santa barbara.', 'The share dealer was in earth.', True)
('The interpreter sauntered to santa barbara.', 'The interpreter was in north america.', True)
('The labelling operator stomped to santa barbara.', 'The labelling operator was in the united states of america.', True)
('The porter dashed to santa barbara.', 'The porter was in california.', True)
('The gas technician strutted to colorado.', 'The gas technician was in the universe.', True)
('The sheet metal worker sprinted to colorado.', 'The sheet metal worker was in the milky way galaxy.', True)
('The stage mover stomped to colorado.', 'The stage mover was in our solar system.', True)
('The physicist traveled to colorado.', 'The physicist was in earth.', True)
('The hawker walked to colorado.', 'The hawker was in north america.', True)
('The pawnbroker rushed to colorado.', 'The pawnbroker was in the united states of america.', True)
('The marine consultant traveled to connecticut.', 'The marine consultant was in the universe.', True)
('The book-keeper waddled to connecticut.', 'The book-keeper was in the milky way galaxy.', True)
('The sales manager jogged to connecticut.', 'The sales manager was in our solar system.', True)
('The hod carrier waddled to connecticut.', 'The hod carrier was in earth.', True)
('The school inspector walked to connecticut.', 'The school inspector was in north america.', True)
('The training officer crawled to connecticut.', 'The training officer was in the united states of america.', True)
('The tyre fitter went to delaware.', 'The tyre fitter was in the universe.', True)
('The radio presenter went to delaware.', 'The radio presenter was in the milky way galaxy.', True)
('The laundry worker stomped to delaware.', 'The laundry worker was in our solar system.', True)
('The projectionist sauntered to delaware.', 'The projectionist was in earth.', True)
('The aerial erector waddled to delaware.', 'The aerial erector was in north america.', True)
('The physiologist waddled to delaware.', 'The physiologist was in the united states of america.', True)
('The shoe maker ran to the district of columbia.', 'The shoe maker was in the universe.', True)
('The sportsperson traveled to the district of columbia.', 'The sportsperson was in the milky way galaxy.', True)
('The ironmonger ran to the district of columbia.', 'The ironmonger was in our solar system.', True)
('The quarry worker hopped to the district of columbia.', 'The quarry worker was in earth.', True)
('The roadworker traveled to the district of columbia.', 'The roadworker was in north america.', True)
('The typesetter rushed to the district of columbia.', 'The typesetter was in the united states of america.', True)
('The hostess journeyed to florida.', 'The hostess was in the universe.', True)
('The area manager waddled to florida.', 'The area manager was in the milky way galaxy.', True)
('The window dresser went to florida.', 'The window dresser was in our solar system.', True)
('The hop merchant walked to florida.', 'The hop merchant was in earth.', True)
('The sales administrator ran to florida.', 'The sales administrator was in north america.', True)
('The restaurateur ambled to florida.', 'The restaurateur was in the united states of america.', True)
('The youth worker traveled to georgia.', 'The youth worker was in the universe.', True)
('The marketing coordinator journeyed to georgia.', 'The marketing coordinator was in the milky way galaxy.', True)
('The pattern weaver hobbled to georgia.', 'The pattern weaver was in our solar system.', True)
('The bar steward rushed to georgia.', 'The bar steward was in earth.', True)
('The purchase ledger clerk ran to georgia.', 'The purchase ledger clerk was in north america.', True)
('The ship builder sprinted to georgia.', 'The ship builder was in the united states of america.', True)
('The property dealer hobbled to guam.', 'The property dealer was in the universe.', True)
('The legal secretary crawled to guam.', 'The legal secretary was in the milky way galaxy.', True)
('The assistant manager crawled to guam.', 'The assistant manager was in our solar system.', True)
('The ship broker jogged to guam.', 'The ship broker was in earth.', True)
('The nutritionist sprinted to guam.', 'The nutritionist was in north america.', True)
('The loans manager walked to guam.', 'The loans manager was in the united states of america.', True)
('The bodyshop hopped to hawaii.', 'The bodyshop was in the universe.', True)
('The advertising manager sauntered to hawaii.', 'The advertising manager was in the milky way galaxy.', True)
('The mattress maker walked to hawaii.', 'The mattress maker was in our solar system.', True)
('The police officer traveled to hawaii.', 'The police officer was in earth.', True)
('The careers advisor swaggered to hawaii.', 'The careers advisor was in north america.', True)
('The law clerk sauntered to hawaii.', 'The law clerk was in the united states of america.', True)
('The induction moulder waddled to idaho.', 'The induction moulder was in the universe.', True)
('The ironmonger hopped to idaho.', 'The ironmonger was in the milky way galaxy.', True)
('The probation officer ambled to idaho.', 'The probation officer was in our solar system.', True)
('The cartographer went to idaho.', 'The cartographer was in earth.', True)
('The repairer stomped to idaho.', 'The repairer was in north america.', True)
('The paramedic hobbled to idaho.', 'The paramedic was in the united states of america.', True)
('The caulker jogged to illinois.', 'The caulker was in the universe.', True)
('The bus mechanic sprinted to illinois.', 'The bus mechanic was in the milky way galaxy.', True)
('The promoter swaggered to illinois.', 'The promoter was in our solar system.', True)
('The litigation manager jogged to illinois.', 'The litigation manager was in earth.', True)
('The insurance inspector stomped to illinois.', 'The insurance inspector was in north america.', True)
('The lighting designer ran to illinois.', 'The lighting designer was in the united states of america.', True)
('The pipe insulator sprinted to chicago.', 'The pipe insulator was in the universe.', True)
('The ledger clerk waddled to chicago.', 'The ledger clerk was in the milky way galaxy.', True)
('The publishing manager jogged to chicago.', 'The publishing manager was in our solar system.', True)
('The housing supervisor journeyed to chicago.', 'The housing supervisor was in earth.', True)
('The tutor walked to chicago.', 'The tutor was in north america.', True)
('The telex operator waddled to chicago.', 'The telex operator was in the united states of america.', True)
('The veterinary surgeon walked to chicago.', 'The veterinary surgeon was in illinois.', True)
('The masseuse walked to indiana.', 'The masseuse was in the universe.', True)
('The shop manager walked to indiana.', 'The shop manager was in the milky way galaxy.', True)
('The nursing manager rushed to indiana.', 'The nursing manager was in our solar system.', True)
('The entertainer sauntered to indiana.', 'The entertainer was in earth.', True)
('The pasteuriser stomped to indiana.', 'The pasteuriser was in north america.', True)
('The it manager hobbled to indiana.', 'The it manager was in the united states of america.', True)
('The doctor jogged to indianapolis.', 'The doctor was in the universe.', True)
('The philatelist sprinted to indianapolis.', 'The philatelist was in the milky way galaxy.', True)
('The property valuer journeyed to indianapolis.', 'The property valuer was in our solar system.', True)
('The publishing manager traveled to indianapolis.', 'The publishing manager was in earth.', True)
('The payroll supervisor walked to indianapolis.', 'The payroll supervisor was in north america.', True)
('The mortgage broker walked to indianapolis.', 'The mortgage broker was in the united states of america.', True)
('The trade mark agent dashed to indianapolis.', 'The trade mark agent was in indiana.', True)
('The television engineer stomped to lafayette.', 'The television engineer was in the universe.', True)
('The insurance staff strutted to lafayette.', 'The insurance staff was in the milky way galaxy.', True)
('The administration manager ambled to lafayette.', 'The administration manager was in our solar system.', True)
('The medical practitioner rushed to lafayette.', 'The medical practitioner was in earth.', True)
('The motor dealer journeyed to lafayette.', 'The motor dealer was in north america.', True)
('The patent agent journeyed to lafayette.', 'The patent agent was in the united states of america.', True)
('The advertising contractor strutted to lafayette.', 'The advertising contractor was in indiana.', True)
('The inventor sauntered to purdue university.', 'The inventor was in the universe.', True)
('The rally driver dashed to purdue university.', 'The rally driver was in the milky way galaxy.', True)
('The paint consultant jogged to purdue university.', 'The paint consultant was in our solar system.', True)
('The chiropractor sprinted to purdue university.', 'The chiropractor was in earth.', True)
('The research consultant hobbled to purdue university.', 'The research consultant was in north america.', True)
('The vehicle assessor jogged to purdue university.', 'The vehicle assessor was in the united states of america.', True)
('The screen printer stomped to purdue university.', 'The screen printer was in indiana.', True)
('The upholsterer jogged to iowa.', 'The upholsterer was in the universe.', True)
('The research director went to iowa.', 'The research director was in the milky way galaxy.', True)
('The quality inspector jogged to iowa.', 'The quality inspector was in our solar system.', True)
('The horse riding instructor sauntered to iowa.', 'The horse riding instructor was in earth.', True)
('The property buyer sauntered to iowa.', 'The property buyer was in north america.', True)
('The private investigator dashed to iowa.', 'The private investigator was in the united states of america.', True)
('The remedial therapist hopped to kansas.', 'The remedial therapist was in the universe.', True)
('The minicab driver dashed to kansas.', 'The minicab driver was in the milky way galaxy.', True)
('The research scientist stomped to kansas.', 'The research scientist was in our solar system.', True)
('The steeplejack hobbled to kansas.', 'The steeplejack was in earth.', True)
('The steel worker dashed to kansas.', 'The steel worker was in north america.', True)
('The knitter traveled to kansas.', 'The knitter was in the united states of america.', True)
('The analytical chemist waddled to kentucky.', 'The analytical chemist was in the universe.', True)
('The breeder hopped to kentucky.', 'The breeder was in the milky way galaxy.', True)
('The cable contractor ambled to kentucky.', 'The cable contractor was in our solar system.', True)
('The tutor dashed to kentucky.', 'The tutor was in earth.', True)
('The line manager hopped to kentucky.', 'The line manager was in north america.', True)
('The treasurer swaggered to kentucky.', 'The treasurer was in the united states of america.', True)
('The barman swaggered to louisiana.', 'The barman was in the universe.', True)
('The advertising executive went to louisiana.', 'The advertising executive was in the milky way galaxy.', True)
('The bodyshop went to louisiana.', 'The bodyshop was in our solar system.', True)
('The matron rushed to louisiana.', 'The matron was in earth.', True)
('The welfare officer ambled to louisiana.', 'The welfare officer was in north america.', True)
('The pharmacist jogged to louisiana.', 'The pharmacist was in the united states of america.', True)
('The law clerk swaggered to maine.', 'The law clerk was in the universe.', True)
('The lift engineer dashed to maine.', 'The lift engineer was in the milky way galaxy.', True)
('The property developer ambled to maine.', 'The property developer was in our solar system.', True)
('The accounts assistant ambled to maine.', 'The accounts assistant was in earth.', True)
('The saleswoman jogged to maine.', 'The saleswoman was in north america.', True)
('The van driver swaggered to maine.', 'The van driver was in the united states of america.', True)
('The marine consultant journeyed to maryland.', 'The marine consultant was in the universe.', True)
('The storeman hopped to maryland.', 'The storeman was in the milky way galaxy.', True)
('The jeweller journeyed to maryland.', 'The jeweller was in our solar system.', True)
('The laboratory analyst went to maryland.', 'The laboratory analyst was in earth.', True)
('The geophysicist hopped to maryland.', 'The geophysicist was in north america.', True)
('The investment strategist hopped to maryland.', 'The investment strategist was in the united states of america.', True)
('The insurance agent ran to massachusetts.', 'The insurance agent was in the universe.', True)
('The nursing auxiliary sauntered to massachusetts.', 'The nursing auxiliary was in the milky way galaxy.', True)
('The garden designer ambled to massachusetts.', 'The garden designer was in our solar system.', True)
('The youth worker crawled to massachusetts.', 'The youth worker was in earth.', True)
('The biologist jogged to massachusetts.', 'The biologist was in north america.', True)
('The supply teacher hopped to massachusetts.', 'The supply teacher was in the united states of america.', True)
('The foundry worker hobbled to michigan.', 'The foundry worker was in the universe.', True)
('The insurance agent hobbled to michigan.', 'The insurance agent was in the milky way galaxy.', True)
('The sales engineer dashed to michigan.', 'The sales engineer was in our solar system.', True)
('The premises security traveled to michigan.', 'The premises security was in earth.', True)
('The teachers assistant journeyed to michigan.', 'The teachers assistant was in north america.', True)
('The training advisor walked to michigan.', 'The training advisor was in the united states of america.', True)
('The printer walked to minnesota.', 'The printer was in the universe.', True)
('The gamekeeper sauntered to minnesota.', 'The gamekeeper was in the milky way galaxy.', True)
('The landowner ambled to minnesota.', 'The landowner was in our solar system.', True)
('The hospital warden ambled to minnesota.', 'The hospital warden was in earth.', True)
('The accounts staff stomped to minnesota.', 'The accounts staff was in north america.', True)
('The machinist crawled to minnesota.', 'The machinist was in the united states of america.', True)
('The plumber journeyed to mississippi.', 'The plumber was in the universe.', True)
('The operations ambled to mississippi.', 'The operations was in the milky way galaxy.', True)
('The building foreman swaggered to mississippi.', 'The building foreman was in our solar system.', True)
('The building advisor rushed to mississippi.', 'The building advisor was in earth.', True)
('The gaming club manager journeyed to mississippi.', 'The gaming club manager was in north america.', True)
('The aeronautical engineer jogged to mississippi.', 'The aeronautical engineer was in the united states of america.', True)
('The pig man waddled to missouri.', 'The pig man was in the universe.', True)
('The marine electrician sprinted to missouri.', 'The marine electrician was in the milky way galaxy.', True)
('The pest controller waddled to missouri.', 'The pest controller was in our solar system.', True)
('The psychologist jogged to missouri.', 'The psychologist was in earth.', True)
('The shop assistant ambled to missouri.', 'The shop assistant was in north america.', True)
('The physiologist hobbled to missouri.', 'The physiologist was in the united states of america.', True)
('The chef stomped to montana.', 'The chef was in the universe.', True)
('The funeral director dashed to montana.', 'The funeral director was in the milky way galaxy.', True)
('The accounts clerk ran to montana.', 'The accounts clerk was in our solar system.', True)
('The records supervisor ran to montana.', 'The records supervisor was in earth.', True)
('The mathematician hopped to montana.', 'The mathematician was in north america.', True)
('The translator ambled to montana.', 'The translator was in the united states of america.', True)
('The cab driver walked to nebraska.', 'The cab driver was in the universe.', True)
('The philatelist waddled to nebraska.', 'The philatelist was in the milky way galaxy.', True)
('The landlord waddled to nebraska.', 'The landlord was in our solar system.', True)
('The astronomer went to nebraska.', 'The astronomer was in earth.', True)
('The horticulturalist strutted to nebraska.', 'The horticulturalist was in north america.', True)
('The aircraft surface finisher stomped to nebraska.', 'The aircraft surface finisher was in the united states of america.', True)
('The ship broker went to nevada.', 'The ship broker was in the universe.', True)
('The gas fitter traveled to nevada.', 'The gas fitter was in the milky way galaxy.', True)
('The administration assistant sauntered to nevada.', 'The administration assistant was in our solar system.', True)
('The salesman ran to nevada.', 'The salesman was in earth.', True)
('The civil servant went to nevada.', 'The civil servant was in north america.', True)
('The history teacher strutted to nevada.', 'The history teacher was in the united states of america.', True)
('The ship builder hobbled to new hampshire.', 'The ship builder was in the universe.', True)
('The milkman jogged to new hampshire.', 'The milkman was in the milky way galaxy.', True)
('The gilder walked to new hampshire.', 'The gilder was in our solar system.', True)
('The security consultant stomped to new hampshire.', 'The security consultant was in earth.', True)
('The loss adjustor dashed to new hampshire.', 'The loss adjustor was in north america.', True)
('The betting shop hopped to new hampshire.', 'The betting shop was in the united states of america.', True)
('The production manager dashed to new jersey.', 'The production manager was in the universe.', True)
('The gambler traveled to new jersey.', 'The gambler was in the milky way galaxy.', True)
('The decorator strutted to new jersey.', 'The decorator was in our solar system.', True)
('The lawyer ambled to new jersey.', 'The lawyer was in earth.', True)
('The hotelier ambled to new jersey.', 'The hotelier was in north america.', True)
('The market researcher hopped to new jersey.', 'The market researcher was in the united states of america.', True)
('The payroll assistant sauntered to new mexico.', 'The payroll assistant was in the universe.', True)
('The stockman traveled to new mexico.', 'The stockman was in the milky way galaxy.', True)
('The motor engineer waddled to new mexico.', 'The motor engineer was in our solar system.', True)
('The marine engineer stomped to new mexico.', 'The marine engineer was in earth.', True)
('The advertising contractor swaggered to new mexico.', 'The advertising contractor was in north america.', True)
('The tax advisor stomped to new mexico.', 'The tax advisor was in the united states of america.', True)
('The post sorter traveled to new york.', 'The post sorter was in the universe.', True)
('The warehouse manager sprinted to new york.', 'The warehouse manager was in the milky way galaxy.', True)
('The furniture remover ran to new york.', 'The furniture remover was in our solar system.', True)
('The carphone fitter crawled to new york.', 'The carphone fitter was in earth.', True)
('The personnel officer swaggered to new york.', 'The personnel officer was in north america.', True)
('The riveter jogged to new york.', 'The riveter was in the united states of america.', True)
('The training co-ordinator ambled to new york city.', 'The training co-ordinator was in the universe.', True)
('The cafe staff sprinted to new york city.', 'The cafe staff was in the milky way galaxy.', True)
('The dealer jogged to new york city.', 'The dealer was in our solar system.', True)
('The church officer journeyed to new york city.', 'The church officer was in earth.', True)
('The local government hobbled to new york city.', 'The local government was in north america.', True)
('The pilot journeyed to new york city.', 'The pilot was in the united states of america.', True)
('The mining consultant hopped to new york city.', 'The mining consultant was in new york.', True)
('The fund raiser dashed to the bronx.', 'The fund raiser was in the universe.', True)
('The floor layer swaggered to the bronx.', 'The floor layer was in the milky way galaxy.', True)
('The pastry chef sprinted to the bronx.', 'The pastry chef was in our solar system.', True)
('The studio manager strutted to the bronx.', 'The studio manager was in earth.', True)
('The transport controller jogged to the bronx.', 'The transport controller was in north america.', True)
('The recreational jogged to the bronx.', 'The recreational was in the united states of america.', True)
('The hearing therapist sauntered to the bronx.', 'The hearing therapist was in new york.', True)
('The proprietor went to the bronx.', 'The proprietor was in new york city.', True)
('The assistant teacher ran to manhattan.', 'The assistant teacher was in the universe.', True)
('The shipyard worker journeyed to manhattan.', 'The shipyard worker was in the milky way galaxy.', True)
('The pipe inspector dashed to manhattan.', 'The pipe inspector was in our solar system.', True)
('The insurance agent waddled to manhattan.', 'The insurance agent was in earth.', True)
('The foundry worker ambled to manhattan.', 'The foundry worker was in north america.', True)
('The administration clerk dashed to manhattan.', 'The administration clerk was in the united states of america.', True)
('The history teacher ambled to manhattan.', 'The history teacher was in new york.', True)
('The laminator dashed to manhattan.', 'The laminator was in new york city.', True)
('The manufacturing rushed to brooklyn.', 'The manufacturing was in the universe.', True)
('The screen writer went to brooklyn.', 'The screen writer was in the milky way galaxy.', True)
('The yard manager ambled to brooklyn.', 'The yard manager was in our solar system.', True)
('The hawker sprinted to brooklyn.', 'The hawker was in earth.', True)
('The acoustic engineer rushed to brooklyn.', 'The acoustic engineer was in north america.', True)
('The publican hopped to brooklyn.', 'The publican was in the united states of america.', True)
('The medal dealer stomped to brooklyn.', 'The medal dealer was in new york.', True)
('The smallholder hobbled to brooklyn.', 'The smallholder was in new york city.', True)
('The nursery assistant traveled to queens.', 'The nursery assistant was in the universe.', True)
('The storeman ambled to queens.', 'The storeman was in the milky way galaxy.', True)
('The tyre builder went to queens.', 'The tyre builder was in our solar system.', True)
('The massage therapist journeyed to queens.', 'The massage therapist was in earth.', True)
('The biochemist sauntered to queens.', 'The biochemist was in north america.', True)
('The import consultant hobbled to queens.', 'The import consultant was in the united states of america.', True)
('The security officer traveled to queens.', 'The security officer was in new york.', True)
('The video artist stomped to queens.', 'The video artist was in new york city.', True)
('The landworker ambled to staten island.', 'The landworker was in the universe.', True)
('The bakery assistant ran to staten island.', 'The bakery assistant was in the milky way galaxy.', True)
('The care manager dashed to staten island.', 'The care manager was in our solar system.', True)
('The home economist ambled to staten island.', 'The home economist was in earth.', True)
('The speech therapist ran to staten island.', 'The speech therapist was in north america.', True)
('The telex operator walked to staten island.', 'The telex operator was in the united states of america.', True)
('The barrister journeyed to staten island.', 'The barrister was in new york.', True)
('The licensee rushed to staten island.', 'The licensee was in new york city.', True)
('The soldier ambled to north carolina.', 'The soldier was in the universe.', True)
('The spring maker ran to north carolina.', 'The spring maker was in the milky way galaxy.', True)
('The servant dashed to north carolina.', 'The servant was in our solar system.', True)
