('neighborhoods contain cities', 'neighborhoods are found in cities.', False)
('acupuncturists says hospitals are composed of beds', 'Some acupuncturists says hospitals consists of beds.', False)
('adjustors says hospitals are composed of beds', 'Some adjustors says hospitals consists of beds.', False)
('administration assistants says hospitals are composed of beds', 'Some administration assistants says hospitals consists of beds.', False)
('administration clerks says hospitals are composed of beds', 'Some administration clerks says hospitals consists of beds.', False)
('administration managers says hospitals are composed of beds', 'Some administration managers says hospitals consists of beds.', False)
('administration staffs says hospitals are composed of beds', 'Some administration staffs says hospitals consists of beds.', False)
('administrators says hospitals are composed of beds', 'Some administrators says hospitals consists of beds.', False)
('advertising agents says hospitals are composed of beds', 'Some advertising agents says hospitals consists of beds.', False)
('advertising assistants says hospitals are composed of beds', 'Some advertising assistants says hospitals consists of beds.', False)
('advertising clerks says hospitals are composed of beds', 'Some advertising clerks says hospitals consists of beds.', False)
('advertising contractors says hospitals are composed of beds', 'Some advertising contractors says hospitals consists of beds.', False)
('advertising executives says hospitals are composed of beds', 'Some advertising executives says hospitals consists of beds.', False)
('advertising managers says hospitals are composed of beds', 'Some advertising managers says hospitals consists of beds.', False)
('advertising staffs says hospitals are composed of beds', 'Some advertising staffs says hospitals consists of beds.', False)
('aerial erectors says hospitals are composed of beds', 'Some aerial erectors says hospitals consists of beds.', False)
('aerobic instructors says hospitals are composed of beds', 'Some aerobic instructors says hospitals consists of beds.', False)
('aeronautical engineers says hospitals are composed of beds', 'Some aeronautical engineers says hospitals consists of beds.', False)
('agents says hospitals are composed of beds', 'Some agents says hospitals consists of beds.', False)
('air traffic controllers says hospitals are composed of beds', 'Some air traffic controllers says hospitals consists of beds.', False)
('aircraft designers says hospitals are composed of beds', 'Some aircraft designers says hospitals consists of beds.', False)
('aircraft engineers says hospitals are composed of beds', 'Some aircraft engineers says hospitals consists of beds.', False)
('aircraft maintenance engineers says hospitals are composed of beds', 'Some aircraft maintenance engineers says hospitals consists of beds.', False)
('aircraft surface finishers says hospitals are composed of beds', 'Some aircraft surface finishers says hospitals consists of beds.', False)
('airmans says hospitals are composed of beds', 'Some airmans says hospitals consists of beds.', False)
('airport controllers says hospitals are composed of beds', 'Some airport controllers says hospitals consists of beds.', False)
('airport managers says hospitals are composed of beds', 'Some airport managers says hospitals consists of beds.', False)
('almoners says hospitals are composed of beds', 'Some almoners says hospitals consists of beds.', False)
('ambulance controllers says hospitals are composed of beds', 'Some ambulance controllers says hospitals consists of beds.', False)
('ambulance crews says hospitals are composed of beds', 'Some ambulance crews says hospitals consists of beds.', False)
('ambulance drivers says hospitals are composed of beds', 'Some ambulance drivers says hospitals consists of beds.', False)
('amusement arcade workers says hospitals are composed of beds', 'Some amusement arcade workers says hospitals consists of beds.', False)
('anaesthetists says hospitals are composed of beds', 'Some anaesthetists says hospitals consists of beds.', False)
('analysts says hospitals are composed of beds', 'Some analysts says hospitals consists of beds.', False)
('analytical chemists says hospitals are composed of beds', 'Some analytical chemists says hospitals consists of beds.', False)
('animal breeders says hospitals are composed of beds', 'Some animal breeders says hospitals consists of beds.', False)
('anthropologists says hospitals are composed of beds', 'Some anthropologists says hospitals consists of beds.', False)
('antique dealers says hospitals are composed of beds', 'Some antique dealers says hospitals consists of beds.', False)
('applications engineers says hospitals are composed of beds', 'Some applications engineers says hospitals consists of beds.', False)
('applications programmers says hospitals are composed of beds', 'Some applications programmers says hospitals consists of beds.', False)
('arbitrators says hospitals are composed of beds', 'Some arbitrators says hospitals consists of beds.', False)
('arborists says hospitals are composed of beds', 'Some arborists says hospitals consists of beds.', False)
('archaeologists says hospitals are composed of beds', 'Some archaeologists says hospitals consists of beds.', False)
('architects says hospitals are composed of beds', 'Some architects says hospitals consists of beds.', False)
('archivists says hospitals are composed of beds', 'Some archivists says hospitals consists of beds.', False)
('area managers says hospitals are composed of beds', 'Some area managers says hospitals consists of beds.', False)
('armourers says hospitals are composed of beds', 'Some armourers says hospitals consists of beds.', False)
('aromatherapists says hospitals are composed of beds', 'Some aromatherapists says hospitals consists of beds.', False)
('art critics says hospitals are composed of beds', 'Some art critics says hospitals consists of beds.', False)
('art dealers says hospitals are composed of beds', 'Some art dealers says hospitals consists of beds.', False)
('art historians says hospitals are composed of beds', 'Some art historians says hospitals consists of beds.', False)
('art restorers says hospitals are composed of beds', 'Some art restorers says hospitals consists of beds.', False)
('artexers says hospitals are composed of beds', 'Some artexers says hospitals consists of beds.', False)
('artists says hospitals are composed of beds', 'Some artists says hospitals consists of beds.', False)
('artss says hospitals are composed of beds', 'Some artss says hospitals consists of beds.', False)
('assembly workers says hospitals are composed of beds', 'Some assembly workers says hospitals consists of beds.', False)
('assessors says hospitals are composed of beds', 'Some assessors says hospitals consists of beds.', False)
('assistants says hospitals are composed of beds', 'Some assistants says hospitals consists of beds.', False)
('assistant caretakers says hospitals are composed of beds', 'Some assistant caretakers says hospitals consists of beds.', False)
('assistant cooks says hospitals are composed of beds', 'Some assistant cooks says hospitals consists of beds.', False)
('assistant managers says hospitals are composed of beds', 'Some assistant managers says hospitals consists of beds.', False)
('assistant nurses says hospitals are composed of beds', 'Some assistant nurses says hospitals consists of beds.', False)
('assistant teachers says hospitals are composed of beds', 'Some assistant teachers says hospitals consists of beds.', False)
('astrologers says hospitals are composed of beds', 'Some astrologers says hospitals consists of beds.', False)
('astronomers says hospitals are composed of beds', 'Some astronomers says hospitals consists of beds.', False)
('attendants says hospitals are composed of beds', 'Some attendants says hospitals consists of beds.', False)
('au pairs says hospitals are composed of beds', 'Some au pairs says hospitals consists of beds.', False)
('auction workers says hospitals are composed of beds', 'Some auction workers says hospitals consists of beds.', False)
('auctioneers says hospitals are composed of beds', 'Some auctioneers says hospitals consists of beds.', False)
('audiologists says hospitals are composed of beds', 'Some audiologists says hospitals consists of beds.', False)
('audit clerks says hospitals are composed of beds', 'Some audit clerks says hospitals consists of beds.', False)
('audit managers says hospitals are composed of beds', 'Some audit managers says hospitals consists of beds.', False)
('auditors says hospitals are composed of beds', 'Some auditors says hospitals consists of beds.', False)
('auto electricians says hospitals are composed of beds', 'Some auto electricians says hospitals consists of beds.', False)
('auxiliary nurses says hospitals are composed of beds', 'Some auxiliary nurses says hospitals consists of beds.', False)
('bacon curers says hospitals are composed of beds', 'Some bacon curers says hospitals consists of beds.', False)
('baggage handlers says hospitals are composed of beds', 'Some baggage handlers says hospitals consists of beds.', False)
('bailiffs says hospitals are composed of beds', 'Some bailiffs says hospitals consists of beds.', False)
('bakers says hospitals are composed of beds', 'Some bakers says hospitals consists of beds.', False)
('bakery assistants says hospitals are composed of beds', 'Some bakery assistants says hospitals consists of beds.', False)
('bakery managers says hospitals are composed of beds', 'Some bakery managers says hospitals consists of beds.', False)
('bakery operators says hospitals are composed of beds', 'Some bakery operators says hospitals consists of beds.', False)
('balloonists says hospitals are composed of beds', 'Some balloonists says hospitals consists of beds.', False)
('bank clerks says hospitals are composed of beds', 'Some bank clerks says hospitals consists of beds.', False)
('bank managers says hospitals are composed of beds', 'Some bank managers says hospitals consists of beds.', False)
('bank messengers says hospitals are composed of beds', 'Some bank messengers says hospitals consists of beds.', False)
('baptist ministers says hospitals are composed of beds', 'Some baptist ministers says hospitals consists of beds.', False)
('bar managers says hospitals are composed of beds', 'Some bar managers says hospitals consists of beds.', False)
('bar stewards says hospitals are composed of beds', 'Some bar stewards says hospitals consists of beds.', False)
('barbers says hospitals are composed of beds', 'Some barbers says hospitals consists of beds.', False)
('barmaids says hospitals are composed of beds', 'Some barmaids says hospitals consists of beds.', False)
('barmans says hospitals are composed of beds', 'Some barmans says hospitals consists of beds.', False)
('barristers says hospitals are composed of beds', 'Some barristers says hospitals consists of beds.', False)
('beauticians says hospitals are composed of beds', 'Some beauticians says hospitals consists of beds.', False)
('beauty therapists says hospitals are composed of beds', 'Some beauty therapists says hospitals consists of beds.', False)
('betting shops says hospitals are composed of beds', 'Some betting shops says hospitals consists of beds.', False)
('bill posters says hospitals are composed of beds', 'Some bill posters says hospitals consists of beds.', False)
('bingo callers says hospitals are composed of beds', 'Some bingo callers says hospitals consists of beds.', False)
('biochemists says hospitals are composed of beds', 'Some biochemists says hospitals consists of beds.', False)
('biologists says hospitals are composed of beds', 'Some biologists says hospitals consists of beds.', False)
('blacksmiths says hospitals are composed of beds', 'Some blacksmiths says hospitals consists of beds.', False)
('blind assemblers says hospitals are composed of beds', 'Some blind assemblers says hospitals consists of beds.', False)
('blind fitters says hospitals are composed of beds', 'Some blind fitters says hospitals consists of beds.', False)
('blinds installers says hospitals are composed of beds', 'Some blinds installers says hospitals consists of beds.', False)
('boat builders says hospitals are composed of beds', 'Some boat builders says hospitals consists of beds.', False)
('body fitters says hospitals are composed of beds', 'Some body fitters says hospitals consists of beds.', False)
('bodyguards says hospitals are composed of beds', 'Some bodyguards says hospitals consists of beds.', False)
('bodyshops says hospitals are composed of beds', 'Some bodyshops says hospitals consists of beds.', False)
('book binders says hospitals are composed of beds', 'Some book binders says hospitals consists of beds.', False)
('book sellers says hospitals are composed of beds', 'Some book sellers says hospitals consists of beds.', False)
('book-keepers says hospitals are composed of beds', 'Some book-keepers says hospitals consists of beds.', False)
('booking agents says hospitals are composed of beds', 'Some booking agents says hospitals consists of beds.', False)
('booking clerks says hospitals are composed of beds', 'Some booking clerks says hospitals consists of beds.', False)
('bookmakers says hospitals are composed of beds', 'Some bookmakers says hospitals consists of beds.', False)
('botanists says hospitals are composed of beds', 'Some botanists says hospitals consists of beds.', False)
('branch managers says hospitals are composed of beds', 'Some branch managers says hospitals consists of beds.', False)
('breeders says hospitals are composed of beds', 'Some breeders says hospitals consists of beds.', False)
('brewers says hospitals are composed of beds', 'Some brewers says hospitals consists of beds.', False)
('brewery managers says hospitals are composed of beds', 'Some brewery managers says hospitals consists of beds.', False)
('brewery workers says hospitals are composed of beds', 'Some brewery workers says hospitals consists of beds.', False)
('bricklayers says hospitals are composed of beds', 'Some bricklayers says hospitals consists of beds.', False)
('broadcasters says hospitals are composed of beds', 'Some broadcasters says hospitals consists of beds.', False)
('builders says hospitals are composed of beds', 'Some builders says hospitals consists of beds.', False)
('builders labourers says hospitals are composed of beds', 'Some builders labourers says hospitals consists of beds.', False)
('building advisors says hospitals are composed of beds', 'Some building advisors says hospitals consists of beds.', False)
('building controls says hospitals are composed of beds', 'Some building controls says hospitals consists of beds.', False)
('building engineers says hospitals are composed of beds', 'Some building engineers says hospitals consists of beds.', False)
('building estimators says hospitals are composed of beds', 'Some building estimators says hospitals consists of beds.', False)
('building foremans says hospitals are composed of beds', 'Some building foremans says hospitals consists of beds.', False)
('building inspectors says hospitals are composed of beds', 'Some building inspectors says hospitals consists of beds.', False)
('building managers says hospitals are composed of beds', 'Some building managers says hospitals consists of beds.', False)
('building surveyors says hospitals are composed of beds', 'Some building surveyors says hospitals consists of beds.', False)
('bursars says hospitals are composed of beds', 'Some bursars says hospitals consists of beds.', False)
('bus companys says hospitals are composed of beds', 'Some bus companys says hospitals consists of beds.', False)
('bus conductors says hospitals are composed of beds', 'Some bus conductors says hospitals consists of beds.', False)
('bus drivers says hospitals are composed of beds', 'Some bus drivers says hospitals consists of beds.', False)
('bus mechanics says hospitals are composed of beds', 'Some bus mechanics says hospitals consists of beds.', False)
('bus valeters says hospitals are composed of beds', 'Some bus valeters says hospitals consists of beds.', False)
('business consultants says hospitals are composed of beds', 'Some business consultants says hospitals consists of beds.', False)
('business proprietors says hospitals are composed of beds', 'Some business proprietors says hospitals consists of beds.', False)
('butchers says hospitals are composed of beds', 'Some butchers says hospitals consists of beds.', False)
('butchery managers says hospitals are composed of beds', 'Some butchery managers says hospitals consists of beds.', False)
('butlers says hospitals are composed of beds', 'Some butlers says hospitals consists of beds.', False)
('buyers says hospitals are composed of beds', 'Some buyers says hospitals consists of beds.', False)
('cab drivers says hospitals are composed of beds', 'Some cab drivers says hospitals consists of beds.', False)
('cabinet makers says hospitals are composed of beds', 'Some cabinet makers says hospitals consists of beds.', False)
('cable contractors says hospitals are composed of beds', 'Some cable contractors says hospitals consists of beds.', False)
('cable jointers says hospitals are composed of beds', 'Some cable jointers says hospitals consists of beds.', False)
('cable tv installers says hospitals are composed of beds', 'Some cable tv installers says hospitals consists of beds.', False)
('cafe owners says hospitals are composed of beds', 'Some cafe owners says hospitals consists of beds.', False)
('cafe staffs says hospitals are composed of beds', 'Some cafe staffs says hospitals consists of beds.', False)
('cafe workers says hospitals are composed of beds', 'Some cafe workers says hospitals consists of beds.', False)
('calibration managers says hospitals are composed of beds', 'Some calibration managers says hospitals consists of beds.', False)
('camera repairers says hospitals are composed of beds', 'Some camera repairers says hospitals consists of beds.', False)
('cameramans says hospitals are composed of beds', 'Some cameramans says hospitals consists of beds.', False)
('car dealers says hospitals are composed of beds', 'Some car dealers says hospitals consists of beds.', False)
('car delivery drivers says hospitals are composed of beds', 'Some car delivery drivers says hospitals consists of beds.', False)
('car park attendants says hospitals are composed of beds', 'Some car park attendants says hospitals consists of beds.', False)
('car salesmans says hospitals are composed of beds', 'Some car salesmans says hospitals consists of beds.', False)
('car valets says hospitals are composed of beds', 'Some car valets says hospitals consists of beds.', False)
('car wash attendants says hospitals are composed of beds', 'Some car wash attendants says hospitals consists of beds.', False)
('care assistants says hospitals are composed of beds', 'Some care assistants says hospitals consists of beds.', False)
('care managers says hospitals are composed of beds', 'Some care managers says hospitals consists of beds.', False)
('careers advisors says hospitals are composed of beds', 'Some careers advisors says hospitals consists of beds.', False)
('careers officers says hospitals are composed of beds', 'Some careers officers says hospitals consists of beds.', False)
('caretakers says hospitals are composed of beds', 'Some caretakers says hospitals consists of beds.', False)
('cargo operators says hospitals are composed of beds', 'Some cargo operators says hospitals consists of beds.', False)
('carpenters says hospitals are composed of beds', 'Some carpenters says hospitals consists of beds.', False)
('carpet cleaners says hospitals are composed of beds', 'Some carpet cleaners says hospitals consists of beds.', False)
('carpet fitters says hospitals are composed of beds', 'Some carpet fitters says hospitals consists of beds.', False)
('carpet retailers says hospitals are composed of beds', 'Some carpet retailers says hospitals consists of beds.', False)
('carphone fitters says hospitals are composed of beds', 'Some carphone fitters says hospitals consists of beds.', False)
('cartographers says hospitals are composed of beds', 'Some cartographers says hospitals consists of beds.', False)
('cartoonists says hospitals are composed of beds', 'Some cartoonists says hospitals consists of beds.', False)
('cashiers says hospitals are composed of beds', 'Some cashiers says hospitals consists of beds.', False)
('casual workers says hospitals are composed of beds', 'Some casual workers says hospitals consists of beds.', False)
('caterers says hospitals are composed of beds', 'Some caterers says hospitals consists of beds.', False)
('catering consultants says hospitals are composed of beds', 'Some catering consultants says hospitals consists of beds.', False)
('catering managers says hospitals are composed of beds', 'Some catering managers says hospitals consists of beds.', False)
('catering staffs says hospitals are composed of beds', 'Some catering staffs says hospitals consists of beds.', False)
('caulkers says hospitals are composed of beds', 'Some caulkers says hospitals consists of beds.', False)
('ceiling contractors says hospitals are composed of beds', 'Some ceiling contractors says hospitals consists of beds.', False)
('ceiling fixers says hospitals are composed of beds', 'Some ceiling fixers says hospitals consists of beds.', False)
('cellarmans says hospitals are composed of beds', 'Some cellarmans says hospitals consists of beds.', False)
('chambermaids says hospitals are composed of beds', 'Some chambermaids says hospitals consists of beds.', False)
('chandlers says hospitals are composed of beds', 'Some chandlers says hospitals consists of beds.', False)
('chaplains says hospitals are composed of beds', 'Some chaplains says hospitals consists of beds.', False)
('charge hands says hospitals are composed of beds', 'Some charge hands says hospitals consists of beds.', False)
('charity workers says hospitals are composed of beds', 'Some charity workers says hospitals consists of beds.', False)
('chartereds says hospitals are composed of beds', 'Some chartereds says hospitals consists of beds.', False)
('chartered accountants says hospitals are composed of beds', 'Some chartered accountants says hospitals consists of beds.', False)
('chauffeurs says hospitals are composed of beds', 'Some chauffeurs says hospitals consists of beds.', False)
('chefs says hospitals are composed of beds', 'Some chefs says hospitals consists of beds.', False)
('chemists says hospitals are composed of beds', 'Some chemists says hospitals consists of beds.', False)
('chicken chasers says hospitals are composed of beds', 'Some chicken chasers says hospitals consists of beds.', False)
('child minders says hospitals are composed of beds', 'Some child minders says hospitals consists of beds.', False)
('childminders says hospitals are composed of beds', 'Some childminders says hospitals consists of beds.', False)
('chimney sweeps says hospitals are composed of beds', 'Some chimney sweeps says hospitals consists of beds.', False)
('china restorers says hospitals are composed of beds', 'Some china restorers says hospitals consists of beds.', False)
('chiropodists says hospitals are composed of beds', 'Some chiropodists says hospitals consists of beds.', False)
('chiropractors says hospitals are composed of beds', 'Some chiropractors says hospitals consists of beds.', False)
('choreographers says hospitals are composed of beds', 'Some choreographers says hospitals consists of beds.', False)
('church officers says hospitals are composed of beds', 'Some church officers says hospitals consists of beds.', False)
('church wardens says hospitals are composed of beds', 'Some church wardens says hospitals consists of beds.', False)
('cinema managers says hospitals are composed of beds', 'Some cinema managers says hospitals consists of beds.', False)
('circus proprietors says hospitals are composed of beds', 'Some circus proprietors says hospitals consists of beds.', False)
('circus workers says hospitals are composed of beds', 'Some circus workers says hospitals consists of beds.', False)
('civil engineers says hospitals are composed of beds', 'Some civil engineers says hospitals consists of beds.', False)
('civil servants says hospitals are composed of beds', 'Some civil servants says hospitals consists of beds.', False)
('claims adjustors says hospitals are composed of beds', 'Some claims adjustors says hospitals consists of beds.', False)
('claims assessors says hospitals are composed of beds', 'Some claims assessors says hospitals consists of beds.', False)
('claims managers says hospitals are composed of beds', 'Some claims managers says hospitals consists of beds.', False)
('clairvoyants says hospitals are composed of beds', 'Some clairvoyants says hospitals consists of beds.', False)
('classroom aides says hospitals are composed of beds', 'Some classroom aides says hospitals consists of beds.', False)
('cleaners says hospitals are composed of beds', 'Some cleaners says hospitals consists of beds.', False)
('clergymans says hospitals are composed of beds', 'Some clergymans says hospitals consists of beds.', False)
('clerics says hospitals are composed of beds', 'Some clerics says hospitals consists of beds.', False)
('clerks says hospitals are composed of beds', 'Some clerks says hospitals consists of beds.', False)
('commissioneds says hospitals are composed of beds', 'Some commissioneds says hospitals consists of beds.', False)
('consultants says hospitals are composed of beds', 'Some consultants says hospitals consists of beds.', False)
('coroners says hospitals are composed of beds', 'Some coroners says hospitals consists of beds.', False)
('councillors says hospitals are composed of beds', 'Some councillors says hospitals consists of beds.', False)
('counsellors says hospitals are composed of beds', 'Some counsellors says hospitals consists of beds.', False)
('dealers says hospitals are composed of beds', 'Some dealers says hospitals consists of beds.', False)
('decorators says hospitals are composed of beds', 'Some decorators says hospitals consists of beds.', False)
('delivery drivers says hospitals are composed of beds', 'Some delivery drivers says hospitals consists of beds.', False)
('doctors says hospitals are composed of beds', 'Some doctors says hospitals consists of beds.', False)
('drivers says hospitals are composed of beds', 'Some drivers says hospitals consists of beds.', False)
('economists says hospitals are composed of beds', 'Some economists says hospitals consists of beds.', False)
('editors says hospitals are composed of beds', 'Some editors says hospitals consists of beds.', False)
('employees says hospitals are composed of beds', 'Some employees says hospitals consists of beds.', False)
('employments says hospitals are composed of beds', 'Some employments says hospitals consists of beds.', False)
('engineers says hospitals are composed of beds', 'Some engineers says hospitals consists of beds.', False)
('english teachers says hospitals are composed of beds', 'Some english teachers says hospitals consists of beds.', False)
('entertainers says hospitals are composed of beds', 'Some entertainers says hospitals consists of beds.', False)
('envoys says hospitals are composed of beds', 'Some envoys says hospitals consists of beds.', False)
('executives says hospitals are composed of beds', 'Some executives says hospitals consists of beds.', False)
('farmers says hospitals are composed of beds', 'Some farmers says hospitals consists of beds.', False)
('firemans says hospitals are composed of beds', 'Some firemans says hospitals consists of beds.', False)
('floor layers says hospitals are composed of beds', 'Some floor layers says hospitals consists of beds.', False)
('floor managers says hospitals are composed of beds', 'Some floor managers says hospitals consists of beds.', False)
('florists says hospitals are composed of beds', 'Some florists says hospitals consists of beds.', False)
('flour millers says hospitals are composed of beds', 'Some flour millers says hospitals consists of beds.', False)
('flower arrangers says hospitals are composed of beds', 'Some flower arrangers says hospitals consists of beds.', False)
('flying instructors says hospitals are composed of beds', 'Some flying instructors says hospitals consists of beds.', False)
('foam convertors says hospitals are composed of beds', 'Some foam convertors says hospitals consists of beds.', False)
('food processors says hospitals are composed of beds', 'Some food processors says hospitals consists of beds.', False)
('footballers says hospitals are composed of beds', 'Some footballers says hospitals consists of beds.', False)
('foremans says hospitals are composed of beds', 'Some foremans says hospitals consists of beds.', False)
('forensic scientists says hospitals are composed of beds', 'Some forensic scientists says hospitals consists of beds.', False)
('forest rangers says hospitals are composed of beds', 'Some forest rangers says hospitals consists of beds.', False)
('foresters says hospitals are composed of beds', 'Some foresters says hospitals consists of beds.', False)
('fork lift truck drivers says hospitals are composed of beds', 'Some fork lift truck drivers says hospitals consists of beds.', False)
('forwarding agents says hospitals are composed of beds', 'Some forwarding agents says hospitals consists of beds.', False)
('foster parents says hospitals are composed of beds', 'Some foster parents says hospitals consists of beds.', False)
('foundry workers says hospitals are composed of beds', 'Some foundry workers says hospitals consists of beds.', False)
('fraud investigators says hospitals are composed of beds', 'Some fraud investigators says hospitals consists of beds.', False)
('french polishers says hospitals are composed of beds', 'Some french polishers says hospitals consists of beds.', False)
('fruiterers says hospitals are composed of beds', 'Some fruiterers says hospitals consists of beds.', False)
('fuel merchants says hospitals are composed of beds', 'Some fuel merchants says hospitals consists of beds.', False)
('fund raisers says hospitals are composed of beds', 'Some fund raisers says hospitals consists of beds.', False)
('funeral directors says hospitals are composed of beds', 'Some funeral directors says hospitals consists of beds.', False)
('funeral furnishers says hospitals are composed of beds', 'Some funeral furnishers says hospitals consists of beds.', False)
('furnace mans says hospitals are composed of beds', 'Some furnace mans says hospitals consists of beds.', False)
('furniture dealers says hospitals are composed of beds', 'Some furniture dealers says hospitals consists of beds.', False)
('furniture removers says hospitals are composed of beds', 'Some furniture removers says hospitals consists of beds.', False)
('furniture restorers says hospitals are composed of beds', 'Some furniture restorers says hospitals consists of beds.', False)
('furriers says hospitals are composed of beds', 'Some furriers says hospitals consists of beds.', False)
('gallery owners says hospitals are composed of beds', 'Some gallery owners says hospitals consists of beds.', False)
('gamblers says hospitals are composed of beds', 'Some gamblers says hospitals consists of beds.', False)
('gamekeepers says hospitals are composed of beds', 'Some gamekeepers says hospitals consists of beds.', False)
('gaming board inspectors says hospitals are composed of beds', 'Some gaming board inspectors says hospitals consists of beds.', False)
('gaming club managers says hospitals are composed of beds', 'Some gaming club managers says hospitals consists of beds.', False)
('gaming club proprietors says hospitals are composed of beds', 'Some gaming club proprietors says hospitals consists of beds.', False)
('garage attendants says hospitals are composed of beds', 'Some garage attendants says hospitals consists of beds.', False)
('garage foremans says hospitals are composed of beds', 'Some garage foremans says hospitals consists of beds.', False)
('garage managers says hospitals are composed of beds', 'Some garage managers says hospitals consists of beds.', False)
('gardas says hospitals are composed of beds', 'Some gardas says hospitals consists of beds.', False)
('garden designers says hospitals are composed of beds', 'Some garden designers says hospitals consists of beds.', False)
('gardeners says hospitals are composed of beds', 'Some gardeners says hospitals consists of beds.', False)
('gas fitters says hospitals are composed of beds', 'Some gas fitters says hospitals consists of beds.', False)
('gas mechanics says hospitals are composed of beds', 'Some gas mechanics says hospitals consists of beds.', False)
('gas technicians says hospitals are composed of beds', 'Some gas technicians says hospitals consists of beds.', False)
('gate keepers says hospitals are composed of beds', 'Some gate keepers says hospitals consists of beds.', False)
('genealogists says hospitals are composed of beds', 'Some genealogists says hospitals consists of beds.', False)
('general practitioners says hospitals are composed of beds', 'Some general practitioners says hospitals consists of beds.', False)
('geologists says hospitals are composed of beds', 'Some geologists says hospitals consists of beds.', False)
('geophysicists says hospitals are composed of beds', 'Some geophysicists says hospitals consists of beds.', False)
('gilders says hospitals are composed of beds', 'Some gilders says hospitals consists of beds.', False)
('glass workers says hospitals are composed of beds', 'Some glass workers says hospitals consists of beds.', False)
('glaziers says hospitals are composed of beds', 'Some glaziers says hospitals consists of beds.', False)
('goldsmiths says hospitals are composed of beds', 'Some goldsmiths says hospitals consists of beds.', False)
('golf caddys says hospitals are composed of beds', 'Some golf caddys says hospitals consists of beds.', False)
('golf club professionals says hospitals are composed of beds', 'Some golf club professionals says hospitals consists of beds.', False)
('golfers says hospitals are composed of beds', 'Some golfers says hospitals consists of beds.', False)
('goods handlers says hospitals are composed of beds', 'Some goods handlers says hospitals consists of beds.', False)
('governors says hospitals are composed of beds', 'Some governors says hospitals consists of beds.', False)
('granite technicians says hospitals are composed of beds', 'Some granite technicians says hospitals consists of beds.', False)
('graphic designers says hospitals are composed of beds', 'Some graphic designers says hospitals consists of beds.', False)
('graphologists says hospitals are composed of beds', 'Some graphologists says hospitals consists of beds.', False)
('grave diggers says hospitals are composed of beds', 'Some grave diggers says hospitals consists of beds.', False)
('gravel merchants says hospitals are composed of beds', 'Some gravel merchants says hospitals consists of beds.', False)
('green keepers says hospitals are composed of beds', 'Some green keepers says hospitals consists of beds.', False)
('greengrocers says hospitals are composed of beds', 'Some greengrocers says hospitals consists of beds.', False)
('grocers says hospitals are composed of beds', 'Some grocers says hospitals consists of beds.', False)
('grooms says hospitals are composed of beds', 'Some grooms says hospitals consists of beds.', False)
('ground workers says hospitals are composed of beds', 'Some ground workers says hospitals consists of beds.', False)
('groundsmans says hospitals are composed of beds', 'Some groundsmans says hospitals consists of beds.', False)
('guest house owners says hospitals are composed of beds', 'Some guest house owners says hospitals consists of beds.', False)
('guest house proprietors says hospitals are composed of beds', 'Some guest house proprietors says hospitals consists of beds.', False)
('gun smiths says hospitals are composed of beds', 'Some gun smiths says hospitals consists of beds.', False)
('gynaecologists says hospitals are composed of beds', 'Some gynaecologists says hospitals consists of beds.', False)
('hgv drivers says hospitals are composed of beds', 'Some hgv drivers says hospitals consists of beds.', False)
('hgv mechanics says hospitals are composed of beds', 'Some hgv mechanics says hospitals consists of beds.', False)
('hairdressers says hospitals are composed of beds', 'Some hairdressers says hospitals consists of beds.', False)
('handymans says hospitals are composed of beds', 'Some handymans says hospitals consists of beds.', False)
('hardware dealers says hospitals are composed of beds', 'Some hardware dealers says hospitals consists of beds.', False)
('haulage contractors says hospitals are composed of beds', 'Some haulage contractors says hospitals consists of beds.', False)
('hawkers says hospitals are composed of beds', 'Some hawkers says hospitals consists of beds.', False)
('health advisors says hospitals are composed of beds', 'Some health advisors says hospitals consists of beds.', False)
('health and safetys says hospitals are composed of beds', 'Some health and safetys says hospitals consists of beds.', False)
('health care assistants says hospitals are composed of beds', 'Some health care assistants says hospitals consists of beds.', False)
('health consultants says hospitals are composed of beds', 'Some health consultants says hospitals consists of beds.', False)
('health nurses says hospitals are composed of beds', 'Some health nurses says hospitals consists of beds.', False)
('health planners says hospitals are composed of beds', 'Some health planners says hospitals consists of beds.', False)
('health services says hospitals are composed of beds', 'Some health services says hospitals consists of beds.', False)
('health therapists says hospitals are composed of beds', 'Some health therapists says hospitals consists of beds.', False)
('health visitors says hospitals are composed of beds', 'Some health visitors says hospitals consists of beds.', False)
('hearing therapists says hospitals are composed of beds', 'Some hearing therapists says hospitals consists of beds.', False)
('heating engineers says hospitals are composed of beds', 'Some heating engineers says hospitals consists of beds.', False)
('herbalists says hospitals are composed of beds', 'Some herbalists says hospitals consists of beds.', False)
('highway inspectors says hospitals are composed of beds', 'Some highway inspectors says hospitals consists of beds.', False)
('hire car drivers says hospitals are composed of beds', 'Some hire car drivers says hospitals consists of beds.', False)
('historians says hospitals are composed of beds', 'Some historians says hospitals consists of beds.', False)
('history teachers says hospitals are composed of beds', 'Some history teachers says hospitals consists of beds.', False)
('hod carriers says hospitals are composed of beds', 'Some hod carriers says hospitals consists of beds.', False)
('home economists says hospitals are composed of beds', 'Some home economists says hospitals consists of beds.', False)
('home helps says hospitals are composed of beds', 'Some home helps says hospitals consists of beds.', False)
('homecare managers says hospitals are composed of beds', 'Some homecare managers says hospitals consists of beds.', False)
('homeopaths says hospitals are composed of beds', 'Some homeopaths says hospitals consists of beds.', False)
