('The turtle is in the universe.', 'The turtle is in the milky way galaxy.', False)
('The wombat is in the universe.', 'The wombat is in jordan.', False)
('The dove is in the milky way galaxy.', 'The dove is in jordan.', False)
('The panther is in our solar system.', 'The panther is in jordan.', False)
('The alpaca is on earth.', 'The alpaca is in jordan.', False)
('The cobra is in asia.', 'The cobra is in jordan.', False)
('The echidna is in the universe.', 'The echidna is in kazakhstan.', False)
('The chicken is in the milky way galaxy.', 'The chicken is in kazakhstan.', False)
('The crow is in our solar system.', 'The crow is in kazakhstan.', False)
('The clam is on earth.', 'The clam is in kazakhstan.', False)
('The ferret is in asia.', 'The ferret is in kazakhstan.', False)
('The bat is in the universe.', 'The bat is in kuwait.', False)
('The shrew is in the milky way galaxy.', 'The shrew is in kuwait.', False)
('The camel is in our solar system.', 'The camel is in kuwait.', False)
('The quetzal is on earth.', 'The quetzal is in kuwait.', False)
('The louse is in asia.', 'The louse is in kuwait.', False)
('The partridge is in the universe.', 'The partridge is in kyrgyzstan.', False)
('The crow is in the milky way galaxy.', 'The crow is in kyrgyzstan.', False)
('The capybara is in our solar system.', 'The capybara is in kyrgyzstan.', False)
('The pheasant is on earth.', 'The pheasant is in kyrgyzstan.', False)
('The pig is in asia.', 'The pig is in kyrgyzstan.', False)
('The lark is in the universe.', 'The lark is in laos.', False)
('The goldfinch is in the milky way galaxy.', 'The goldfinch is in laos.', False)
('The partridge is in our solar system.', 'The partridge is in laos.', False)
('The butterfly is on earth.', 'The butterfly is in laos.', False)
('The stinkbug is in asia.', 'The stinkbug is in laos.', False)
('The lark is in the universe.', 'The lark is in lebanon.', False)
('The jay is in the milky way galaxy.', 'The jay is in lebanon.', False)
('The chamois is in our solar system.', 'The chamois is in lebanon.', False)
('The oryx is on earth.', 'The oryx is in lebanon.', False)
('The crow is in asia.', 'The crow is in lebanon.', False)
('The gnu is in the universe.', 'The gnu is in malaysia.', False)
('The newt is in the milky way galaxy.', 'The newt is in malaysia.', False)
('The salmon is in our solar system.', 'The salmon is in malaysia.', False)
('The cormorant is on earth.', 'The cormorant is in malaysia.', False)
('The viper is in asia.', 'The viper is in malaysia.', False)
('The bison is in the universe.', 'The bison is in maldives.', False)
('The hawk is in the milky way galaxy.', 'The hawk is in maldives.', False)
('The horse is in our solar system.', 'The horse is in maldives.', False)
('The alligator is on earth.', 'The alligator is in maldives.', False)
('The shrew is in asia.', 'The shrew is in maldives.', False)
('The walrus is in the universe.', 'The walrus is in mongolia.', False)
('The grasshopper is in the milky way galaxy.', 'The grasshopper is in mongolia.', False)
('The chamois is in our solar system.', 'The chamois is in mongolia.', False)
('The antelope is on earth.', 'The antelope is in mongolia.', False)
('The salmon is in asia.', 'The salmon is in mongolia.', False)
('The frog is in the universe.', 'The frog is in myanmar.', False)
('The hedgehog is in the milky way galaxy.', 'The hedgehog is in myanmar.', False)
('The barracuda is in our solar system.', 'The barracuda is in myanmar.', False)
('The squirrel is on earth.', 'The squirrel is in myanmar.', False)
('The trout is in asia.', 'The trout is in myanmar.', False)
('The eel is in the universe.', 'The eel is in nepal.', False)
('The hummingbird is in the milky way galaxy.', 'The hummingbird is in nepal.', False)
('The kookabura is in our solar system.', 'The kookabura is in nepal.', False)
('The nightingale is on earth.', 'The nightingale is in nepal.', False)
('The porpoise is in asia.', 'The porpoise is in nepal.', False)
('The trout is in the universe.', 'The trout is in north korea.', False)
('The goose is in the milky way galaxy.', 'The goose is in north korea.', False)
('The caterpillar is in our solar system.', 'The caterpillar is in north korea.', False)
('The falcon is on earth.', 'The falcon is in north korea.', False)
('The sand dollar is in asia.', 'The sand dollar is in north korea.', False)
('The dogfish is in the universe.', 'The dogfish is in oman.', False)
('The ibis is in the milky way galaxy.', 'The ibis is in oman.', False)
('The capybara is in our solar system.', 'The capybara is in oman.', False)
('The koala is on earth.', 'The koala is in oman.', False)
('The sandpiper is in asia.', 'The sandpiper is in oman.', False)
('The goshawk is in the universe.', 'The goshawk is in pakistan.', False)
('The fly is in the milky way galaxy.', 'The fly is in pakistan.', False)
('The porpoise is in our solar system.', 'The porpoise is in pakistan.', False)
('The tapir is on earth.', 'The tapir is in pakistan.', False)
('The panther is in asia.', 'The panther is in pakistan.', False)
('The elk is in the universe.', 'The elk is in palestine.', False)
('The stinkbug is in the milky way galaxy.', 'The stinkbug is in palestine.', False)
('The gnat is in our solar system.', 'The gnat is in palestine.', False)
('The crow is on earth.', 'The crow is in palestine.', False)
('The ant is in asia.', 'The ant is in palestine.', False)
('The anteater is in the universe.', 'The anteater is in philippines.', False)
('The rail is in the milky way galaxy.', 'The rail is in philippines.', False)
('The stork is in our solar system.', 'The stork is in philippines.', False)
('The jay is on earth.', 'The jay is in philippines.', False)
('The rhinoceros is in asia.', 'The rhinoceros is in philippines.', False)
('The newt is in the universe.', 'The newt is in qatar.', False)
('The echidna is in the milky way galaxy.', 'The echidna is in qatar.', False)
('The trout is in our solar system.', 'The trout is in qatar.', False)
('The rhinoceros is on earth.', 'The rhinoceros is in qatar.', False)
('The dinosaur is in asia.', 'The dinosaur is in qatar.', False)
('The jellyfish is in the universe.', 'The jellyfish is in saudi arabia.', False)
('The wildcat is in the milky way galaxy.', 'The wildcat is in saudi arabia.', False)
('The alligator is in our solar system.', 'The alligator is in saudi arabia.', False)
('The hare is on earth.', 'The hare is in saudi arabia.', False)
('The swallow is in asia.', 'The swallow is in saudi arabia.', False)
('The sparrow is in the universe.', 'The sparrow is in  singapore.', False)
('The salamander is in the milky way galaxy.', 'The salamander is in  singapore.', False)
('The cassowary is in our solar system.', 'The cassowary is in  singapore.', False)
('The guanaco is on earth.', 'The guanaco is in  singapore.', False)
('The newt is in asia.', 'The newt is in  singapore.', False)
('The ibis is in the universe.', 'The ibis is in south korea.', False)
('The sparrow is in the milky way galaxy.', 'The sparrow is in south korea.', False)
('The porcupine is in our solar system.', 'The porcupine is in south korea.', False)
('The crocodile is on earth.', 'The crocodile is in south korea.', False)
('The gorilla is in asia.', 'The gorilla is in south korea.', False)
('The lapwing is in the universe.', 'The lapwing is in sri lanka.', False)
('The gazelle is in the milky way galaxy.', 'The gazelle is in sri lanka.', False)
('The sparrow is in our solar system.', 'The sparrow is in sri lanka.', False)
('The walrus is on earth.', 'The walrus is in sri lanka.', False)
('The hamster is in asia.', 'The hamster is in sri lanka.', False)
('The lapwing is in the universe.', 'The lapwing is in syria.', False)
('The dog is in the milky way galaxy.', 'The dog is in syria.', False)
('The swan is in our solar system.', 'The swan is in syria.', False)
('The hamster is on earth.', 'The hamster is in syria.', False)
('The tarsier is in asia.', 'The tarsier is in syria.', False)
('The gorilla is in the universe.', 'The gorilla is in taiwan.', False)
('The camel is in the milky way galaxy.', 'The camel is in taiwan.', False)
('The woodcock is in our solar system.', 'The woodcock is in taiwan.', False)
('The lemur is on earth.', 'The lemur is in taiwan.', False)
('The jackal is in asia.', 'The jackal is in taiwan.', False)
('The tiger is in the universe.', 'The tiger is in tajikistan.', False)
('The caribou is in the milky way galaxy.', 'The caribou is in tajikistan.', False)
('The hyena is in our solar system.', 'The hyena is in tajikistan.', False)
('The hummingbird is on earth.', 'The hummingbird is in tajikistan.', False)
('The bat is in asia.', 'The bat is in tajikistan.', False)
('The mule is in the universe.', 'The mule is in thailand.', False)
('The cheetah is in the milky way galaxy.', 'The cheetah is in thailand.', False)
('The mantis is in our solar system.', 'The mantis is in thailand.', False)
('The wolverine is on earth.', 'The wolverine is in thailand.', False)
('The mandrill is in asia.', 'The mandrill is in thailand.', False)
('The buffalo is in the universe.', 'The buffalo is in turkey.', False)
('The kingfisher is in the milky way galaxy.', 'The kingfisher is in turkey.', False)
('The kouprey is in our solar system.', 'The kouprey is in turkey.', False)
('The rabbit is on earth.', 'The rabbit is in turkey.', False)
('The aardvark is in asia.', 'The aardvark is in turkey.', False)
('The narwhal is in the universe.', 'The narwhal is in turkmenistan.', False)
('The whale is in the milky way galaxy.', 'The whale is in turkmenistan.', False)
('The wolverine is in our solar system.', 'The wolverine is in turkmenistan.', False)
('The rhinoceros is on earth.', 'The rhinoceros is in turkmenistan.', False)
('The lark is in asia.', 'The lark is in turkmenistan.', False)
('The woodpecker is in the universe.', 'The woodpecker is in the united arab emirates.', False)
('The monkey is in the milky way galaxy.', 'The monkey is in the united arab emirates.', False)
('The koala is in our solar system.', 'The koala is in the united arab emirates.', False)
('The squid is on earth.', 'The squid is in the united arab emirates.', False)
('The spider is in asia.', 'The spider is in the united arab emirates.', False)
('The dove is in the universe.', 'The dove is in uzbekistan.', False)
('The pelican is in the milky way galaxy.', 'The pelican is in uzbekistan.', False)
('The goldfinch is in our solar system.', 'The goldfinch is in uzbekistan.', False)
('The chicken is on earth.', 'The chicken is in uzbekistan.', False)
('The jellyfish is in asia.', 'The jellyfish is in uzbekistan.', False)
('The caribou is in the universe.', 'The caribou is in vietnam.', False)
('The dinosaur is in the milky way galaxy.', 'The dinosaur is in vietnam.', False)
('The partridge is in our solar system.', 'The partridge is in vietnam.', False)
('The nightingale is on earth.', 'The nightingale is in vietnam.', False)
('The dragonfly is in asia.', 'The dragonfly is in vietnam.', False)
('The leopard is in the universe.', 'The leopard is in yemen.', False)
('The heron is in the milky way galaxy.', 'The heron is in yemen.', False)
('The wren is in our solar system.', 'The wren is in yemen.', False)
('The parrot is on earth.', 'The parrot is in yemen.', False)
('The pigeon is in asia.', 'The pigeon is in yemen.', False)
('The ostrich is in the universe.', 'The ostrich is in australia.', False)
('The ibex is in the milky way galaxy.', 'The ibex is in australia.', False)
('The goldfish is in our solar system.', 'The goldfish is in australia.', False)
('The jackal is on earth.', 'The jackal is in australia.', False)
('The salamander is in the universe.', 'The salamander is in new south wales.', False)
('The herring is in the milky way galaxy.', 'The herring is in new south wales.', False)
('The mosquito is in our solar system.', 'The mosquito is in new south wales.', False)
('The goldfinch is on earth.', 'The goldfinch is in new south wales.', False)
('The rook is in australia.', 'The rook is in new south wales.', False)
('The mantis is in the universe.', 'The mantis is in northern territory.', False)
('The zebra is in the milky way galaxy.', 'The zebra is in northern territory.', False)
('The bear is in our solar system.', 'The bear is in northern territory.', False)
('The reindeer is on earth.', 'The reindeer is in northern territory.', False)
('The oryx is in australia.', 'The oryx is in northern territory.', False)
('The fox is in the universe.', 'The fox is in queensland.', False)
('The chough is in the milky way galaxy.', 'The chough is in queensland.', False)
('The hippopotamus is in our solar system.', 'The hippopotamus is in queensland.', False)
('The bee is on earth.', 'The bee is in queensland.', False)
('The partridge is in australia.', 'The partridge is in queensland.', False)
('The llama is in the universe.', 'The llama is in south australia.', False)
('The pony is in the milky way galaxy.', 'The pony is in south australia.', False)
('The cheetah is in our solar system.', 'The cheetah is in south australia.', False)
('The bee is on earth.', 'The bee is in south australia.', False)
('The flamingo is in australia.', 'The flamingo is in south australia.', False)
('The wallaby is in the universe.', 'The wallaby is in tasmania.', False)
('The barracuda is in the milky way galaxy.', 'The barracuda is in tasmania.', False)
('The pelican is in our solar system.', 'The pelican is in tasmania.', False)
('The lapwing is on earth.', 'The lapwing is in tasmania.', False)
('The jellyfish is in australia.', 'The jellyfish is in tasmania.', False)
('The gull is in the universe.', 'The gull is in victoria.', False)
('The stinkbug is in the milky way galaxy.', 'The stinkbug is in victoria.', False)
('The horse is in our solar system.', 'The horse is in victoria.', False)
('The stork is on earth.', 'The stork is in victoria.', False)
('The baboon is in australia.', 'The baboon is in victoria.', False)
('The panther is in the universe.', 'The panther is in western australia.', False)
('The gnat is in the milky way galaxy.', 'The gnat is in western australia.', False)
('The lark is in our solar system.', 'The lark is in western australia.', False)
('The woodpecker is on earth.', 'The woodpecker is in western australia.', False)
('The magpie is in australia.', 'The magpie is in western australia.', False)
('The spider is in the universe.', 'The spider is on mars.', False)
('The red panda is in the milky way galaxy.', 'The red panda is on mars.', False)
('The starling is in our solar system.', 'The starling is on mars.', False)
('The penguin is in the universe.', 'The penguin is on saturn.', False)
('The eland is in the milky way galaxy.', 'The eland is on saturn.', False)
('The buffalo is in our solar system.', 'The buffalo is on saturn.', False)
('The falcon is in the universe.', 'The falcon is on jupiter.', False)
('The boar is in the milky way galaxy.', 'The boar is on jupiter.', False)
('The mantis is in our solar system.', 'The mantis is on jupiter.', False)
('The butterfly is in the universe.', 'The butterfly is on uranus.', False)
('The dinosaur is in the milky way galaxy.', 'The dinosaur is on uranus.', False)
('The crow is in our solar system.', 'The crow is on uranus.', False)
('The aardvark is in the universe.', 'The aardvark is on neptune.', False)
('The human is in the milky way galaxy.', 'The human is on neptune.', False)
('The armadillo is in our solar system.', 'The armadillo is on neptune.', False)
('The operations was in the universe.', 'The operations sprinted to the milky way galaxy.', False)
('The warehousewoman was in the universe.', 'The warehousewoman sauntered to our solar system.', False)
('The transport manager was in the milky way galaxy.', 'The transport manager dashed to our solar system.', False)
('The typist was in the universe.', 'The typist ambled to the sun.', False)
('The shot blaster was in the milky way galaxy.', 'The shot blaster strutted to the sun.', False)
('The footballer was in our solar system.', 'The footballer journeyed to the sun.', False)
('The air traffic controller was in the universe.', 'The air traffic controller strutted to mercury.', False)
('The clerk was in the milky way galaxy.', 'The clerk hobbled to mercury.', False)
('The magistrates clerk was in our solar system.', 'The magistrates clerk ran to mercury.', False)
('The engineer was in the universe.', 'The engineer hobbled to venus.', False)
('The garda was in the milky way galaxy.', 'The garda stomped to venus.', False)
('The carpet cleaner was in our solar system.', 'The carpet cleaner stomped to venus.', False)
('The assistant manager was in the universe.', 'The assistant manager ran to earth.', False)
('The patent attorney was in the milky way galaxy.', 'The patent attorney ambled to earth.', False)
('The rent collector was in our solar system.', 'The rent collector ran to earth.', False)
('The stage hand was in the universe.', 'The stage hand dashed to antarctica.', False)
('The reprographic assistant was in the milky way galaxy.', 'The reprographic assistant stomped to antarctica.', False)
('The school crossing was in our solar system.', 'The school crossing hobbled to antarctica.', False)
('The independent means was in earth.', 'The independent means traveled to antarctica.', False)
('The archaeologist was in the universe.', 'The archaeologist strutted to north america.', False)
('The radio operator was in the milky way galaxy.', 'The radio operator hobbled to north america.', False)
('The quality technician was in our solar system.', 'The quality technician walked to north america.', False)
('The investment banker was in earth.', 'The investment banker ambled to north america.', False)
('The masseur was in the universe.', 'The masseur crawled to the united states of america.', False)
('The wood cutter was in the milky way galaxy.', 'The wood cutter rushed to the united states of america.', False)
('The cable contractor was in our solar system.', 'The cable contractor hopped to the united states of america.', False)
('The meter reader was in earth.', 'The meter reader hobbled to the united states of america.', False)
('The actress was in north america.', 'The actress sauntered to the united states of america.', False)
('The thermal engineer was in the universe.', 'The thermal engineer waddled to alabama.', False)
('The joiner was in the milky way galaxy.', 'The joiner traveled to alabama.', False)
('The artist was in our solar system.', 'The artist walked to alabama.', False)
('The nursing sister was in earth.', 'The nursing sister went to alabama.', False)
('The chiropodist was in north america.', 'The chiropodist went to alabama.', False)
('The saleswoman was in the united states of america.', 'The saleswoman waddled to alabama.', False)
('The cameraman was in the universe.', 'The cameraman traveled to alaska.', False)
('The jazz composer was in the milky way galaxy.', 'The jazz composer swaggered to alaska.', False)
('The quality engineer was in our solar system.', 'The quality engineer traveled to alaska.', False)
('The general practitioner was in earth.', 'The general practitioner sprinted to alaska.', False)
('The training instructor was in north america.', 'The training instructor dashed to alaska.', False)
('The storeman was in the united states of america.', 'The storeman traveled to alaska.', False)
('The chef was in the universe.', 'The chef stomped to american samoa.', False)
('The software consultant was in the milky way galaxy.', 'The software consultant sauntered to american samoa.', False)
('The locksmith was in our solar system.', 'The locksmith sauntered to american samoa.', False)
('The metal polisher was in earth.', 'The metal polisher ran to american samoa.', False)
('The plumber was in north america.', 'The plumber traveled to american samoa.', False)
('The painter was in the united states of america.', 'The painter jogged to american samoa.', False)
('The optical assistant was in the universe.', 'The optical assistant walked to arizona.', False)
('The betting shop was in the milky way galaxy.', 'The betting shop hobbled to arizona.', False)
('The chiropodist was in our solar system.', 'The chiropodist stomped to arizona.', False)
('The ticket agent was in earth.', 'The ticket agent sprinted to arizona.', False)
('The nursing auxiliary was in north america.', 'The nursing auxiliary dashed to arizona.', False)
('The hygienist was in the united states of america.', 'The hygienist traveled to arizona.', False)
('The medical technician was in the universe.', 'The medical technician went to arkansas.', False)
('The skipper was in the milky way galaxy.', 'The skipper journeyed to arkansas.', False)
('The shipwright was in our solar system.', 'The shipwright sauntered to arkansas.', False)
('The stockman was in earth.', 'The stockman crawled to arkansas.', False)
('The screen printer was in north america.', 'The screen printer ambled to arkansas.', False)
('The software engineer was in the united states of america.', 'The software engineer sauntered to arkansas.', False)
('The gate keeper was in the universe.', 'The gate keeper sauntered to california.', False)
('The travel clerk was in the milky way galaxy.', 'The travel clerk sauntered to california.', False)
('The knitter was in our solar system.', 'The knitter hopped to california.', False)
('The roofer was in earth.', 'The roofer walked to california.', False)
('The horse trainer was in north america.', 'The horse trainer jogged to california.', False)
('The goldsmith was in the united states of america.', 'The goldsmith went to california.', False)
('The pest controller was in the universe.', 'The pest controller hobbled to san francisco.', False)
('The french polisher was in the milky way galaxy.', 'The french polisher went to san francisco.', False)
('The archivist was in our solar system.', 'The archivist walked to san francisco.', False)
('The building estimator was in earth.', 'The building estimator dashed to san francisco.', False)
('The beauty therapist was in north america.', 'The beauty therapist ran to san francisco.', False)
('The playgroup leader was in the united states of america.', 'The playgroup leader crawled to san francisco.', False)
('The tank farm operative was in california.', 'The tank farm operative rushed to san francisco.', False)
('The flower arranger was in the universe.', 'The flower arranger stomped to san diego.', False)
('The licensed premises was in the milky way galaxy.', 'The licensed premises dashed to san diego.', False)
('The reporter was in our solar system.', 'The reporter sauntered to san diego.', False)
('The blinds installer was in earth.', 'The blinds installer ambled to san diego.', False)
('The welder was in north america.', 'The welder waddled to san diego.', False)
('The linguist was in the united states of america.', 'The linguist dashed to san diego.', False)
('The plant operator was in california.', 'The plant operator hobbled to san diego.', False)
('The bank clerk was in the universe.', 'The bank clerk hobbled to los angeles.', False)
('The machine tool was in the milky way galaxy.', 'The machine tool sauntered to los angeles.', False)
('The administrator was in our solar system.', 'The administrator swaggered to los angeles.', False)
('The assistant manager was in earth.', 'The assistant manager sprinted to los angeles.', False)
('The landlord was in north america.', 'The landlord rushed to los angeles.', False)
('The translator was in the united states of america.', 'The translator jogged to los angeles.', False)
('The quantity surveyor was in california.', 'The quantity surveyor ambled to los angeles.', False)
('The metallurgist was in the universe.', 'The metallurgist walked to santa barbara.', False)
('The mortician was in the milky way galaxy.', 'The mortician walked to santa barbara.', False)
('The pallet maker was in our solar system.', 'The pallet maker ran to santa barbara.', False)
('The share dealer was in earth.', 'The share dealer walked to santa barbara.', False)
('The interpreter was in north america.', 'The interpreter sauntered to santa barbara.', False)
('The labelling operator was in the united states of america.', 'The labelling operator stomped to santa barbara.', False)
('The porter was in california.', 'The porter dashed to santa barbara.', False)
('The gas technician was in the universe.', 'The gas technician strutted to colorado.', False)
('The sheet metal worker was in the milky way galaxy.', 'The sheet metal worker sprinted to colorado.', False)
('The stage mover was in our solar system.', 'The stage mover stomped to colorado.', False)
('The physicist was in earth.', 'The physicist traveled to colorado.', False)
('The hawker was in north america.', 'The hawker walked to colorado.', False)
('The pawnbroker was in the united states of america.', 'The pawnbroker rushed to colorado.', False)
('The marine consultant was in the universe.', 'The marine consultant traveled to connecticut.', False)
('The book-keeper was in the milky way galaxy.', 'The book-keeper waddled to connecticut.', False)
('The sales manager was in our solar system.', 'The sales manager jogged to connecticut.', False)
('The hod carrier was in earth.', 'The hod carrier waddled to connecticut.', False)
('The school inspector was in north america.', 'The school inspector walked to connecticut.', False)
('The training officer was in the united states of america.', 'The training officer crawled to connecticut.', False)
('The tyre fitter was in the universe.', 'The tyre fitter went to delaware.', False)
('The radio presenter was in the milky way galaxy.', 'The radio presenter went to delaware.', False)
('The laundry worker was in our solar system.', 'The laundry worker stomped to delaware.', False)
('The projectionist was in earth.', 'The projectionist sauntered to delaware.', False)
('The aerial erector was in north america.', 'The aerial erector waddled to delaware.', False)
('The physiologist was in the united states of america.', 'The physiologist waddled to delaware.', False)
('The shoe maker was in the universe.', 'The shoe maker ran to the district of columbia.', False)
('The sportsperson was in the milky way galaxy.', 'The sportsperson traveled to the district of columbia.', False)
('The ironmonger was in our solar system.', 'The ironmonger ran to the district of columbia.', False)
('The quarry worker was in earth.', 'The quarry worker hopped to the district of columbia.', False)
('The roadworker was in north america.', 'The roadworker traveled to the district of columbia.', False)
('The typesetter was in the united states of america.', 'The typesetter rushed to the district of columbia.', False)
('The hostess was in the universe.', 'The hostess journeyed to florida.', False)
('The area manager was in the milky way galaxy.', 'The area manager waddled to florida.', False)
('The window dresser was in our solar system.', 'The window dresser went to florida.', False)
('The hop merchant was in earth.', 'The hop merchant walked to florida.', False)
('The sales administrator was in north america.', 'The sales administrator ran to florida.', False)
('The restaurateur was in the united states of america.', 'The restaurateur ambled to florida.', False)
('The youth worker was in the universe.', 'The youth worker traveled to georgia.', False)
('The marketing coordinator was in the milky way galaxy.', 'The marketing coordinator journeyed to georgia.', False)
('The pattern weaver was in our solar system.', 'The pattern weaver hobbled to georgia.', False)
('The bar steward was in earth.', 'The bar steward rushed to georgia.', False)
('The purchase ledger clerk was in north america.', 'The purchase ledger clerk ran to georgia.', False)
('The ship builder was in the united states of america.', 'The ship builder sprinted to georgia.', False)
('The property dealer was in the universe.', 'The property dealer hobbled to guam.', False)
('The legal secretary was in the milky way galaxy.', 'The legal secretary crawled to guam.', False)
('The assistant manager was in our solar system.', 'The assistant manager crawled to guam.', False)
('The ship broker was in earth.', 'The ship broker jogged to guam.', False)
('The nutritionist was in north america.', 'The nutritionist sprinted to guam.', False)
('The loans manager was in the united states of america.', 'The loans manager walked to guam.', False)
('The bodyshop was in the universe.', 'The bodyshop hopped to hawaii.', False)
('The advertising manager was in the milky way galaxy.', 'The advertising manager sauntered to hawaii.', False)
('The mattress maker was in our solar system.', 'The mattress maker walked to hawaii.', False)
('The police officer was in earth.', 'The police officer traveled to hawaii.', False)
('The careers advisor was in north america.', 'The careers advisor swaggered to hawaii.', False)
('The law clerk was in the united states of america.', 'The law clerk sauntered to hawaii.', False)
('The induction moulder was in the universe.', 'The induction moulder waddled to idaho.', False)
('The ironmonger was in the milky way galaxy.', 'The ironmonger hopped to idaho.', False)
('The probation officer was in our solar system.', 'The probation officer ambled to idaho.', False)
('The cartographer was in earth.', 'The cartographer went to idaho.', False)
('The repairer was in north america.', 'The repairer stomped to idaho.', False)
('The paramedic was in the united states of america.', 'The paramedic hobbled to idaho.', False)
('The caulker was in the universe.', 'The caulker jogged to illinois.', False)
('The bus mechanic was in the milky way galaxy.', 'The bus mechanic sprinted to illinois.', False)
('The promoter was in our solar system.', 'The promoter swaggered to illinois.', False)
('The litigation manager was in earth.', 'The litigation manager jogged to illinois.', False)
('The insurance inspector was in north america.', 'The insurance inspector stomped to illinois.', False)
('The lighting designer was in the united states of america.', 'The lighting designer ran to illinois.', False)
('The pipe insulator was in the universe.', 'The pipe insulator sprinted to chicago.', False)
('The ledger clerk was in the milky way galaxy.', 'The ledger clerk waddled to chicago.', False)
('The publishing manager was in our solar system.', 'The publishing manager jogged to chicago.', False)
('The housing supervisor was in earth.', 'The housing supervisor journeyed to chicago.', False)
('The tutor was in north america.', 'The tutor walked to chicago.', False)
('The telex operator was in the united states of america.', 'The telex operator waddled to chicago.', False)
('The veterinary surgeon was in illinois.', 'The veterinary surgeon walked to chicago.', False)
('The masseuse was in the universe.', 'The masseuse walked to indiana.', False)
('The shop manager was in the milky way galaxy.', 'The shop manager walked to indiana.', False)
('The nursing manager was in our solar system.', 'The nursing manager rushed to indiana.', False)
('The entertainer was in earth.', 'The entertainer sauntered to indiana.', False)
('The pasteuriser was in north america.', 'The pasteuriser stomped to indiana.', False)
('The it manager was in the united states of america.', 'The it manager hobbled to indiana.', False)
('The doctor was in the universe.', 'The doctor jogged to indianapolis.', False)
('The philatelist was in the milky way galaxy.', 'The philatelist sprinted to indianapolis.', False)
('The property valuer was in our solar system.', 'The property valuer journeyed to indianapolis.', False)
('The publishing manager was in earth.', 'The publishing manager traveled to indianapolis.', False)
('The payroll supervisor was in north america.', 'The payroll supervisor walked to indianapolis.', False)
('The mortgage broker was in the united states of america.', 'The mortgage broker walked to indianapolis.', False)
('The trade mark agent was in indiana.', 'The trade mark agent dashed to indianapolis.', False)
('The television engineer was in the universe.', 'The television engineer stomped to lafayette.', False)
('The insurance staff was in the milky way galaxy.', 'The insurance staff strutted to lafayette.', False)
('The administration manager was in our solar system.', 'The administration manager ambled to lafayette.', False)
('The medical practitioner was in earth.', 'The medical practitioner rushed to lafayette.', False)
('The motor dealer was in north america.', 'The motor dealer journeyed to lafayette.', False)
('The patent agent was in the united states of america.', 'The patent agent journeyed to lafayette.', False)
('The advertising contractor was in indiana.', 'The advertising contractor strutted to lafayette.', False)
('The inventor was in the universe.', 'The inventor sauntered to purdue university.', False)
('The rally driver was in the milky way galaxy.', 'The rally driver dashed to purdue university.', False)
('The paint consultant was in our solar system.', 'The paint consultant jogged to purdue university.', False)
('The chiropractor was in earth.', 'The chiropractor sprinted to purdue university.', False)
('The research consultant was in north america.', 'The research consultant hobbled to purdue university.', False)
('The vehicle assessor was in the united states of america.', 'The vehicle assessor jogged to purdue university.', False)
('The screen printer was in indiana.', 'The screen printer stomped to purdue university.', False)
('The upholsterer was in the universe.', 'The upholsterer jogged to iowa.', False)
('The research director was in the milky way galaxy.', 'The research director went to iowa.', False)
('The quality inspector was in our solar system.', 'The quality inspector jogged to iowa.', False)
('The horse riding instructor was in earth.', 'The horse riding instructor sauntered to iowa.', False)
('The property buyer was in north america.', 'The property buyer sauntered to iowa.', False)
('The private investigator was in the united states of america.', 'The private investigator dashed to iowa.', False)
('The remedial therapist was in the universe.', 'The remedial therapist hopped to kansas.', False)
('The minicab driver was in the milky way galaxy.', 'The minicab driver dashed to kansas.', False)
('The research scientist was in our solar system.', 'The research scientist stomped to kansas.', False)
('The steeplejack was in earth.', 'The steeplejack hobbled to kansas.', False)
('The steel worker was in north america.', 'The steel worker dashed to kansas.', False)
('The knitter was in the united states of america.', 'The knitter traveled to kansas.', False)
('The analytical chemist was in the universe.', 'The analytical chemist waddled to kentucky.', False)
('The breeder was in the milky way galaxy.', 'The breeder hopped to kentucky.', False)
('The cable contractor was in our solar system.', 'The cable contractor ambled to kentucky.', False)
('The tutor was in earth.', 'The tutor dashed to kentucky.', False)
('The line manager was in north america.', 'The line manager hopped to kentucky.', False)
('The treasurer was in the united states of america.', 'The treasurer swaggered to kentucky.', False)
('The barman was in the universe.', 'The barman swaggered to louisiana.', False)
('The advertising executive was in the milky way galaxy.', 'The advertising executive went to louisiana.', False)
('The bodyshop was in our solar system.', 'The bodyshop went to louisiana.', False)
('The matron was in earth.', 'The matron rushed to louisiana.', False)
('The welfare officer was in north america.', 'The welfare officer ambled to louisiana.', False)
('The pharmacist was in the united states of america.', 'The pharmacist jogged to louisiana.', False)
('The law clerk was in the universe.', 'The law clerk swaggered to maine.', False)
('The lift engineer was in the milky way galaxy.', 'The lift engineer dashed to maine.', False)
('The property developer was in our solar system.', 'The property developer ambled to maine.', False)
('The accounts assistant was in earth.', 'The accounts assistant ambled to maine.', False)
('The saleswoman was in north america.', 'The saleswoman jogged to maine.', False)
('The van driver was in the united states of america.', 'The van driver swaggered to maine.', False)
('The marine consultant was in the universe.', 'The marine consultant journeyed to maryland.', False)
('The storeman was in the milky way galaxy.', 'The storeman hopped to maryland.', False)
('The jeweller was in our solar system.', 'The jeweller journeyed to maryland.', False)
('The laboratory analyst was in earth.', 'The laboratory analyst went to maryland.', False)
('The geophysicist was in north america.', 'The geophysicist hopped to maryland.', False)
('The investment strategist was in the united states of america.', 'The investment strategist hopped to maryland.', False)
('The insurance agent was in the universe.', 'The insurance agent ran to massachusetts.', False)
